,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,0,[[6495970]],[[31465472]],[6596463.586782219],[15070888.174388219],[15008061.56596924],[39525837.96194194],[99581875.0762544],[1462583595.3201885],[4720473851.444324],[5320995020.188553],[0.4376957423114841],[0.06808627923551538],[0.3797025525535975],[0.8871411894832126]
1,1,[[6484936]],[[31416320]],[6753979.68113773],[15619878.58856913],[15549622.534419341],[40808925.305205],[102180214.21134444],[1512484651.278802],[4882913951.626859],[5499440254.94199],[0.4323964263128394],[0.0675578519920525],[0.38103484515030966],[0.8878928991434902]
2,2,[[6352246]],[[31395840]],[7181996.501192257],[15445596.029095855],[15371005.694272205],[40446021.747390024],[100598733.99283968],[1485758183.9849544],[4798056283.73882],[5478670538.368639],[0.46498668537381604],[0.06770868575869032],[0.38003751741700265],[0.8757701800348662]
3,3,[[6188175]],[[23066624]],[7383573.806270411],[15509616.397325784],[15438239.266971644],[41356715.23826282],[102771001.50234564],[1504101310.451911],[4857920349.099056],[5620739979.583244],[0.47606424408688214],[0.06832718034895391],[0.3732946192179291],[0.8642848391394992]
4,4,"[[6161804, 6053890]]","[[31520768, 31453184]]",[16173083.287843548],[28763242.806678828],[28672408.79920609],[71808552.20873848],[177375812.3643116],[2297706796.795231],[7355565277.270067],[8329960623.462221],[0.562283028952777],[0.07719688717973494],[0.39928960990410983],[0.8830252158158268]
5,5,"[[6042174, 5966058]]","[[31481856, 31379456]]",[16394601.422536286],[28465822.99036889],[28376641.740295112],[71267456.50153202],[174617553.4106368],[2254264354.7566533],[7217999380.976987],[8274777814.321614],[0.5759398359247587],[0.07746099211575684],[0.39817110267833267],[0.8722892073892785]
6,6,"[[5946578, 5851652]]","[[22358016, 22353920]]",[15908142.42513289],[27641425.105340376],[27553546.70701139],[68789296.75480852],[169792191.25011474],[2214141848.2149296],[7088842195.448226],[8227108441.690137],[0.5755181711690909],[0.07668532681725132],[0.4005499112052681],[0.8616444338482463]
7,7,"[[5605593, 5517788]]","[[11679744, 11683840]]",[15634854.272031816],[26370004.462303285],[26286147.709157124],[65549693.98792805],[161781521.38622373],[2123835383.4843483],[6804280900.159479],[8233270132.359647],[0.5929029816579027],[0.07617422830615346],[0.40101099044029265],[0.8264372224854207]
8,8,"[[6129005, 5986801, 5975809]]","[[28909568, 28913664, 28907520]]",[22597510.32784548],[39659644.37779691],[39596181.701831125],[106653480.56468424],[259133005.298646],[3127497700.649654],[9958099489.741697],[11125771328.302803],[0.569786004952089],[0.08285633759053382],[0.3712600985189269],[0.8950480102363177]
9,9,"[[5849676, 5757040, 5711692]]","[[23252992, 23252992, 23250944]]",[25224985.85861781],[39478329.642890066],[39391680.73608385],[99316792.90711036],[241989691.60399604],[2964806420.539787],[9450379774.360554],[11046173117.059132],[0.6389577797945348],[0.08162073919144382],[0.39662658834469566],[0.8555342808964203]
10,10,"[[5580370, 5495352, 5465184]]","[[14938112, 14938112, 14936064]]",[25140769.883362528],[38497179.31225343],[38408866.0157885],[95980767.83943635],[234070215.76431805],[2887377038.0586243],[9207672867.669525],[11140021721.56793],[0.6530548557712218],[0.08106673035042872],[0.40017252289585414],[0.8265399384134745]
11,11,"[[4916244, 4811200, 4693776]]","[[7804928, 7802880, 7804928]]",[23065870.02404718],[34565807.247703366],[34478798.46837326],[84903739.8536272],[206614863.23922682],[2596712027.5944757],[8290812043.138285],[11168159645.978197],[0.6673030911372606],[0.07956787700892243],[0.40609281202234676],[0.742361526513808]
12,12,"[[5992681, 5881232, 5812205, 5904692]]","[[22038528, 22040576, 22036480, 22038528]]",[30651137.38993724],[50518293.62195812],[50455367.88138644],[134728104.5494149],[325747163.02421254],[3825570415.9725566],[12152736660.512533],[13779691640.246931],[0.6067334264951204],[0.08514995872619414],[0.37449771931498277],[0.8819309588189563]
13,13,"[[5623666, 5567864, 5521108, 5587169]]","[[17463296, 17463296, 17461248, 17438720]]",[33549741.26362938],[50620942.0671461],[50535157.2359399],[128293164.85975026],[309181234.8953258],[3674939773.9237876],[11683613203.103935],[13899601713.653368],[0.6627640635199431],[0.08413232703544646],[0.3939037382949029],[0.8405717979406057]
14,14,"[[5188907, 5120497, 5082551, 5115748]]","[[11218944, 11212800, 11204608, 11200512]]",[32497929.386548016],[47735108.04175366],[47647397.608475715],[118616389.73768963],[284894272.04513097],[3431911280.864072],[10914862451.919415],[13852671083.229351],[0.6807972312144396],[0.08301329746886742],[0.40169320372879336],[0.7879247537417837]
15,15,"[[4189798, 4095039, 4057096, 4086980]]","[[5849088, 5849088, 5847040, 5849088]]",[27544132.70413055],[39216632.56674441],[39130380.10286487],[95714993.17287225],[229366883.242325],[2840417489.228058],[9053403945.2641],[13858409650.43703],[0.7023584357288212],[0.08075111638066283],[0.40882184499758484],[0.653278707559247]
16,16,"[[5623054, 5732737, 5660296, 5684800, 5644288]]","[[17539072, 17541120, 17541120, 17506304, 17506304]]",[38772012.84388781],[60413210.0942593],[60350120.771323696],[160419647.78800425],[385621370.5333533],[4451036565.332806],[14114045580.997795],[16354863808.189753],[0.6417803785528702],[0.0866363070429012],[0.37620155388370397],[0.8629876559369537]
17,17,"[[5299453, 5337688, 5276280, 5402731, 5405376]]","[[13668352, 13668352, 13668352, 13668352, 13668352]]",[41932290.311412886],[60419859.57971628],[60327895.66050668],[152750770.25209478],[365795243.7367382],[4267652324.364289],[13546915675.324009],[16611672490.851845],[0.69401502425024],[0.0857134592826109],[0.3949433155783341],[0.815505824761738]
18,18,"[[4756930, 4750332, 4729793, 4758207, 4852064]]","[[8960000, 8960000, 8960000, 8960000, 8960000]]",[39162716.73999391],[54993735.359742664],[54902748.153383575],[135295479.43455505],[324329413.6415221],[3842509854.3899455],[12205995586.086376],[16605132749.292023],[0.7121305087535913],[0.08440561662346449],[0.4057988366118401],[0.7350736528503087]
19,19,"[[3550774, 3536113, 3540804, 3595232, 3659100]]","[[4681728, 4681728, 4681728, 4681728, 4681728]]",[31631139.783522636],[42922407.53499036],[42833139.205944106],[103992897.35978843],[248068258.0453079],[3032118869.418955],[9654931479.461351],[16677903057.81297],[0.736937688263104],[0.08181350030411084],[0.41188523729416404],[0.5789056001820553]
20,20,"[[5574010, 5560329, 5466101, 5536756, 5516979, 5538603]]","[[14309376, 14309376, 14311424, 14311424, 14311424, 14311424]]",[47104076.822744854],[69807001.83992544],[69740197.46456026],[184752493.03814736],[442649686.2148886],[5043889179.368588],[15977662787.779905],[18927111380.455864],[0.6747758187747311],[0.08775959789630053],[0.37747906032402184],[0.8441680543116812]
21,21,"[[5187462, 5112436, 5135724, 5097725, 5152335, 5112941]]","[[11606016, 11606016, 11606016, 11606016, 11606016, 11606016]]",[49345602.39887137],[69453744.20978917],[69363929.53683986],[177070245.62385947],[423316036.9667504],[4867116448.418404],[15430317381.393093],[19389366938.063583],[0.710481529258092],[0.08697470904036193],[0.39173114202476356],[0.7958133667119159]
22,22,"[[4256501, 4241861, 4226929, 4240315, 4268992, 4273524]]","[[7487488, 7493632, 7493632, 7497728, 7497728, 7497728]]",[43989909.748973936],[59234859.39097156],[59138042.31397],[144131080.2304558],[343245402.963282],[4026448078.9002953],[12781563777.602556],[19140034071.691105],[0.7426355055327232],[0.08524769132426743],[0.41030735507853194],[0.6677921120583068]
23,23,"[[3122750, 3105244, 3082861, 3102363, 3140976, 3138900]]","[[3903488, 3903488, 3905536, 3903488, 3905536, 3903488]]",[34909079.60261767],[45439728.60171337],[45350302.59428001],[109282464.89695668],[259822627.90129644],[3139659146.132723],[9991096653.771032],[19503054429.793774],[0.7682501783538686],[0.08275504308209161],[0.414982427757657],[0.5122836881646686]
24,24,"[[5351550, 5372372, 5288568, 5340611, 5356549, 5321767, 5266156]]","[[12335104, 12335104, 12337152, 12337152, 12337152, 12335104, 12335104]]",[56365611.94003266],[80716165.57514173],[80643539.11915791],[213118870.95774195],[509991632.248434],[5738797200.08209],[18165929826.115005],[22062470578.60096],[0.6983187511250121],[0.08886733830586292],[0.37839698923305687],[0.8233860193216382]
25,25,"[[4761966, 4782065, 4757624, 4774526, 4765308, 4766592, 4700405]]","[[9867264, 9867264, 9867264, 9867264, 9867264, 9848832, 9846784]]",[55700705.61713083],[75937640.92693047],[75841623.58578287],[191129873.51948267],[457691017.0892736],[5231154279.884058],[16576207504.676268],[22150546506.171883],[0.7335058732036166],[0.0874933126803933],[0.3968067481510263],[0.7483430487847142]
