,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,0,[[5818071]],[[31504384]],[5664245.00892275],[23466110.1330275],[23407415.186123338],[47162430.244924024],[90963386.91872826],[1355574332.519878],[4524346336.634375],[5560575964.382185],[0.2413798016293539],[0.06710320838668904],[0.4963148647040431],[0.8136470692271278]
1,1,[[5710297]],[[31508480]],[5878467.793938748],[23029692.850158725],[22969381.410272613],[47252694.78750599],[90707969.54349531],[1335424346.4679239],[4457728238.2439575],[5549544385.550803],[0.2552560223962445],[0.06792445396357319],[0.4860967509591836],[0.8032602189560683]
2,2,[[5466126]],[[31369216]],[6453992.543593148],[22306640.16429804],[22238480.29810945],[45273226.08393223],[87319334.61783136],[1302076248.7924418],[4347058890.347831],[5550169805.828405],[0.28933055341623415],[0.06706161386386716],[0.49120600013971694],[0.783229890693227]
3,3,[[5212326]],[[23060480]],[6641725.785165555],[21510751.970220037],[21445680.50928613],[43729992.3700509],[84659563.04175767],[1270695800.8572247],[4241698371.0873547],[5549864674.914957],[0.308763068551044],[0.06662457134480608],[0.49041125659956686],[0.7642886123439311]
4,4,"[[5274076, 5286157]]","[[31522816, 31412224]]",[13699044.333090436],[41321344.61593822],[41240102.88764349],[81010794.80615428],[147535231.82491088],[1890411740.2848332],[6310445353.435526],[8244587964.208306],[0.331524650526656],[0.0780439671849908],[0.5090692294320083],[0.7654045758054437]
5,5,"[[5128502, 5130099]]","[[31559680, 31406080]]",[14517547.382567389],[40773867.847075656],[40687968.30044916],[79900764.32700083],[145494720.09648028],[1870009340.0374458],[6242880035.228804],[8372736990.563073],[0.35605028782199777],[0.07780427454633293],[0.5092312776124408],[0.7456199857066053]
6,6,"[[4914665, 4878635]]","[[22355968, 22353920]]",[14653339.376170848],[39035098.61500847],[38954573.40885989],[75183125.9716874],[138455118.74528286],[1818231811.0741441],[6068573051.186476],[8360291951.838934],[0.37538881406941893],[0.07614822153149366],[0.5181292065925733],[0.7258805178270873]
7,7,"[[4497160, 4425570]]","[[11679744, 11679744]]",[15444198.232640596],[35739455.71364005],[35662263.73957932],[70647477.70921643],[129893320.68573456],[1704207743.0457103],[5687929873.989743],[8358866732.359021],[0.43213300046833897],[0.0762191823243292],[0.504791747645464],[0.6804666297610068]
8,8,"[[4975858, 4956062, 4996000]]","[[28268544, 26279936, 29763584]]",[23476276.425099712],[55375622.27396234],[55275970.81723993],[107380774.46585724],[193149241.38282916],[2340914932.2851624],[7815067413.316346],[10984191746.250729],[0.42394605172930533],[0.08251014965088034],[0.5147659913257141],[0.7114831563263533]
9,9,"[[4898877, 4855332, 4842580]]","[[23287808, 23285760, 23285760]]",[22068217.287102662],[55952810.4072438],[55870728.94247002],[109136543.76784472],[196422517.85743183],[2372934866.541712],[7917352040.040724],[11148038526.902914],[0.39440766471751076],[0.08277619441940089],[0.5119341974152879],[0.7102013525459423]
