,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,0,[[4408942]],[[32946176]],[5532340.380427105],[10728443.43090333],[10663406.529175865],[29803141.260651015],[77615355.5849339],[1220478677.1939628],[3949500176.341216],[5450588358.434491],[0.5156703687779323],[0.06359419220938917],[0.35779471821162434],[0.7246007066795969]
1,1,[[2026786]],[[32958464]],[6348575.976678701],[9412107.840566266],[9342349.442614254],[20730652.369996287],[51273495.13287076],[1066203577.0773692],[3441579233.29457],[5464219382.540574],[0.6745116061373929],[0.04808977969612467],[0.4506539049458735],[0.6298391393821412]
2,2,[[1349770]],[[32933888]],[6846531.3624057],[9208099.43261955],[9133746.714686746],[18223792.82265958],[45854302.69347409],[1047386471.3019053],[3376250308.956763],[5532575713.327909],[0.743533604573379],[0.043779735512983114],[0.5011989986700127],[0.6102492733761268]
3,3,[[998418]],[[32960512]],[6365015.106132722],[8575176.499171672],[8510626.926266104],[16057403.656647079],[40629771.76573119],[1003445838.5562431],[3232772125.3022504],[5354105736.428876],[0.7422605361822648],[0.0404902489049028],[0.5300126414112452],[0.6037931046648456]
4,4,[[793630]],[[32980992]],[6579389.934923884],[8685223.21968049],[8615560.8743773],[15709002.822108643],[39864798.90993164],[1024358396.5378267],[3299460415.3485737],[5506910359.648063],[0.7575383808230924],[0.03891684692063686],[0.5484473439811133],[0.5991491053722975]
5,5,[[655996]],[[32997376]],[6524891.904523816],[8484036.663406437],[8415433.424174085],[15418547.967050787],[38760860.09200865],[1008063877.7223551],[3247408677.0452065],[5500133891.111236],[0.7690787019659103],[0.038450797562140517],[0.5457993477827967],[0.5904235681050133]
6,6,[[5390489]],[[32995328]],[7329452.805357439],[12606095.419997228],[12531720.022131326],[33815406.67889241],[82939347.82277662],[1316985864.0037324],[4249852783.90808],[5461118209.151114],[0.5814213331854227],[0.06297664241485097],[0.3705920245505617],[0.7782019398127411]
7,7,[[2581042]],[[32948224]],[7799941.03940174],[11236545.048587063],[11164722.480834838],[24460695.53748583],[58347828.84050224],[1175261513.759544],[3773515982.9790993],[5431305003.227954],[0.6941583027233572],[0.04964667706496521],[0.4564352008602938],[0.6947715108498619]
8,8,[[1714666]],[[32976896]],[8332807.0238438705],[11011801.388110967],[10940779.468430156],[20846456.419044014],[50641383.74465726],[1150195794.8244174],[3684896749.422793],[5506952398.017522],[0.7567160658055904],[0.044028489734122093],[0.5248268218110848],[0.6691353916095841]
9,9,[[1269062]],[[32958464]],[8386598.738230281],[10772218.79359155],[10701174.970580358],[19889264.53562266],[47438290.58967387],[1137351962.3768597],[3642527802.2748804],[5543712253.278684],[0.7785395839916948],[0.04170941991477856],[0.5380377414868218],[0.6570557121034921]
10,10,[[1005738]],[[32964608]],[8469773.334001247],[10597693.09119743],[10525941.66631276],[18857430.898762453],[44797314.98573858],[1106751007.3546796],[3543669884.5605803],[5525550507.802291],[0.799209154399493],[0.040476416726117716],[0.5581853499992695],[0.6413243132167159]
11,11,[[837350]],[[33005568]],[8395048.127930366],[10517990.584450014],[10450301.366305286],[17658032.75618962],[42867476.34555058],[1114633246.606664],[3568806191.469865],[5545347222.057361],[0.7981608331482779],[0.03845881726213916],[0.5918157198254247],[0.6435676700774409]
12,12,[[5805570]],[[32985088]],[9271426.01325246],[14758959.751473371],[14679758.311808925],[36559428.76784112],[83858700.81881765],[1383613658.6673362],[4457371582.344542],[5442037046.298737],[0.6281896671157263],[0.06060846558828304],[0.4015313916699301],[0.8190630722325034]
13,13,[[3112150]],[[32933888]],[10659505.393581262],[14618977.70675404],[14549514.085741745],[28998682.402931634],[64036819.97655274],[1290237839.3643389],[4127191564.075731],[5516373938.591236],[0.7291553217607355],[0.049631795024785305],[0.5017301780673613],[0.7481711011653658]
14,14,[[2077798]],[[32991232]],[11206994.071569718],[14206893.750139842],[14134252.772900797],[26022767.437494505],[56481335.31353479],[1266645389.003124],[4040297880.1260347],[5524622105.203286],[0.7888419712760508],[0.04459127693030704],[0.5431494865736561],[0.7313256550743512]
