,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,0,[[4881022]],[[32921600]],[7449095.967744829],[19759562.24272706],[19687364.402540535],[40980768.72710712],[79135212.51756462],[1205990656.629289],[4037894939.0362787],[5467985918.170183],[0.3769868925353664],[0.06561842919972978],[0.4804049561305115],[0.738461107885868]
1,1,[[2541402]],[[32989184]],[9555391.980123898],[17432987.897427697],[17359740.338502023],[31150721.26101307],[58813670.90542264],[1115133204.3007965],[3730064373.761294],[5521673300.653373],[0.5481212994780907],[0.05274138612193832],[0.5572821313845064],[0.6755315229026534]
2,2,[[1712734]],[[33001472]],[10358614.015779456],[16426931.764320293],[16356217.22122641],[26541633.809028],[51109407.15859526],[1067928631.1949753],[3569850238.664752],[5454968554.107614],[0.6305872675674361],[0.047858448276085264],[0.6162475655761224],[0.6544217814008553]
3,3,[[1248493]],[[32942080]],[11077310.722940939],[15815726.508274494],[15745019.400994223],[24633278.049399335],[47033178.139824815],[1046773201.0892029],[3498487940.7273264],[5518067645.615867],[0.7003984747172692],[0.044931584120500224],[0.6391767822950447],[0.6340059900329227]
4,4,[[1007489]],[[33007616]],[11380352.953507865],[15493682.657429101],[15418596.865882626],[23662281.699944608],[45319435.55978509],[1035009125.0291119],[3458180801.1711597],[5497011365.007058],[0.7345156864982693],[0.04378650821895931],[0.6516107390403826],[0.6291019922544256]
5,5,[[843388]],[[32907264]],[11315564.12378891],[15140120.957162969],[15066702.43209914],[22975639.308727793],[43934762.80041467],[1022744462.446885],[3416969140.002957],[5459881198.861598],[0.7473892814862476],[0.04295771271672504],[0.6557685829606372],[0.6258321409475732]
6,6,[[5002866]],[[32935936]],[7522508.745974872],[19627558.77009619],[19560192.522553604],[40763718.437514655],[79321202.24937737],[1201626456.9774911],[4023058620.452903],[5459535343.845524],[0.3832625765684056],[0.0660115311116716],[0.47984318585991537],[0.7368866335828477]
7,7,[[2711914]],[[32970752]],[7857381.012835253],[16480409.567478664],[16410959.056272777],[30652516.199832316],[58914596.55153247],[1154349994.9885697],[3860726822.783125],[5496385883.92395],[0.4767709795477706],[0.05103703106276345],[0.5353870119270193],[0.7024118947097826]
8,8,[[1824642]],[[32985088]],[7967955.213903264],[14640076.892504707],[14567441.68387426],[25721073.46426389],[50325592.197199225],[1113963559.6783009],[3723925349.2408257],[5510774661.534463],[0.5442563773679785],[0.04517705427611352],[0.566362119532602],[0.67575351524243]
9,9,[[1358698]],[[33009664]],[8146832.7297227625],[13581689.157364631],[13510505.931921897],[23329271.734522976],[46065969.16425998],[1082496559.8582919],[3616816935.836125],[5510826469.51523],[0.5998394334702593],[0.042555303058229035],[0.5791224897916065],[0.6563111641862831]
10,10,[[1046857]],[[33003520]],[8457568.97677203],[12590106.903788336],[12515551.110738056],[20130503.823231112],[41858230.870141484],[1047362959.4844037],[3501317733.205738],[5492237477.862525],[0.6717630788525843],[0.03996535345373248],[0.6217207090611807],[0.6375029753025874]
11,11,[[866594]],[[32937984]],[8259141.782159971],[12294613.838665644],[12224813.345390923],[19395572.199544225],[40551236.859548755],[1047466365.3498688],[3499124436.8458714],[5502160775.371386],[0.6717691088585138],[0.0387136410303772],[0.6302888731314765],[0.635954596693821]
12,12,[[4914034]],[[32960512]],[7239138.118502773],[19530227.38880483],[19463029.68113464],[41891224.34090311],[80421992.85342102],[1187514311.5662968],[3976439994.4490795],[5390088230.599503],[0.3706632787415681],[0.06772296726878749],[0.4646087572601858],[0.737731893120942]
13,13,[[4648814]],[[32909312]],[6706887.967011326],[19173555.237718314],[19103926.28588931],[40121332.389509864],[77847481.44049528],[1277104863.827698],[4262794551.830963],[5526461081.358605],[0.3497988705723966],[0.06095621717951437],[0.4761538350826112],[0.7713425443653017]
14,14,[[3983974]],[[32927744]],[6268484.855550127],[16447226.137463177],[16380424.264732473],[34693791.881286845],[71948576.90875839],[1229157150.7217984],[4092267625.649821],[5513412281.608924],[0.3811271762885227],[0.058534888615754295],[0.4721428064358614],[0.7422386385470189]
15,15,[[3742958]],[[33118208]],[6205458.416916778],[15816181.80658625],[15749383.323055675],[32704995.183741923],[68040563.91486973],[1259631332.857389],[4184539557.988291],[5505565730.514235],[0.3923487029172029],[0.054016252327198214],[0.48155895558379097],[0.7600562345111523]
16,16,[[3582590]],[[32995328]],[6289992.507034253],[14862205.027234856],[14791046.547511807],[30664443.41010785],[64280800.51618096],[1246583269.242952],[4134056333.203437],[5430921506.150889],[0.4232206792671679],[0.05156558900009831],[0.48235170453595344],[0.7612071595071547]
17,17,[[3516542]],[[32993280]],[5483677.44624937],[14596492.251112415],[14532582.417394057],[31093274.29043134],[64969503.39063685],[1308565407.4579284],[4331684897.184326],[5473764260.484232],[0.37568460640476503],[0.04964941226503091],[0.4673866856751822],[0.7913539368977368]
