,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,0,[[5490262]],[[32976896]],[6286288.4285401385],[21579053.843570553],[21509019.789303463],[45163606.965057895],[86453762.44848533],[1273159290.395332],[4264555805.8628407],[5468835931.211454],[0.2913143678175273],[0.06790490640149226],[0.4762467224095836],[0.7797922372335931]
1,1,[[2922154]],[[33054720]],[8640459.005740412],[20224710.94438185],[20154333.761915617],[34683451.82395911],[64372524.67007864],[1197490411.2567074],[4005796005.886982],[5514832444.762522],[0.427222867585191],[0.05375619217069374],[0.5810936542363736],[0.7263676722746703]
2,2,[[2001774]],[[33017856]],[9720622.137452167],[18898654.69777225],[18829371.247048542],[31424533.97752587],[58379484.9477718],[1142842554.906527],[3821307198.4608636],[5499890662.318346],[0.5143552434236508],[0.05108270137223465],[0.599193332843532],[0.6947969392631678]
3,3,[[1461721]],[[32993280]],[10631438.782342363],[17695535.296278942],[17619331.761456255],[28041716.94749171],[52303107.770575985],[1084547163.054345],[3625539277.029093],[5432054737.393319],[0.6007978060193503],[0.04822575684332426],[0.6283257118117469],[0.6674342311154399]
4,4,[[1134417]],[[32993280]],[10911070.617488904],[17064093.77395972],[16988710.732937988],[25113995.758063223],[48548414.29212634],[1066117303.9843485],[3563019810.553923],[5450642597.567008],[0.6394169395704741],[0.045537591511448795],[0.6764638688562137],[0.6536880279298336]
5,5,[[936206]],[[32997376]],[11263436.289625518],[16637560.995119672],[16560886.612818116],[24878394.681377165],[47032300.69150783],[1061354974.7823757],[3546700655.6255918],[5499502761.756161],[0.6769884295498266],[0.044313450079368134],[0.6656734417520453],[0.6449129692759752]
6,6,[[5447085]],[[32989184]],[6647973.461994848],[21447103.861630265],[21372453.170755878],[43818159.87020127],[84033307.72372031],[1253890841.7671404],[4199796314.1107574],[5435311562.772324],[0.309970684381696],[0.06701804090481275],[0.4877533249699586],[0.7726873180327161]
7,7,[[3311982]],[[32970752]],[6632397.906805327],[19083919.7964737],[19015377.157864727],[34424043.70661941],[65346393.76498996],[1231927960.0500534],[4121701877.278486],[5415380215.080514],[0.34753855484295487],[0.05304400572443776],[0.5523865040354993],[0.7611103401014301]
8,8,[[2143485]],[[32937984]],[7151228.074551438],[16754028.165187862],[16680162.983001864],[28207136.62085741],[54585976.84970267],[1174801487.2384796],[3928357961.1977067],[5462987244.414155],[0.4268363407321067],[0.04646400046531602],[0.5913454884558516],[0.7190860577634351]
9,9,[[1584382]],[[32952320]],[7227947.045378125],[15424822.444068559],[15348993.233872423],[25147164.905574836],[49662427.04621393],[1135329193.6471467],[3795906103.686105],[5460420188.157674],[0.4685919122626628],[0.04374275525028797],[0.6103667467687274],[0.6951673997394017]
10,10,[[1231082]],[[32927744]],[7566804.274965831],[14321361.941502636],[14244253.194243697],[22768775.97947421],[46356067.66454582],[1113950812.5580869],[3723214165.105395],[5498211404.897485],[0.5283578688865886],[0.04161410642368788],[0.6256046968482069],[0.6771682445292979]
11,11,[[1004010]],[[33030144]],[7648572.749473744],[13482570.264472954],[13407650.5189779],[21177581.338406503],[43405030.929603115],[1075569425.481681],[3593789392.7509165],[5418829966.98852],[0.5672933720677875],[0.040355396779863544],[0.6331058445594312],[0.6632039415601265]
12,12,[[5343145]],[[32985088]],[7075463.877276424],[21694338.02401184],[21612112.240375392],[44042673.89043272],[84610737.60738908],[1263328847.6740444],[4232251626.604313],[5522237031.568143],[0.3261433406930934],[0.06697443643685383],[0.49070845003963615],[0.7664016597640477]
13,13,[[5218686]],[[32962560]],[5552423.912071802],[20984550.454302512],[20917730.6958961],[44876630.57689517],[84831172.7415999],[1352765972.0045018],[4514859114.61058],[5517706990.660421],[0.26459579985585896],[0.06270942239617304],[0.46611633776858546],[0.8182491607931851]
14,14,[[4415078]],[[32917504]],[5123988.0712294495],[17724877.697515037],[17657645.883827638],[37857502.98311157],[77316876.5066425],[1285388163.99754],[4279505489.0403357],[5488344611.094287],[0.28908453748867413],[0.06015060560864981],[0.46642394485724026],[0.7797443113155884]
15,15,[[4201454]],[[32950272]],[5037676.062755914],[17050987.113469955],[16985143.838594466],[35767247.05750515],[73968516.76322956],[1320710667.5035925],[4387013557.590335],[5497733281.581916],[0.2954477667029756],[0.056006602038768165],[0.4748798198331124],[0.7979676955750784]
16,16,[[3996130]],[[32946176]],[4695996.383026792],[16195072.402651703],[16132754.828353668],[34498159.37124321],[70884298.03443652],[1343552413.1207075],[4453917736.840909],[5473284078.674462],[0.28996451922363076],[0.05275886325103726],[0.46764103135895196],[0.8137559960015036]
17,17,[[3811948]],[[32972800]],[4675959.567289548],[15683679.42139254],[15617441.742874393],[34278137.88019628],[69611067.71903436],[1377448979.0652213],[4559739724.430438],[5499360795.773645],[0.2981417460568302],[0.050536222231820555],[0.4556093973791136],[0.8291399480344475]
