,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,0,[[2079699]],[[22351872]],[3060830.63955435],[8007440.241085441],[7929070.260741153],[18879508.712609787],[55857646.82729241],[1092165792.1687112],[3449131501.3789487],[5541946380.732586],[0.38224832748042364],[0.051143926341417456],[0.41998287039351073],[0.6223682555591616]
1,1,[[1740518]],[[22620160]],[2857599.466789725],[6911948.908564274],[6829159.556024613],[16480594.289910574],[51349954.29115004],[1029527115.5385945],[3259626518.22305],[5490032102.011532],[0.41342890472598925],[0.049877223742947695],[0.4143758068363728],[0.5937354204229028]
2,2,[[1496530]],[[22757376]],[2625370.4237884255],[6214797.768784543],[6139605.339179951],[14649142.969899055],[48117810.10941092],[992218500.9481874],[3148271036.5768056],[5456388012.557073],[0.4224385927688652],[0.04849517526979028],[0.4191102067742505],[0.5769881154587108]
3,3,[[1306510]],[[22855680]],[2436989.0516086295],[5654322.262217346],[5577192.661016742],[14045193.671485258],[47318549.66914964],[972033542.1364315],[3089329139.4675965],[5495248464.887805],[0.4309957831538528],[0.04867995559612917],[0.3970890534845122],[0.562181884805944]
4,4,[[2680499]],[[22339584]],[4019372.4261838365],[9860775.430331362],[9777886.731867876],[22140810.000935316],[61959413.1534351],[1190052936.369247],[3725744663.9052496],[5445669489.959027],[0.4076122060158071],[0.05206441769092066],[0.4416228101616345],[0.684166505289193]
5,5,[[2325375]],[[22648832]],[3817614.5249004723],[8898280.78735642],[8815803.13411813],[20181928.18334028],[59919320.32721602],[1163391158.0397654],[3646553133.5099416],[5516130907.286006],[0.4290283276208733],[0.05150401901642091],[0.43681669333237316],[0.6610708111900273]
6,6,[[2076678]],[[22759424]],[3489871.9791639694],[8122532.169399365],[8045469.687078767],[18620867.23969812],[58205879.92634281],[1133782604.6220043],[3555457717.4698844],[5526158060.120234],[0.42965320498349396],[0.05133777823813787],[0.4320673996282248],[0.6433869025802942]
7,7,[[1855778]],[[22831104]],[3278723.8608210213],[7328487.5561703425],[7251469.365309539],[17194219.402933296],[56974180.6121243],[1105835772.1230495],[3469572647.476216],[5519396405.975615],[0.44739434101384873],[0.051521376002100085],[0.4217387946132905],[0.6286145064195531]
8,8,[[2670251]],[[22347776]],[5847049.977756713],[12126590.293183861],[12042644.460073488],[24908455.39501267],[63072052.76833705],[1202054734.8592985],[3762913664.086363],[5543833864.295768],[0.4821676857544395],[0.052470200348838265],[0.48347616378030184],[0.678756571029454]
9,9,[[2469531]],[[22634496]],[5737688.900992024],[11157940.605071193],[11076295.273492657],[23264461.481007364],[61953894.86448826],[1181457668.4275591],[3694520652.6851606],[5508625672.479387],[0.5142247215749016],[0.05243852278426931],[0.47610366062137827],[0.6706791988322356]
10,10,[[2301759]],[[22736896]],[5405262.747760205],[10506714.029199252],[10427892.646344978],[21927516.767467022],[61824554.75539089],[1184819831.419213],[3700159695.4135423],[5528431347.29809],[0.5144579678040553],[0.05218055363011232],[0.47556195062709633],[0.6692964899024967]
11,11,[[2166345]],[[22845440]],[5218919.952574956],[9858648.134881768],[9777832.534840805],[20923577.70525484],[61646574.33031608],[1171605501.210154],[3652613027.326229],[5513903837.550074],[0.5293748068875109],[0.05261717725517778],[0.4673116936586402],[0.6624368387514626]
12,12,[[2836665]],[[22335488]],[6028839.861147806],[12630374.073967855],[12545167.844448758],[26539218.92746193],[65377826.71516382],[1226521174.9747455],[3831146623.600662],[5494111452.681557],[0.47732868605797635],[0.053303463526840435],[0.4727029788908905],[0.697318694132199]
13,13,[[2621570]],[[22644736]],[5921969.427549227],[11871754.001850948],[11786195.570391892],[24602802.900480438],[64093597.11603248],[1229005727.1972847],[3834097538.219568],[5537399094.025952],[0.498828515704244],[0.052150771715438825],[0.47905905754184347],[0.692400434412611]
14,14,[[2458898]],[[22788096]],[5654404.480781423],[11043563.958391028],[10957612.469875349],[23123410.430330954],[62989515.25074394],[1215303986.4620774],[3785310071.037051],[5491885081.402795],[0.5120090309691321],[0.05183025477774937],[0.47387527470871077],[0.6892551491755118]
15,15,[[2320773]],[[22847488]],[5165900.024029752],[10355931.556471918],[10277787.251315763],[22304131.434880074],[63204650.645344116],[1221316990.9461787],[3796569313.7889924],[5510436051.091785],[0.498834894365571],[0.051751225205160054],[0.4608019496891485],[0.6889780189059224]
