,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,0,[[2881192]],[[22339584]],[5875828.425459983],[12502494.063285416],[12412174.588269783],[26314397.452730104],[66648441.96998202],[1243152282.8862414],[3876920695.610362],[5519776082.446105],[0.46997250274365876],[0.053612451899491785],[0.4716875851163382],[0.7023691971744429]
1,1,[[2876913]],[[22358016]],[6144841.163270152],[12553197.347904395],[12466285.246248305],[27553152.528258394],[67590621.27320787],[1234093263.9436522],[3847766691.2429905],[5518968968.024497],[0.4895040676068045],[0.05476945968995583],[0.4524449691723274],[0.6971894050385086]
2,2,[[2839161]],[[22355968]],[6220902.812043603],[11732212.131204408],[11654423.60185172],[25278752.62158074],[63685968.073368154],[1149363135.2788384],[3579192830.6854963],[5249508348.308472],[0.5302412488347137],[0.05540978835894],[0.46103634053138426],[0.6818148659271692]
3,3,[[2844786]],[[21991424]],[6400401.997720812],[12244511.297843745],[12157991.740061754],[25960551.810117073],[65745879.76303973],[1218958655.104253],[3798059111.6334367],[5542274897.681227],[0.5227160024629094],[0.05393610315471834],[0.46832562839914943],[0.6852888356769287]
4,4,[[2822631]],[[11927552]],[6376176.868139479],[11942263.990330702],[11860413.142973172],[25184080.874484807],[64051249.87880143],[1186533926.1111906],[3696732902.970676],[5462281657.091829],[0.5339169250740129],[0.05398181077613719],[0.47094881890208357],[0.6767744937083401]
5,5,[[2780101]],[[9523200]],[6514999.362403344],[11950936.159567857],[11868896.835089017],[25229388.084972758],[64087327.54694267],[1188140305.4336982],[3701057600.3340874],[5515714612.313977],[0.5451455246196316],[0.05393919157009773],[0.4704393461749642],[0.6710023742112]
6,6,[[2737947]],[[8075264]],[6524466.624442631],[11751277.321914813],[11672094.333152361],[25024865.477248687],[63645542.37868306],[1177165450.6733916],[3667033698.7076626],[5496173343.297044],[0.5552133989958039],[0.05406677739503393],[0.466419863226199],[0.6671976063454874]
7,7,[[2676506]],[[22638592]],[5833175.230447711],[11512494.277299287],[11432769.512688072],[24718785.570673015],[65305542.31919348],[1213943926.237983],[3778258404.0971036],[5466359369.0008335],[0.5066821394169774],[0.05379617699606243],[0.4625133981603124],[0.6911836835176299]
8,8,[[2643630]],[[22622208]],[6151495.002541894],[11704787.963041928],[11618616.730767863],[25141567.284746483],[64794021.20699792],[1204080816.8850422],[3749189138.4795365],[5464956444.054004],[0.5255537325379449],[0.05381202017205132],[0.46212778221733763],[0.6860419066210014]
9,9,[[2629213]],[[22638592]],[6370847.385666521],[11782207.468753058],[11694839.010716306],[24735459.636273775],[64717724.5234527],[1211697349.9832582],[3772581821.1511893],[5536455270.529206],[0.5407176373835119],[0.05341079975486196],[0.47279651086677976],[0.681407441550699]
10,10,[[2617401]],[[22247424]],[6213499.133669645],[11375329.833418535],[11293769.179935338],[24254421.21651267],[63884041.33843853],[1192375332.9409623],[3710164670.710201],[5480040234.957828],[0.5462258435281214],[0.053577124227209755],[0.46563754620730424],[0.6770323777994585]
11,11,[[2584654]],[[11929600]],[6199797.078130365],[11158668.722594569],[11082424.366330553],[24041318.812361896],[63360193.464659676],[1180569998.4905126],[3671058105.1863513],[5490540011.809827],[0.5556036506018627],[0.05366915434550479],[0.4609740610665684],[0.6686151266159835]
12,12,[[2561902]],[[9531392]],[6289739.087298709],[11039095.224900097],[10963358.025597194],[24026515.748062037],[63057107.64970914],[1171445177.4673493],[3642464118.7705374],[5487347239.464278],[0.569769438451024],[0.05382847517118801],[0.4563024510318976],[0.6637932610814959]
13,13,[[2528840]],[[8075264]],[6705959.079670533],[11045579.977505932],[10972537.493459208],[24037017.076583616],[62360301.54940804],[1153225765.6743877],[3587618402.754082],[5472426388.531485],[0.6071169728820998],[0.05407466898984931],[0.4564849897347885],[0.6555809339478046]
14,14,[[2490279]],[[22784000]],[5556675.354121431],[10982897.844951648],[10901240.787975933],[23618713.307599675],[64405061.414784506],[1218413078.6887925],[3788305561.42299],[5494181695.530049],[0.5059389090717609],[0.05285979159391055],[0.4615510017841783],[0.6895122461102944]
15,15,[[2467283]],[[22804480]],[5851172.741705594],[11049959.975153347],[10967418.990500802],[23491445.536817506],[64115244.78493561],[1208442049.9169385],[3756709270.009412],[5514800694.586637],[0.5295198131814404],[0.053056118652394235],[0.4668686298300317],[0.6812049025991133]
16,16,[[2447605]],[[22779904]],[6154238.908382297],[11085597.009277722],[11000803.068721067],[24778160.63888147],[65714001.55793218],[1207933204.750174],[3755962916.1810865],[5549975070.3121195],[0.5551562900249496],[0.054402016021674986],[0.44397173902645515],[0.6767531148513535]
17,17,[[2442990]],[[22407168]],[6077334.399369843],[10742473.604365403],[10661047.08369667],[23218509.58416566],[63304617.972456604],[1182354869.6115603],[3673600878.967353],[5486813060.237833],[0.5657295166078142],[0.05354113185430877],[0.45916156009286624],[0.6695327212055802]
18,18,[[2419050]],[[11925504]],[6205289.734999333],[10546138.624816297],[10468740.766395438],[23482416.212112866],[63558957.52652018],[1165652119.0234175],[3618905536.517558],[5502102043.303129],[0.5883944783731138],[0.05452652338484129],[0.4458119075921744],[0.6577314466427064]
19,19,[[2408094]],[[9525248]],[6356975.311608417],[10509962.971557382],[10431809.143823773],[22632310.300298862],[62021938.298271224],[1158224257.1538458],[3598183229.917028],[5479128810.812835],[0.6048523033631993],[0.05354916193059227],[0.46092550894753415],[0.6567071799473233]
20,20,[[2372170]],[[8073216]],[6373452.154126841],[10229751.063640833],[10148844.644793022],[22842292.28463716],[62084027.00341654],[1145357456.8097878],[3558018843.7320843],[5456770284.034197],[0.6230310116518601],[0.05420493544115196],[0.4443006208977871],[0.6520374981043983]
21,21,[[2329405]],[[22833152]],[5327386.249517404],[10400183.972162446],[10317576.875457598],[22475797.736085538],[64233579.327732176],[1224273366.7293856],[3801120869.952525],[5546379903.989568],[0.51223961650841],[0.05246669663273858],[0.45905275517284233],[0.6853336655172755]
22,22,[[2312402]],[[22867968]],[5486927.575382173],[10235806.800091766],[10150552.799179824],[22284981.20195296],[63288311.22026983],[1199589555.2265868],[3724756766.4095755],[5465679893.446833],[0.5360522802494653],[0.052758304658892675],[0.4554885062362212],[0.6814809573600229]
23,23,[[2291397]],[[22876160]],[5879846.002789167],[10348079.207153212],[10262289.547265902],[22198380.561294556],[62967917.45224385],[1192637048.0047293],[3703582045.268696],[5492256479.999178],[0.56820651302366],[0.05279721735760984],[0.46229901856711975],[0.6743279485864888]
24,24,[[2281941]],[[22472704]],[5859836.418465688],[10178544.690632],[10096046.12326751],[21984212.68463018],[62437862.59351952],[1179658290.62311],[3660017225.410889],[5492902683.480928],[0.5757047393876347],[0.05292877021237995],[0.45924074098527795],[0.6663175075753364]
25,25,[[2263250]],[[11927552]],[5780977.780462693],[9852068.65487123],[9780850.309746385],[22087496.100829944],[62517469.079518385],[1168583889.9341843],[3623553635.6099696],[5496062268.18023],[0.5867780648893837],[0.0534984861746121],[0.442822955807058],[0.6592999603713995]
