,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,0,[[2031033]],[[22341632]],[6979565.322124097],[15955009.337600686],[15881593.644278055],[26301010.702340726],[51655618.05631673],[944349572.2637626],[3090887281.4958854],[5507781616.787068],[0.4374529136548712],[0.054699678565522776],[0.6038396708026369],[0.56118551833559]
1,1,[[1982968]],[[22337536]],[7122960.054839718],[15734477.40325061],[15657082.399875486],[25902744.75370914],[50893913.80816094],[930951817.4207036],[3047401705.0973616],[5495796583.205593],[0.45269759346237803],[0.054668687310979944],[0.6044564986740825],[0.5544968156954365]
2,2,[[1938682]],[[22374400]],[7455075.640228242],[15256806.453760521],[15173314.942572154],[25330789.658562962],[50175575.8114513],[910358328.1765769],[2982025665.864925],[5479221441.179149],[0.48863932716343156],[0.055116292407574964],[0.5990067876720488],[0.5442425895499456]
3,3,[[1876063]],[[21981184]],[7469334.695685179],[14951619.853941904],[14871113.755868765],[25634244.296661403],[50167490.73427783],[898055555.4008464],[2941557751.734644],[5480058988.24341],[0.4995669210862082],[0.05586234663610049],[0.580126864040442],[0.5367748336368797]
4,4,[[1788290]],[[11939840]],[7258450.378712337],[14648455.28046492],[14572351.439797966],[24872066.417201303],[48828926.9758602],[884770750.7619295],[2896899154.3992925],[5460201467.501091],[0.49550961106405245],[0.055188224671544196],[0.5858922694786572],[0.5305480341048814]
5,5,[[1770210]],[[9523200]],[7564704.005528961],[14284212.943325764],[14207755.935124185],[24003153.920263197],[47469235.16467557],[873669114.4570256],[2861419879.938751],[5492885594.242401],[0.5295849365689789],[0.05433319591957546],[0.5919120454887453],[0.5209320002837978]
6,6,[[1707388]],[[8073216]],[7878744.282406595],[13834865.966107212],[13753927.122988291],[23620243.566222176],[47039016.7032775],[862945804.4884585],[2829173329.4935327],[5497804356.383562],[0.5694846846878039],[0.05450981563223606],[0.5822940430071143],[0.5146005834508367]
7,7,[[1702254]],[[22642688]],[7348522.288919375],[14834099.99651828],[14759436.240607793],[24622327.27321239],[48503977.17662681],[897559023.7039958],[2941953547.7251573],[5494538226.031196],[0.49538039319164295],[0.054039874699786695],[0.5994330299014899],[0.5354323560417167]
8,8,[[1671081]],[[22640640]],[7694060.440429107],[14433042.934663307],[14361671.49461867],[24063249.270131752],[48068329.22700162],[872533748.1888689],[2859760269.8608456],[5478401745.891757],[0.5330865067927267],[0.0550905100539409],[0.5968301010971506],[0.5220063081363784]
9,9,[[1631125]],[[22673408]],[7861869.442700792],[14526662.606735798],[14445330.057351088],[24494123.24971608],[47821108.444716066],[881733939.7896537],[2891183431.226096],[5536001560.200754],[0.5412027287709814],[0.0542353041963251],[0.5897467694631009],[0.5222511951606553]
10,10,[[1591834]],[[22288384]],[7883649.804303186],[14152459.866458625],[14071837.492747262],[22941388.67258868],[45700429.43064704],[863674496.9359663],[2832134280.9413357],[5495034812.530491],[0.5570515570220737],[0.05291395032825117],[0.6133821144646259],[0.5153987877352726]
