# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5628657469
#
# Overhead  Command       Shared Object            Symbol                                     
# ........  ............  .......................  ...........................................
#
    66.72%  rte-worker-2  nflr                     [.] write_variable
    16.74%  rte-worker-2  nflr                     [.] read_variable
     7.21%  rte-worker-2  nflr                     [.] worker_fsm_amac_thread
     2.25%  rte-worker-2  libc-2.31.so             [.] __memcmp_avx2_movbe
     1.94%  rte-worker-2  nflr                     [.] cuckoo_hash_first_test
     0.88%  rte-worker-2  nflr                     [.] cuckoo_hash_first_hash
     0.35%  rte-worker-2  nflr                     [.] HandleNAS
     0.27%  rte-worker-2  nflr                     [.] NewAmfUe
     0.25%  rte-worker-2  librte_net_mlx5.so.23.0  [.] rxq_cq_decompress_v
     0.19%  rte-worker-2  nflr                     [.] DeRegistered
     0.16%  rte-worker-2  librte_net_mlx5.so.23.0  [.] mlx5_tx_handle_completion
     0.13%  rte-worker-2  nflr                     [.] Decode
     0.12%  rte-worker-2  nflr                     [.] InTaiList
     0.12%  rte-worker-2  [kernel.kallsyms]        [k] perf_event_task_tick
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] __acct_update_integrals
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] timekeeping_advance
     0.10%  rte-worker-2  nflr                     [.] AllocateGutiToUe
     0.09%  rte-worker-2  nflr                     [.] send_packet
     0.09%  rte-worker-2  [kernel.kallsyms]        [k] rcu_sched_clock_irq
     0.07%  rte-worker-2  nflr                     [.] cuckoo_hash_get_key
     0.07%  rte-worker-2  nflr                     [.] Authentication
     0.07%  rte-worker-2  nflr                     [.] StopT3513
     0.07%  rte-worker-2  nflr                     [.] NewTimer
     0.07%  rte-worker-2  nflr                     [.] SendToRanUe
     0.07%  rte-worker-2  nflr                     [.] SendUEAuthenticationAuthenticateRequest
     0.07%  rte-worker-2  nflr                     [.] SendToRan
     0.07%  rte-worker-2  nflr                     [.] AttachRanUeToAmfUeAndReleaseOldIfAny
     0.06%  rte-worker-2  librte_net_mlx5.so.23.0  [.] mlx5_tx_burst_none_empw
     0.06%  rte-worker-2  nflr                     [.] HandleRegistrationRequest
     0.06%  rte-worker-2  [kernel.kallsyms]        [k] native_write_msr
     0.05%  rte-worker-2  nflr                     [.] AuthenticationProcedure
     0.04%  rte-worker-2  nflr                     [.] SetOnGoing
     0.04%  rte-worker-2  librte_net_mlx5.so.23.0  [.] mlx5_rx_burst_vec
     0.04%  rte-worker-2  nflr                     [.] UpdateLocation
     0.04%  rte-worker-2  [kernel.kallsyms]        [k] update_vsyscall
     0.04%  rte-worker-2  [kernel.kallsyms]        [k] update_fast_timekeeper
     0.04%  rte-worker-2  nflr                     [.] StopT3565
     0.04%  rte-worker-2  nflr                     [.] RanUeFindByRanUeNgapID
     0.04%  rte-worker-2  nflr                     [.] BuildDownlinkNasTransport
     0.04%  rte-worker-2  nflr                     [.] GetNgapIEMobilityRestrictionList
     0.04%  rte-worker-2  nflr                     [.] handleInitialUEMessageMain
     0.04%  rte-worker-2  nflr                     [.] cuckoo_hash_second_test
     0.04%  rte-worker-2  nflr                     [.] SecurityContextIsValid
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] error_entry
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] update_process_times
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] sync_regs
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] timekeeping_update
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] hrtimer_run_queues
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] update_rq_clock
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] update_load_avg
     0.03%  rte-worker-2  nflr                     [.] PlmnIdStringToModels
     0.03%  rte-worker-2  nflr                     [.] BuildAuthenticationRequest
     0.03%  rte-worker-2  nflr                     [.] init
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] update_curr
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] native_read_msr
     0.03%  rte-worker-2  nflr                     [.] SendAuthenticationRequest
     0.03%  rte-worker-2  librte_net_mlx5.so.23.0  [.] rxq_cq_process_v
     0.03%  rte-worker-2  nflr                     [.] SendDownlinkNasTransport
     0.03%  rte-worker-2  nflr                     [.] handlerInitialUEMessage
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] __irqentry_text_end
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] sched_clock_cpu
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] scheduler_tick
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] arch_scale_freq_tick
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] __update_load_avg_se
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] hrtimer_interrupt
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] perf_swevent_stop
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] task_tick_fair
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] tick_do_update_jiffies64
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] hrtimer_active
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] acct_account_cputime
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] decay_load
     0.01%  rte-worker-2  nflr                     [.] IdentityVerification
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] __accumulate_pelt_segments
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] tick_sched_timer
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] _raw_spin_lock
     0.01%  rte-worker-2  nflr                     [.] AttachRanUe
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] smp_call_function_many_cond
     0.01%  rte-worker-2  nflr                     [.] dispatchMain
     0.00%  perf          [kernel.kallsyms]        [k] memset_erms
     0.00%  perf          [kernel.kallsyms]        [k] native_set_fixmap
     0.00%  perf          [kernel.kallsyms]        [k] sched_clock
     0.00%  perf          [kernel.kallsyms]        [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
