# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5627772492
#
# Overhead  Command       Shared Object            Symbol                              
# ........  ............  .......................  ....................................
#
    55.64%  rte-worker-2  nflr                     [.] write_variable
    24.50%  rte-worker-2  nflr                     [.] read_variable
     8.81%  rte-worker-2  nflr                     [.] worker_fsm_amac_thread
     2.94%  rte-worker-2  libc-2.31.so             [.] __memcmp_avx2_movbe
     2.88%  rte-worker-2  nflr                     [.] cuckoo_hash_first_test
     1.33%  rte-worker-2  nflr                     [.] cuckoo_hash_first_hash
     0.54%  rte-worker-2  nflr                     [.] handleUplinkNASTransportMain
     0.45%  rte-worker-2  nflr                     [.] HandleNAS
     0.19%  rte-worker-2  librte_net_mlx5.so.23.0  [.] rxq_cq_decompress_v
     0.18%  rte-worker-2  librte_net_mlx5.so.23.0  [.] mlx5_tx_handle_completion
     0.16%  rte-worker-2  nflr                     [.] SendDownlinkNasTransport
     0.15%  rte-worker-2  nflr                     [.] UpdateLocation
     0.13%  rte-worker-2  librte_net_mlx5.so.23.0  [.] mlx5_tx_burst_none_empw
     0.13%  rte-worker-2  nflr                     [.] SecurityMode
     0.12%  rte-worker-2  nflr                     [.] Decode
     0.12%  rte-worker-2  nflr                     [.] DerivateKamf
     0.10%  rte-worker-2  nflr                     [.] Stop
     0.10%  rte-worker-2  nflr                     [.] Authentication
     0.09%  rte-worker-2  [kernel.kallsyms]        [k] perf_event_task_tick
     0.09%  rte-worker-2  nflr                     [.] BuildDownlinkNasTransport
     0.09%  rte-worker-2  nflr                     [.] DerivateAlgKey
     0.09%  rte-worker-2  nflr                     [.] cuckoo_hash_get_key
     0.09%  rte-worker-2  nflr                     [.] SendSecurityModeCommand
     0.07%  rte-worker-2  nflr                     [.] RanUeFindByAmfUeNgapID
     0.07%  rte-worker-2  nflr                     [.] GetBearerType
     0.07%  rte-worker-2  nflr                     [.] GetNgapIEMobilityRestrictionList
     0.07%  rte-worker-2  nflr                     [.] dispatchMain
     0.06%  rte-worker-2  nflr                     [.] NewTimer
     0.06%  rte-worker-2  nflr                     [.] StopT3560
     0.06%  rte-worker-2  librte_net_mlx5.so.23.0  [.] mlx5_rx_burst_vec
     0.04%  rte-worker-2  librte_net_mlx5.so.23.0  [.] rxq_cq_process_v
     0.04%  rte-worker-2  nflr                     [.] BuildSecurityModeCommand
     0.04%  rte-worker-2  nflr                     [.] SendToRanUe
     0.04%  rte-worker-2  nflr                     [.] Encode
     0.04%  rte-worker-2  nflr                     [.] SecurityContextIsValid
     0.04%  rte-worker-2  nflr                     [.] send_packet
     0.03%  rte-worker-2  nflr                     [.] Dispatch
     0.03%  rte-worker-2  nflr                     [.] SelectSecurityAlg
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] tick_do_update_jiffies64
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] timekeeping_advance
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] hrtimer_interrupt
     0.02%  rte-worker-2  nflr                     [.] ranUeFind
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] update_curr
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] hrtimer_run_queues
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] __update_load_avg_cfs_rq
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] update_vsyscall
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] hrtimer_active
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] update_min_vruntime
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] invoke_rcu_core
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] ksoftirqd_running
     0.01%  rte-worker-2  nflr                     [.] SendToRan
     0.01%  rte-worker-2  nflr                     [.] HandleAuthenticationResponse
     0.00%  perf          [kernel.kallsyms]        [k] __kmalloc_node
     0.00%  perf          [kernel.kallsyms]        [k] ghes_copy_tofrom_phys
     0.00%  perf          [kernel.kallsyms]        [k] sched_clock
     0.00%  perf          [kernel.kallsyms]        [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
