# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5627525827
#
# Overhead  Command       Shared Object            Symbol                                   
# ........  ............  .......................  .........................................
#
    43.19%  rte-worker-2  nflr                     [.] read_variable
    34.78%  rte-worker-2  nflr                     [.] write_variable
    11.90%  rte-worker-2  nflr                     [.] worker_fsm_amac_thread
     2.03%  rte-worker-2  libc-2.31.so             [.] __memcmp_avx2_movbe
     1.97%  rte-worker-2  nflr                     [.] cuckoo_hash_first_test
     0.81%  rte-worker-2  nflr                     [.] cuckoo_hash_first_hash
     0.38%  rte-worker-2  nflr                     [.] handleUplinkNASTransportMain
     0.32%  rte-worker-2  nflr                     [.] HandleNAS
     0.21%  rte-worker-2  librte_net_mlx5.so.23.0  [.] rxq_cq_decompress_v
     0.18%  rte-worker-2  librte_net_mlx5.so.23.0  [.] mlx5_rx_burst_vec
     0.18%  rte-worker-2  nflr                     [.] UpdateLocation
     0.18%  rte-worker-2  nflr                     [.] HandleInitialRegistration
     0.18%  rte-worker-2  nflr                     [.] SecurityMode
     0.15%  rte-worker-2  librte_net_mlx5.so.23.0  [.] mlx5_tx_handle_completion
     0.14%  rte-worker-2  librte_net_mlx5.so.23.0  [.] mlx5_tx_burst_none_empw
     0.11%  rte-worker-2  nflr                     [.] BuildInitialContextSetupRequest
     0.11%  rte-worker-2  nflr                     [.] Decode
     0.11%  rte-worker-2  nflr                     [.] Encode
     0.11%  rte-worker-2  nflr                     [.] cuckoo_hash_get_key
     0.11%  rte-worker-2  nflr                     [.] UpdateSecurityContext
     0.11%  rte-worker-2  nflr                     [.] SendRegistrationAccept
     0.10%  rte-worker-2  nflr                     [.] HandleSecurityModeComplete
     0.09%  rte-worker-2  nflr                     [.] send_packet
     0.09%  rte-worker-2  nflr                     [.] BuildRegistrationAccept
     0.08%  rte-worker-2  nflr                     [.] SDMGetAmData
     0.08%  rte-worker-2  nflr                     [.] Stop
     0.08%  rte-worker-2  nflr                     [.] GetNgapIEMaskedIMEISV
     0.08%  rte-worker-2  nflr                     [.] Dispatch
     0.08%  rte-worker-2  nflr                     [.] SendSearchNFInstances
     0.08%  rte-worker-2  nflr                     [.] NewAMFStatusSubscription
     0.07%  rte-worker-2  nflr                     [.] SendToRanUe
     0.06%  rte-worker-2  nflr                     [.] HandleAMFStatusChangeSubscribeRequest
     0.06%  rte-worker-2  [kernel.kallsyms]        [k] perf_event_task_tick
     0.06%  rte-worker-2  [kernel.kallsyms]        [k] tick_do_update_jiffies64
     0.06%  rte-worker-2  nflr                     [.] NewTimer
     0.06%  rte-worker-2  nflr                     [.] assignLadnInfo
     0.06%  rte-worker-2  nflr                     [.] AMFStatusChangeSubscribeProcedure
     0.06%  rte-worker-2  nflr                     [.] GetBearerType
     0.06%  rte-worker-2  nflr                     [.] SDMGetSliceSelectionSubscriptionData
     0.06%  rte-worker-2  librte_net_mlx5.so.23.0  [.] rxq_cq_process_v
     0.06%  rte-worker-2  nflr                     [.] SecurityContextIsValid
     0.05%  rte-worker-2  [kernel.kallsyms]        [k] update_curr
     0.05%  rte-worker-2  nflr                     [.] AddAmfUeToUePool
     0.05%  rte-worker-2  nflr                     [.] DerivateAnKey
     0.05%  rte-worker-2  [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.05%  rte-worker-2  nflr                     [.] StopT3560
     0.05%  rte-worker-2  nflr                     [.] includeConfiguredNssaiCheck
     0.05%  rte-worker-2  nflr                     [.] InSubscribedNssai
     0.05%  rte-worker-2  nflr                     [.] SDMGetSmfSelectData
     0.05%  rte-worker-2  nflr                     [.] HTTPAMFStatusChangeSubscribe
     0.05%  rte-worker-2  nflr                     [.] AllocateRegistrationArea
     0.05%  rte-worker-2  nflr                     [.] UeCmRegistration
     0.05%  rte-worker-2  nflr                     [.] SDMSubscribe
     0.04%  rte-worker-2  nflr                     [.] dispatchMain
     0.03%  rte-worker-2  nflr                     [.] DerivateNH
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] update_fast_timekeeper
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] rcu_sched_clock_irq
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] update_load_avg
     0.03%  rte-worker-2  nflr                     [.] GetNgapIERedirectionVoiceFallback
     0.03%  rte-worker-2  nflr                     [.] AMPolicyControlCreate
     0.03%  rte-worker-2  nflr                     [.] ContextSetup
     0.03%  rte-worker-2  nflr                     [.] storeLastVisitedRegisteredTAI
     0.03%  rte-worker-2  nflr                     [.] GetNgapIEMobilityRestrictionList
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] ktime_get
     0.03%  rte-worker-2  nflr                     [.] NasSendToRan
     0.03%  rte-worker-2  nflr                     [.] RanUeFindByAmfUeNgapID
     0.03%  rte-worker-2  nflr                     [.] SendInitialContextSetupRequest
     0.03%  rte-worker-2  nflr                     [.] SendN2Message
     0.03%  rte-worker-2  nflr                     [.] GetNasIENetworkFeatureSupport5GS
     0.03%  rte-worker-2  nflr                     [.] SendToRan
     0.03%  rte-worker-2  nflr                     [.] getSubscribedNssai
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] update_vsyscall
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] update_rq_clock
     0.02%  rte-worker-2  nflr                     [.] GetIPv4Uri
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] asm_sysvec_apic_timer_interrupt
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] task_tick_fair
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] error_entry
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] perf_swevent_start
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] update_min_vruntime
     0.02%  rte-worker-2  nflr                     [.] handleRequestedNssai
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] hrtimer_interrupt
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] update_cfs_group
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] hrtimer_active
     0.02%  rte-worker-2  nflr                     [.] InAllowedNssai
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] rcu_segcblist_ready_cbs
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] invoke_rcu_core
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] irq_exit_rcu
     0.01%  rte-worker-2  nflr                     [.] SearchUdmSdmInstance
     0.01%  rte-worker-2  nflr                     [.] BuildIEMobilityRestrictionList
     0.01%  rte-worker-2  nflr                     [.] handlerUplinkNASTransport
     0.00%  perf          [kernel.kallsyms]        [k] alloc_cpumask_var
     0.00%  perf          [kernel.kallsyms]        [k] flush_tlb_one_kernel
     0.00%  perf          [kernel.kallsyms]        [k] perf_event_nmi_handler
     0.00%  perf          [kernel.kallsyms]        [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
