# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5627012858
#
# Overhead  Command       Shared Object                Symbol                                       
# ........  ............  ...........................  .............................................
#
    38.04%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
    18.04%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
    16.03%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
     9.16%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     2.41%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     1.89%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     1.78%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     1.53%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     1.27%  rte-worker-2  nflr                         [.] ranUeFind
     1.16%  rte-worker-2  nflr                         [.] RanUeFindByAmfUeNgapID
     0.96%  rte-worker-2  nflr                         [.] send_packet
     0.90%  rte-worker-2  nflr                         [.] SmContextFindByPDUSessionID
     0.79%  rte-worker-2  nflr                         [.] SendUpdateSmContextRequest
     0.71%  rte-worker-2  nflr                         [.] SendUpdateSmContextN2Info
     0.69%  rte-worker-2  nflr                         [.] handlePDUSessionResourceSetupResponseMain
     0.67%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.67%  rte-worker-2  nflr                         [.] SmContextRef
     0.55%  rte-worker-2  nflr                         [.] SmfUri
     0.54%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
     0.43%  rte-worker-2  nflr                         [.] dispatchMain
     0.37%  rte-worker-2  nflr                         [.] handlerPDUSessionResourceSetupResponse
     0.13%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.12%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.09%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.09%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_advance
     0.09%  rte-worker-2  nflr                         [.] cuckoo_hash_second_test
     0.08%  rte-worker-2  [kernel.kallsyms]            [k] update_vsyscall
     0.07%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_update
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_active
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] update_load_avg
     0.04%  rte-worker-2  [kernel.kallsyms]            [k] update_cfs_group
     0.04%  rte-worker-2  [kernel.kallsyms]            [k] update_fast_timekeeper
     0.04%  rte-worker-2  [kernel.kallsyms]            [k] decay_load
     0.04%  rte-worker-2  [kernel.kallsyms]            [k] __calc_delta
     0.04%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mc_dequeue
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] scheduler_tick
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] tick_do_update_jiffies64
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_rq_clock
     0.03%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mp_enqueue
     0.02%  rte-worker-2  librte_net_mlx5.so.23.0      [.] 0x000000000000a944
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_sched_clock
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_queued_spin_lock_slowpath
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] perf_swevent_stop
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_run_queues
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] cpuacct_account_field
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] timerqueue_del
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] native_read_msr
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] run_posix_cpu_timers
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] task_tick_fair
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] __update_load_avg_cfs_rq
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] sync_regs
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] native_write_msr
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] ktime_get
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] enqueue_hrtimer
     0.01%  rte-worker-2  ld-2.31.so                   [.] __tls_get_addr
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] irq_work_tick
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] lapic_next_deadline
     0.00%  perf          [kernel.kallsyms]            [k] __virt_addr_valid
     0.00%  perf          [kernel.kallsyms]            [k] ghes_copy_tofrom_phys
     0.00%  perf          [kernel.kallsyms]            [k] sched_clock
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
