# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5625813213
#
# Overhead  Command       Shared Object                Symbol                              
# ........  ............  ...........................  ....................................
#
    54.93%  rte-worker-2  nflr                         [.] write_variable
    23.62%  rte-worker-2  nflr                         [.] read_variable
     9.85%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
     2.13%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     1.85%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
     1.47%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     0.57%  rte-worker-2  nflr                         [.] handleUplinkNASTransportMain
     0.44%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     0.39%  rte-worker-2  nflr                         [.] HandleNAS
     0.35%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     0.35%  rte-worker-2  nflr                         [.] rte_pktmbuf_free
     0.21%  rte-worker-2  nflr                         [.] cuckoo_hash_second_test
     0.21%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.18%  rte-worker-2  nflr                         [.] UpdateLocation
     0.18%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     0.17%  rte-worker-2  nflr                         [.] SendDownlinkNasTransport
     0.17%  rte-worker-2  nflr                         [.] SecurityMode
     0.15%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.15%  rte-worker-2  nflr                         [.] Decode
     0.14%  rte-worker-2  nflr                         [.] Dispatch
     0.14%  rte-worker-2  nflr                         [.] Authentication
     0.12%  rte-worker-2  nflr                         [.] DerivateAlgKey
     0.11%  rte-worker-2  nflr                         [.] StopT3560
     0.11%  rte-worker-2  nflr                         [.] BuildSecurityModeCommand
     0.11%  rte-worker-2  nflr                         [.] GetBearerType
     0.09%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.09%  rte-worker-2  nflr                         [.] ranUeFind
     0.09%  rte-worker-2  nflr                         [.] dispatchMain
     0.09%  rte-worker-2  nflr                         [.] RanUeFindByAmfUeNgapID
     0.09%  rte-worker-2  nflr                         [.] SendSecurityModeCommand
     0.08%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_advance
     0.08%  rte-worker-2  nflr                         [.] GetNgapIEMobilityRestrictionList
     0.08%  rte-worker-2  nflr                         [.] handlerUplinkNASTransport
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] native_queued_spin_lock_slowpath
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] scheduler_tick
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] update_vsyscall
     0.06%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.05%  rte-worker-2  nflr                         [.] Stop
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] update_fast_timekeeper
     0.05%  rte-worker-2  nflr                         [.] send_packet
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_run_queues
     0.05%  rte-worker-2  nflr                         [.] cuckoo_hash_second_hash
     0.05%  rte-worker-2  nflr                         [.] HandleAuthenticationResponse
     0.05%  rte-worker-2  nflr                         [.] SecurityContextIsValid
     0.03%  rte-worker-2  nflr                         [.] Encode
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] __acct_update_integrals
     0.03%  rte-worker-2  nflr                         [.] SendToRanUe
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_load_avg
     0.03%  rte-worker-2  nflr                         [.] SendAuth5gAkaConfirmRequest
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.03%  rte-worker-2  nflr                         [.] DerivateKamf
     0.03%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mp_enqueue
     0.03%  rte-worker-2  nflr                         [.] NewTimer
     0.03%  rte-worker-2  nflr                         [.] SelectSecurityAlg
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_process_times
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] error_entry
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] invoke_rcu_core
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] rcu_segcblist_ready_cbs
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] rb_next
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] timerqueue_del
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_update
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_cfs_group
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] perf_swevent_stop
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __accumulate_pelt_segments
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] ktime_get_update_offsets_now
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] x86_pmu_disable
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] pvclock_gtod_notify
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] rb_insert_color
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_apic_mem_write
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] ktime_get
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_irq_return_iret
     0.02%  rte-worker-2  nflr                         [.] BuildDownlinkNasTransport
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_update_next_event
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] decay_load
     0.02%  rte-worker-2  nflr                         [.] SendToRan
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] note_gp_changes
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] ksoftirqd_running
     0.00%  perf          [kernel.kallsyms]            [k] __kmalloc_node
     0.00%  perf          [kernel.kallsyms]            [k] native_set_fixmap
     0.00%  perf          [kernel.kallsyms]            [k] sched_clock
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
