# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5628087287
#
# Overhead  Command       Shared Object                Symbol                                   
# ........  ............  ...........................  .........................................
#
    42.12%  rte-worker-2  nflr                         [.] read_variable
    33.71%  rte-worker-2  nflr                         [.] write_variable
    13.46%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
     1.61%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
     1.11%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     1.09%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     0.43%  rte-worker-2  nflr                         [.] handleUplinkNASTransportMain
     0.43%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     0.33%  rte-worker-2  nflr                         [.] HandleNAS
     0.33%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     0.21%  rte-worker-2  nflr                         [.] rte_pktmbuf_free
     0.20%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.15%  rte-worker-2  nflr                         [.] SecurityMode
     0.12%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.12%  rte-worker-2  nflr                         [.] cuckoo_hash_second_test
     0.12%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     0.12%  rte-worker-2  nflr                         [.] Dispatch
     0.11%  rte-worker-2  nflr                         [.] BuildInitialContextSetupRequest
     0.10%  rte-worker-2  nflr                         [.] HandleInitialRegistration
     0.10%  rte-worker-2  nflr                         [.] SDMSubscribe
     0.09%  rte-worker-2  [kernel.kallsyms]            [k] update_load_avg
     0.09%  rte-worker-2  [kernel.kallsyms]            [k] native_read_msr
     0.09%  rte-worker-2  nflr                         [.] UpdateLocation
     0.09%  rte-worker-2  nflr                         [.] ranUeFind
     0.09%  rte-worker-2  nflr                         [.] UpdateSecurityContext
     0.08%  rte-worker-2  nflr                         [.] NewAMFStatusSubscription
     0.08%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.08%  rte-worker-2  nflr                         [.] AddAmfUeToUePool
     0.08%  rte-worker-2  [kernel.kallsyms]            [k] update_curr
     0.07%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_advance
     0.07%  rte-worker-2  [kernel.kallsyms]            [k] update_process_times
     0.07%  rte-worker-2  nflr                         [.] GetIPv4Uri
     0.07%  rte-worker-2  nflr                         [.] AllocateRegistrationArea
     0.07%  rte-worker-2  nflr                         [.] BuildIEMobilityRestrictionList
     0.07%  rte-worker-2  nflr                         [.] NewTimer
     0.07%  rte-worker-2  nflr                         [.] DerivateNH
     0.07%  rte-worker-2  nflr                         [.] InAllowedNssai
     0.07%  rte-worker-2  nflr                         [.] dispatchMain
     0.07%  rte-worker-2  nflr                         [.] SendN2Message
     0.07%  rte-worker-2  nflr                         [.] SendRegistrationAccept
     0.07%  rte-worker-2  nflr                         [.] StopT3560
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] scheduler_tick
     0.06%  rte-worker-2  nflr                         [.] Decode
     0.06%  rte-worker-2  nflr                         [.] GetBearerType
     0.06%  rte-worker-2  nflr                         [.] cuckoo_hash_second_hash
     0.06%  rte-worker-2  nflr                         [.] SearchUdmSdmInstance
     0.06%  rte-worker-2  nflr                         [.] HandleAMFStatusChangeSubscribeRequest
     0.06%  rte-worker-2  nflr                         [.] send_packet
     0.06%  rte-worker-2  nflr                         [.] NasSendToRan
     0.06%  rte-worker-2  nflr                         [.] SendToRan
     0.06%  rte-worker-2  nflr                         [.] SDMGetAmData
     0.06%  rte-worker-2  nflr                         [.] BuildRegistrationAccept
     0.06%  rte-worker-2  nflr                         [.] AMFStatusChangeSubscribeProcedure
