# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5626966086
#
# Overhead  Command       Shared Object                Symbol                          
# ........  ............  ...........................  ................................
#
    60.32%  rte-worker-2  nflr                         [.] write_variable
    19.61%  rte-worker-2  nflr                         [.] read_variable
     8.01%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
     2.23%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     2.15%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
     1.54%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     0.72%  rte-worker-2  nflr                         [.] handleUplinkNASTransportMain
     0.62%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     0.42%  rte-worker-2  nflr                         [.] HandleNAS
     0.38%  rte-worker-2  nflr                         [.] rte_pktmbuf_free
     0.36%  rte-worker-2  nflr                         [.] cuckoo_hash_second_test
     0.29%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     0.26%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     0.20%  rte-worker-2  nflr                         [.] Registered
     0.18%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.17%  rte-worker-2  nflr                         [.] UpdateLocation
     0.17%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.15%  rte-worker-2  nflr                         [.] Dispatch
     0.14%  rte-worker-2  nflr                         [.] ranUeFind
     0.14%  rte-worker-2  nflr                         [.] Decode
     0.14%  rte-worker-2  nflr                         [.] send_packet
     0.12%  rte-worker-2  nflr                         [.] cuckoo_hash_second_hash
     0.11%  rte-worker-2  nflr                         [.] Stop
     0.09%  rte-worker-2  [kernel.kallsyms]            [k] tick_do_update_jiffies64
     0.08%  rte-worker-2  nflr                         [.] dispatchMain
     0.08%  rte-worker-2  nflr                         [.] ContextSetup
     0.08%  rte-worker-2  nflr                         [.] StopT3550
     0.07%  rte-worker-2  nflr                         [.] handlerUplinkNASTransport
     0.07%  rte-worker-2  nflr                         [.] HandleRegistrationComplete
     0.07%  rte-worker-2  nflr                         [.] GetBearerType
     0.07%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
     0.06%  rte-worker-2  nflr                         [.] ClearRegistrationRequestData
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_advance
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] update_vsyscall
     0.06%  rte-worker-2  nflr                         [.] RanUeFindByAmfUeNgapID
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_update
     0.06%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mc_dequeue
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] sync_regs
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.05%  rte-worker-2  librte_net_mlx5.so.23.0      [.] 0x000000000000a944
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_fast_timekeeper
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] scheduler_tick
     0.03%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mp_enqueue
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] error_entry
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __accumulate_pelt_segments
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_cfs_group
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __update_load_avg_se
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_run_queues
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] perf_pmu_nop_void
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_process_times
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] account_user_time
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] cpuacct_charge
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __acct_update_integrals
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] arch_scale_freq_tick
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_curr
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __irqentry_text_end
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_wall_time
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __calc_delta
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] irq_exit_rcu
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_forward
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] note_gp_changes
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] __hrtimer_run_queues
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] __remove_hrtimer
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] ktime_get
     0.00%  perf          [kernel.kallsyms]            [k] do_syscall_64
     0.00%  perf          [kernel.kallsyms]            [k] native_flush_tlb_one_user
     0.00%  perf          [kernel.kallsyms]            [k] native_apic_mem_write
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
