# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5626926931
#
# Overhead  Command       Shared Object                Symbol                              
# ........  ............  ...........................  ....................................
#
    44.56%  rte-worker-2  nflr                         [.] read_variable
    15.70%  rte-worker-2  nflr                         [.] write_variable
    15.38%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
     6.77%  rte-worker-2  libc-2.31.so                 [.] __memset_avx2_unaligned_erms
     4.81%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     3.89%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
     1.46%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     0.72%  rte-worker-2  nflr                         [.] handleUplinkNASTransportMain
     0.56%  rte-worker-2  nflr                         [.] 0x00000000000048d4
     0.55%  rte-worker-2  nflr                         [.] HandleNAS
     0.34%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     0.30%  rte-worker-2  nflr                         [.] 0x00000000000048d0
     0.30%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.23%  rte-worker-2  nflr                         [.] Authentication
     0.22%  rte-worker-2  nflr                         [.] SecurityMode
     0.20%  rte-worker-2  libc-2.31.so                 [.] 0x000000000018bb5d
     0.19%  rte-worker-2  nflr                         [.] Stop
     0.18%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     0.18%  rte-worker-2  libc-2.31.so                 [.] __memset_chk_avx2_unaligned_erms
     0.17%  rte-worker-2  nflr                         [.] Decode
     0.15%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     0.15%  rte-worker-2  nflr                         [.] SendDownlinkNasTransport
     0.15%  rte-worker-2  nflr                         [.] DerivateAlgKey
     0.13%  rte-worker-2  nflr                         [.] Encode
     0.13%  rte-worker-2  nflr                         [.] GetBearerType
     0.13%  rte-worker-2  nflr                         [.] UpdateLocation
     0.12%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.12%  rte-worker-2  nflr                         [.] Dispatch
     0.12%  rte-worker-2  nflr                         [.] GetNgapIEMobilityRestrictionList
     0.11%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.11%  rte-worker-2  nflr                         [.] SecurityContextIsValid
     0.10%  rte-worker-2  nflr                         [.] cuckoo_hash_second_test
     0.10%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.09%  rte-worker-2  nflr                         [.] StopT3560
     0.09%  rte-worker-2  nflr                         [.] SendAuth5gAkaConfirmRequest
     0.09%  rte-worker-2  nflr                         [.] SendToRanUe
     0.07%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
     0.07%  rte-worker-2  nflr                         [.] SendSecurityModeCommand
     0.07%  rte-worker-2  nflr                         [.] DerivateKamf
     0.07%  rte-worker-2  nflr                         [.] send_packet
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] tick_do_update_jiffies64
     0.06%  rte-worker-2  nflr                         [.] dispatchMain
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] scheduler_tick
     0.05%  rte-worker-2  nflr                         [.] HandleAuthenticationResponse
     0.04%  rte-worker-2  nflr                         [.] SelectSecurityAlg
     0.04%  rte-worker-2  nflr                         [.] SendToRan
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_curr
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] account_process_tick
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_run_queues
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_advance
     0.03%  rte-worker-2  nflr                         [.] ranUeFind
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] error_entry
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_load_avg
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] task_tick_fair
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_process_times
