# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5627199112
#
# Overhead  Command          Shared Object                Symbol                                 
# ........  ...............  ...........................  .......................................
#
    28.81%  rte-worker-2     nflr                         [.] write_variable
    21.14%  rte-worker-2     nflr                         [.] read_variable
    15.84%  rte-worker-2     nflr                         [.] worker_fsm_amac_thread
    14.28%  rte-worker-2     libc-2.31.so                 [.] __memset_avx2_unaligned_erms
     4.31%  rte-worker-2     libc-2.31.so                 [.] __memcmp_avx2_movbe
     1.41%  rte-worker-2     nflr                         [.] handleUplinkNASTransportMain
     1.17%  rte-worker-2     nflr                         [.] 0x00000000000048d4
     1.11%  rte-worker-2     nflr                         [.] HandleNAS
     1.08%  rte-worker-2     nflr                         [.] send_packet
     1.08%  rte-worker-2     nflr                         [.] cuckoo_hash_first_test
     0.94%  rte-worker-2     nflr                         [.] Registered
     0.77%  rte-worker-2     nflr                         [.] cuckoo_hash_first_hash
     0.63%  rte-worker-2     nflr                         [.] 0x00000000000048d0
     0.57%  rte-worker-2     nflr                         [.] HandleRegistrationComplete
     0.57%  rte-worker-2     libc-2.31.so                 [.] __memset_chk_avx2_unaligned_erms
     0.56%  rte-worker-2     librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     0.45%  rte-worker-2     librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     0.39%  rte-worker-2     librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.39%  rte-worker-2     nflr                         [.] UpdateLocation
     0.32%  rte-worker-2     nflr                         [.] ranUeFind
     0.31%  rte-worker-2     libc-2.31.so                 [.] 0x000000000018bb5d
     0.31%  rte-worker-2     nflr                         [.] RanUeFindByAmfUeNgapID
     0.27%  rte-worker-2     librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     0.22%  rte-worker-2     nflr                         [.] GetBearerType
     0.22%  rte-worker-2     nflr                         [.] ContextSetup
     0.19%  rte-worker-2     nflr                         [.] Stop
     0.19%  rte-worker-2     nflr                         [.] Decode
     0.19%  rte-worker-2     nflr                         [.] ClearRegistrationRequestData
     0.16%  rte-worker-2     nflr                         [.] dispatchMain
     0.15%  rte-worker-2     [kernel.kallsyms]            [k] perf_event_task_tick
     0.15%  rte-worker-2     nflr                         [.] handlerUplinkNASTransport
     0.15%  rte-worker-2     nflr                         [.] StopT3550
     0.13%  rte-worker-2     nflr                         [.] Dispatch
     0.13%  rte-worker-2     librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
     0.09%  rte-worker-2     [kernel.kallsyms]            [k] tick_do_update_jiffies64
     0.09%  rte-worker-2     [kernel.kallsyms]            [k] update_cfs_group
     0.07%  rte-worker-2     [kernel.kallsyms]            [k] ktime_get_update_offsets_now
     0.07%  rte-worker-2     [kernel.kallsyms]            [k] update_vsyscall
     0.06%  rte-worker-2     [kernel.kallsyms]            [k] error_entry
     0.06%  rte-worker-2     [kernel.kallsyms]            [k] scheduler_tick
     0.06%  rte-worker-2     nflr                         [.] cuckoo_hash_get_key
     0.05%  rte-worker-2     [kernel.kallsyms]            [k] task_tick_fair
     0.04%  rte-worker-2     [kernel.kallsyms]            [k] timekeeping_advance
     0.04%  rte-worker-2     [kernel.kallsyms]            [k] update_rq_clock
     0.04%  rte-worker-2     [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.04%  rte-worker-2     [kernel.kallsyms]            [k] hrtimer_active
     0.04%  rte-worker-2     [kernel.kallsyms]            [k] decay_load
     0.04%  rte-worker-2     [kernel.kallsyms]            [k] update_load_avg
     0.04%  rte-worker-2     [kernel.kallsyms]            [k] update_curr
     0.03%  rte-worker-2     [kernel.kallsyms]            [k] arch_scale_freq_tick
     0.03%  rte-worker-2     [kernel.kallsyms]            [k] __update_load_avg_cfs_rq
     0.03%  rte-worker-2     nflr                         [.] cuckoo_hash_second_test
     0.03%  rte-worker-2     [kernel.kallsyms]            [k] __calc_delta
     0.02%  rte-worker-2     [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.02%  rte-worker-2     [kernel.kallsyms]            [k] raw_notifier_call_chain
     0.02%  rte-worker-2     [kernel.kallsyms]            [k] rb_next
     0.01%  rte-worker-2     [kernel.kallsyms]            [k] change_pte_range
     0.01%  rte-worker-2     [kernel.kallsyms]            [k] native_read_msr
     0.01%  rte-worker-2     [kernel.kallsyms]            [k] native_sched_clock
     0.01%  rte-worker-2     [kernel.kallsyms]            [k] sync_regs
     0.01%  rte-worker-2     [kernel.kallsyms]            [k] perf_swevent_stop
     0.01%  rte-worker-2     [kernel.kallsyms]            [k] update_process_times
     0.01%  rte-worker-2     [kernel.kallsyms]            [k] raw_spin_rq_unlock
     0.01%  rte-worker-2     [kernel.kallsyms]            [k] enqueue_hrtimer
     0.01%  rte-worker-2     [kernel.kallsyms]            [k] raw_spin_rq_lock_nested.constprop.0
     0.01%  rte-worker-2     ld-2.31.so                   [.] __tls_get_addr
     0.01%  rte-worker-2     [kernel.kallsyms]            [k] update_min_vruntime
     0.01%  rte-worker-2     [kernel.kallsyms]            [k] _raw_spin_lock
     0.01%  rte-worker-2     [kernel.kallsyms]            [k] native_queued_spin_lock_slowpath
     0.01%  rte-worker-2     librte_mempool_ring.so.23.0  [.] common_ring_mc_dequeue
     0.01%  rte-worker-2     librte_mempool_ring.so.23.0  [.] common_ring_mp_enqueue
     0.01%  rte-worker-2     [kernel.kallsyms]            [k] irq_exit_rcu
     0.01%  kworker/2:1-mm_  [kernel.kallsyms]            [k] put_prev_entity
     0.01%  rte-worker-2     [kernel.kallsyms]            [k] lapic_next_deadline
     0.01%  rte-worker-2     [kernel.kallsyms]            [k] cpuacct_charge
     0.01%  rte-worker-2     [kernel.kallsyms]            [k] ktime_get
     0.01%  rte-worker-2     [kernel.kallsyms]            [k] read_tsc
     0.01%  rte-worker-2     [kernel.kallsyms]            [k] rcu_core
     0.00%  perf             [kernel.kallsyms]            [k] get_user_cpu_mask
     0.00%  perf             [kernel.kallsyms]            [k] ghes_copy_tofrom_phys
     0.00%  perf             [kernel.kallsyms]            [k] sched_clock
     0.00%  perf             [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
