# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5627790920
#
# Overhead  Command       Shared Object                Symbol                                   
# ........  ............  ...........................  .........................................
#
    36.69%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
    13.35%  rte-worker-2  libc-2.31.so                 [.] __memset_avx2_unaligned_erms
    11.60%  rte-worker-2  nflr                         [.] write_variable
     9.80%  rte-worker-2  nflr                         [.] read_variable
     3.84%  rte-worker-2  nflr                         [.] HandleInitialRegistration
     3.75%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
     1.35%  rte-worker-2  nflr                         [.] 0x00000000000048d4
     1.31%  rte-worker-2  nflr                         [.] handleUplinkNASTransportMain
     1.03%  rte-worker-2  nflr                         [.] HandleNAS
     0.82%  rte-worker-2  nflr                         [.] negotiateDRXParameters
     0.76%  rte-worker-2  nflr                         [.] SecurityMode
     0.73%  rte-worker-2  libc-2.31.so                 [.] __memset_chk_avx2_unaligned_erms
     0.73%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     0.64%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     0.60%  rte-worker-2  nflr                         [.] Dispatch
     0.49%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.49%  rte-worker-2  nflr                         [.] 0x00000000000048d0
     0.48%  rte-worker-2  nflr                         [.] RanUeFindByAmfUeNgapID
     0.47%  rte-worker-2  nflr                         [.] UpdateLocation
     0.42%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     0.33%  rte-worker-2  nflr                         [.] ContextSetup
     0.33%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     0.31%  rte-worker-2  libc-2.31.so                 [.] 0x000000000018bb5d
     0.29%  rte-worker-2  nflr                         [.] DerivateNH
     0.28%  rte-worker-2  nflr                         [.] Decode
     0.27%  rte-worker-2  nflr                         [.] UpdateSecurityContext
     0.24%  rte-worker-2  nflr                         [.] ranUeFind
     0.24%  rte-worker-2  nflr                         [.] SecurityContextIsValid
     0.22%  rte-worker-2  nflr                         [.] communicateWithUDM
     0.22%  rte-worker-2  nflr                         [.] GetNgapIERedirectionVoiceFallback
     0.21%  rte-worker-2  nflr                         [.] SDMGetAmData
     0.21%  rte-worker-2  nflr                         [.] SDMGetSmfSelectData
     0.21%  rte-worker-2  nflr                         [.] HTTPAMFStatusChangeSubscribe
