# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5625281564
#
# Overhead  Command       Shared Object            Symbol                                     
# ........  ............  .......................  ...........................................
#
    28.01%  rte-worker-2  nflr                     [.] worker_fsm_amac_thread
    22.81%  rte-worker-2  nflr                     [.] write_variable
    15.20%  rte-worker-2  libc-2.31.so             [.] __memset_avx2_unaligned_erms
    11.33%  rte-worker-2  nflr                     [.] read_variable
     4.89%  rte-worker-2  libc-2.31.so             [.] __memcmp_avx2_movbe
     1.55%  rte-worker-2  nflr                     [.] 0x00000000000048d4
     1.35%  rte-worker-2  nflr                     [.] HandleNAS
     1.16%  rte-worker-2  nflr                     [.] NewAmfUe
     1.07%  rte-worker-2  nflr                     [.] cuckoo_hash_first_test
     1.01%  rte-worker-2  nflr                     [.] Decode
     0.63%  rte-worker-2  nflr                     [.] cuckoo_hash_first_hash
     0.56%  rte-worker-2  libc-2.31.so             [.] __memset_chk_avx2_unaligned_erms
     0.54%  rte-worker-2  nflr                     [.] UpdateLocation
     0.53%  rte-worker-2  librte_net_mlx5.so.23.0  [.] mlx5_tx_burst_none_empw
     0.51%  rte-worker-2  nflr                     [.] 0x00000000000048d0
     0.45%  rte-worker-2  librte_net_mlx5.so.23.0  [.] rxq_cq_decompress_v
     0.37%  rte-worker-2  librte_net_mlx5.so.23.0  [.] mlx5_tx_handle_completion
     0.36%  rte-worker-2  nflr                     [.] DeRegistered
     0.34%  rte-worker-2  nflr                     [.] SecurityContextIsValid
     0.33%  rte-worker-2  nflr                     [.] send_packet
     0.33%  rte-worker-2  nflr                     [.] SendDownlinkNasTransport
     0.29%  rte-worker-2  nflr                     [.] AuthenticationProcedure
     0.27%  rte-worker-2  nflr                     [.] InTaiList
     0.27%  rte-worker-2  nflr                     [.] Authentication
     0.26%  rte-worker-2  nflr                     [.] handlerInitialUEMessage
     0.24%  rte-worker-2  nflr                     [.] AttachRanUe
     0.24%  rte-worker-2  librte_net_mlx5.so.23.0  [.] mlx5_rx_burst_vec
     0.24%  rte-worker-2  nflr                     [.] handleInitialUEMessageMain
     0.23%  rte-worker-2  nflr                     [.] NewRanUe
     0.21%  rte-worker-2  nflr                     [.] StopT3513
     0.21%  rte-worker-2  nflr                     [.] SendToRanUe
     0.21%  rte-worker-2  nflr                     [.] AttachRanUeToAmfUeAndReleaseOldIfAny
     0.20%  rte-worker-2  nflr                     [.] PlmnIdStringToModels
     0.20%  rte-worker-2  nflr                     [.] init
     0.20%  rte-worker-2  nflr                     [.] StopT3565
     0.20%  rte-worker-2  nflr                     [.] cuckoo_hash_get_key
     0.20%  rte-worker-2  nflr                     [.] SendUEAuthenticationAuthenticateRequest
     0.20%  rte-worker-2  nflr                     [.] SetOnGoing
     0.20%  rte-worker-2  nflr                     [.] dispatchMain
     0.20%  rte-worker-2  nflr                     [.] AllocateGutiToUe
     0.18%  rte-worker-2  nflr                     [.] IdentityVerification
     0.18%  rte-worker-2  nflr                     [.] NewTimer
     0.16%  rte-worker-2  nflr                     [.] HandleRegistrationRequest
     0.15%  rte-worker-2  nflr                     [.] SendAuthenticationRequest
     0.15%  rte-worker-2  libc-2.31.so             [.] 0x000000000018bb5d
     0.15%  rte-worker-2  nflr                     [.] GetNgapIEMobilityRestrictionList
     0.14%  rte-worker-2  nflr                     [.] RanUeFindByRanUeNgapID
     0.14%  rte-worker-2  nflr                     [.] BuildAuthenticationRequest
     0.14%  rte-worker-2  nflr                     [.] SendToRan
     0.14%  rte-worker-2  nflr                     [.] TmsiAllocate
     0.11%  rte-worker-2  nflr                     [.] BuildDownlinkNasTransport
     0.10%  rte-worker-2  librte_net_mlx5.so.23.0  [.] rxq_cq_process_v
     0.06%  rte-worker-2  [kernel.kallsyms]        [k] perf_event_task_tick
     0.05%  rte-worker-2  [kernel.kallsyms]        [k] timekeeping_advance
     0.05%  rte-worker-2  [kernel.kallsyms]        [k] rcu_sched_clock_irq
     0.04%  rte-worker-2  [kernel.kallsyms]        [k] native_write_msr
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] __update_load_avg_cfs_rq
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] task_tick_fair
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] update_curr
     0.03%  rte-worker-2  nflr                     [.] cuckoo_hash_second_test
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] tick_do_update_jiffies64
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] decay_load
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] cpuacct_account_field
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] scheduler_tick
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] hrtimer_update_next_event
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] __acct_update_integrals
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] pvclock_gtod_notify
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] invoke_rcu_core
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] native_sched_clock
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] ktime_get
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] timekeeping_update
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] perf_pmu_nop_void
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] reweight_entity
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] cpuacct_charge
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] __hrtimer_run_queues
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] native_read_msr
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] update_vsyscall
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] run_posix_cpu_timers
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] tick_program_event
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] timerqueue_add
     0.00%  perf          [kernel.kallsyms]        [k] __virt_addr_valid
     0.00%  perf          [kernel.kallsyms]        [k] __native_set_fixmap
     0.00%  perf          [kernel.kallsyms]        [k] sched_clock
     0.00%  perf          [kernel.kallsyms]        [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
