# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 533473197
#
# Overhead  Command       Shared Object            Symbol                                    
# ........  ............  .......................  ..........................................
#
     9.34%  rte-worker-2  [kernel.kallsyms]        [k] syscall_return_via_sysret
     7.26%  rte-worker-2  [kernel.kallsyms]        [k] syscall_exit_to_user_mode
     5.64%  rte-worker-2  [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     5.09%  rte-worker-2  [kernel.kallsyms]        [k] queue_work_on
     5.02%  rte-worker-2  [kernel.kallsyms]        [k] __queue_work
     4.94%  rte-worker-2  [kernel.kallsyms]        [k] n_tty_write
     4.71%  rte-worker-2  [kernel.kallsyms]        [k] insert_work
     4.62%  rte-worker-2  [kernel.kallsyms]        [k] try_to_wake_up
     3.58%  rte-worker-2  [kernel.kallsyms]        [k] ttwu_queue_wakelist
     3.53%  rte-worker-2  [kernel.kallsyms]        [k] entry_SYSCALL_64_after_hwframe
     3.43%  rte-worker-2  [kernel.kallsyms]        [k] send_call_function_single_ipi
     2.84%  rte-worker-2  [kernel.kallsyms]        [k] __entry_text_start
     2.59%  rte-worker-2  [kernel.kallsyms]        [k] available_idle_cpu
     2.12%  rte-worker-2  [kernel.kallsyms]        [k] llist_add_batch
     1.74%  rte-worker-2  libc-2.31.so             [.] __vfprintf_internal
     1.53%  rte-worker-2  libc-2.31.so             [.] _IO_file_xsputn@@GLIBC_2.2.5
     1.24%  rte-worker-2  [kernel.kallsyms]        [k] tty_buffer_space_avail
     1.20%  rte-worker-2  [kernel.kallsyms]        [k] _raw_spin_lock
     1.08%  rte-worker-2  [kernel.kallsyms]        [k] copy_user_generic_unrolled
     1.00%  rte-worker-2  [kernel.kallsyms]        [k] vfs_write
     0.92%  rte-worker-2  [kernel.kallsyms]        [k] __fget_light
     0.90%  rte-worker-2  [kernel.kallsyms]        [k] tty_insert_flip_string_and_push_buffer
     0.87%  rte-worker-2  [kernel.kallsyms]        [k] pty_write
