# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 961  of event 'cycles'
# Event count (approx.): 504000765
#
# Overhead  Command       Shared Object            Symbol                                    
# ........  ............  .......................  ..........................................
#
     8.18%  rte-worker-2  [kernel.kallsyms]        [k] syscall_return_via_sysret
     6.95%  rte-worker-2  [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     6.43%  rte-worker-2  [kernel.kallsyms]        [k] syscall_exit_to_user_mode
     5.96%  rte-worker-2  [kernel.kallsyms]        [k] __queue_work
     5.57%  rte-worker-2  [kernel.kallsyms]        [k] queue_work_on
     4.98%  rte-worker-2  [kernel.kallsyms]        [k] entry_SYSCALL_64_after_hwframe
     4.19%  rte-worker-2  [kernel.kallsyms]        [k] ttwu_queue_wakelist
     4.04%  rte-worker-2  [kernel.kallsyms]        [k] try_to_wake_up
     3.20%  rte-worker-2  [kernel.kallsyms]        [k] n_tty_write
     3.13%  rte-worker-2  [kernel.kallsyms]        [k] send_call_function_single_ipi
     3.13%  rte-worker-2  [kernel.kallsyms]        [k] insert_work
     3.09%  rte-worker-2  [kernel.kallsyms]        [k] llist_add_batch
     2.75%  rte-worker-2  [kernel.kallsyms]        [k] available_idle_cpu
     2.22%  rte-worker-2  [kernel.kallsyms]        [k] __entry_text_start
     1.94%  rte-worker-2  [kernel.kallsyms]        [k] __fget_light
     1.91%  rte-worker-2  libc-2.31.so             [.] __vfprintf_internal
     1.91%  rte-worker-2  [kernel.kallsyms]        [k] tty_buffer_space_avail
     1.73%  rte-worker-2  [kernel.kallsyms]        [k] _raw_spin_lock
     1.29%  rte-worker-2  [kernel.kallsyms]        [k] vfs_write
     1.11%  rte-worker-2  nflr                     [.] cuckoo_hash_rtc
     1.06%  rte-worker-2  libc-2.31.so             [.] _IO_file_xsputn@@GLIBC_2.2.5
     1.05%  rte-worker-2  [kernel.kallsyms]        [k] file_tty_write.isra.0
     0.96%  rte-worker-2  libc-2.31.so             [.] __GI___libc_write
     0.93%  rte-worker-2  [kernel.kallsyms]        [k] memcpy_erms
     0.83%  rte-worker-2  nflr                     [.] rte_pktmbuf_free
     0.73%  rte-worker-2  [kernel.kallsyms]        [k] mutex_unlock
     0.72%  rte-worker-2  [kernel.kallsyms]        [k] _copy_from_iter
     0.67%  rte-worker-2  [kernel.kallsyms]        [k] tty_insert_flip_string_and_push_buffer
     0.66%  rte-worker-2  [kernel.kallsyms]        [k] do_syscall_64
     0.65%  rte-worker-2  [kernel.kallsyms]        [k] common_file_perm
     0.64%  rte-worker-2  [kernel.kallsyms]        [k] llist_del_first
