# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5627339162
#
# Overhead  Command       Shared Object                Symbol                           
# ........  ............  ...........................  .................................
#
    54.78%  rte-worker-2  nflr                         [.] interval_tree_rtc
    13.60%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
    10.82%  rte-worker-2  librte_hash.so.23.0          [.] __rte_hash_lookup_with_hash
    10.24%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
     3.40%  rte-worker-2  nflr                         [.] cuckoo_hash_rtc
     1.48%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     0.85%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.81%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     0.72%  rte-worker-2  nflr                         [.] rte_jhash
     0.69%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     0.60%  rte-worker-2  nflr                         [.] send_packet
     0.36%  rte-worker-2  nflr                         [.] upf_encapsulate
     0.16%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
     0.10%  rte-worker-2  librte_hash.so.23.0          [.] rte_hash_lookup
     0.07%  rte-worker-2  [kernel.kallsyms]            [k] __update_load_avg_cfs_rq
     0.07%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_advance
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] update_rq_clock
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] ktime_get_update_offsets_now
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] tick_do_update_jiffies64
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] update_load_avg
     0.06%  rte-worker-2  nflr                         [.] 0x00000000000046a0
     0.04%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock
     0.04%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mc_dequeue
     0.04%  rte-worker-2  [kernel.kallsyms]            [k] error_entry
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] account_user_time
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_curr
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] __acct_update_integrals
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_fast_timekeeper
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_update
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] __calc_delta
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_cfs_group
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_vsyscall
     0.03%  rte-worker-2  librte_hash.so.23.0          [.] rte_hash_hash
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] perf_swevent_stop
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] __accumulate_pelt_segments
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] native_write_msr
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __sysvec_apic_timer_interrupt
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] scheduler_tick
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] __update_load_avg_se
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] task_tick_fair
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_active
     0.01%  rte-worker-2  librte_hash.so.23.0          [.] 0x0000000000002314
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] arch_scale_freq_tick
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] native_irq_return_iret
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] raw_notifier_call_chain
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] __hrtimer_run_queues
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] __irqentry_text_end
     0.01%  rte-worker-2  ld-2.31.so                   [.] __tls_get_addr
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] perf_mux_hrtimer_handler
     0.01%  rte-worker-2  librte_hash.so.23.0          [.] 0x0000000000002310
     0.01%  rte-worker-2  librte_net_mlx5.so.23.0      [.] 0x000000000000a944
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] trigger_load_balance
     0.01%  perf          [kernel.kallsyms]            [k] copy_user_generic_unrolled
     0.00%  perf          [kernel.kallsyms]            [k] native_set_fixmap
     0.00%  perf          [kernel.kallsyms]            [k] native_sched_clock
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
