# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5626780601
#
# Overhead  Command       Shared Object                Symbol                              
# ........  ............  ...........................  ....................................
#
    67.20%  rte-worker-2  nflr                         [.] interval_tree_rtc
     9.11%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
     8.49%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
     5.67%  rte-worker-2  librte_hash.so.23.0          [.] __rte_hash_lookup_with_hash
     3.39%  rte-worker-2  nflr                         [.] cuckoo_hash_rtc
     0.99%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     0.58%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.57%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     0.57%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     0.56%  rte-worker-2  nflr                         [.] rte_jhash
     0.43%  rte-worker-2  nflr                         [.] send_packet
     0.33%  rte-worker-2  nflr                         [.] upf_encapsulate
     0.25%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
     0.16%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.15%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_advance
     0.13%  rte-worker-2  librte_hash.so.23.0          [.] rte_hash_hash
     0.09%  rte-worker-2  [kernel.kallsyms]            [k] update_process_times
     0.07%  rte-worker-2  [kernel.kallsyms]            [k] update_vsyscall
     0.07%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_run_queues
     0.07%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.07%  rte-worker-2  librte_hash.so.23.0          [.] rte_hash_lookup
     0.04%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock
     0.04%  rte-worker-2  [kernel.kallsyms]            [k] __acct_update_integrals
     0.04%  rte-worker-2  [kernel.kallsyms]            [k] scheduler_tick
     0.04%  rte-worker-2  librte_hash.so.23.0          [.] 0x0000000000002310
     0.04%  rte-worker-2  [kernel.kallsyms]            [k] __update_load_avg_se
     0.04%  rte-worker-2  [kernel.kallsyms]            [k] update_rq_clock
     0.04%  rte-worker-2  [kernel.kallsyms]            [k] native_read_msr
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] account_user_time
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] sync_regs
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] tick_do_update_jiffies64
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] __update_load_avg_cfs_rq
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] __calc_delta
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_active
     0.03%  rte-worker-2  nflr                         [.] 0x00000000000046a0
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] decay_load
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __cgroup_account_cputime
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_load_avg
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_update
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] irqentry_enter
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] ntp_tick_length
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] __accumulate_pelt_segments
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] error_entry
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] ktime_get_update_offsets_now
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] __hrtimer_run_queues
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] rb_erase
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] task_tick_fair
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] sched_clock
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] update_wall_time
     0.01%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mc_dequeue
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] run_posix_cpu_timers
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] read_tsc
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] native_sched_clock
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] arch_scale_freq_tick
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] update_fast_timekeeper
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] perf_swevent_start
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] native_tss_update_io_bitmap
     0.01%  migration/2   [kernel.kallsyms]            [k] swake_up_locked
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] native_queued_spin_lock_slowpath
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] cpuacct_account_field
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_interrupt
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] ktime_get
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] update_curr
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] __irqentry_text_end
     0.00%  perf          [kernel.kallsyms]            [k] kmalloc_slab
     0.00%  perf          [kernel.kallsyms]            [k] native_flush_tlb_one_user
     0.00%  perf          [kernel.kallsyms]            [k] perf_event_nmi_handler
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
