# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5626969177
#
# Overhead  Command       Shared Object                Symbol                                 
# ........  ............  ...........................  .......................................
#
    27.30%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
    20.72%  rte-worker-2  nflr                         [.] write_variable
    16.97%  rte-worker-2  libc-2.31.so                 [.] __memset_avx2_unaligned_erms
    14.80%  rte-worker-2  nflr                         [.] read_variable
     2.61%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
     1.37%  rte-worker-2  nflr                         [.] 0x00000000000048d4
     1.32%  rte-worker-2  nflr                         [.] handleUplinkNASTransportMain
     0.96%  rte-worker-2  nflr                         [.] HandleNAS
     0.95%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     0.89%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     0.53%  rte-worker-2  nflr                         [.] 0x00000000000048d0
     0.45%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     0.45%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     0.45%  rte-worker-2  libc-2.31.so                 [.] __memset_chk_avx2_unaligned_erms
     0.41%  rte-worker-2  nflr                         [.] Decode
     0.41%  rte-worker-2  libc-2.31.so                 [.] 0x000000000018bb5d
     0.38%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.31%  rte-worker-2  nflr                         [.] SearchNssfNSSelectionInstance
     0.30%  rte-worker-2  nflr                         [.] RanUeFindByAmfUeNgapID
     0.29%  rte-worker-2  nflr                         [.] ranUeFind
     0.29%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     0.29%  rte-worker-2  nflr                         [.] Registered
     0.29%  rte-worker-2  nflr                         [.] UpdateLocation
     0.27%  rte-worker-2  nflr                         [.] Dispatch
     0.27%  rte-worker-2  nflr                         [.] CreatePDUSession
     0.27%  rte-worker-2  nflr                         [.] buildCreateSmContextRequest
     0.26%  rte-worker-2  nflr                         [.] SmContextFindByPDUSessionID
     0.24%  rte-worker-2  nflr                         [.] ServingAMF
     0.23%  rte-worker-2  nflr                         [.] SetUserLocation
     0.23%  rte-worker-2  nflr                         [.] SetDnn
     0.23%  rte-worker-2  nflr                         [.] HandleULNASTransport
     0.22%  rte-worker-2  nflr                         [.] Dnn
     0.22%  rte-worker-2  nflr                         [.] SendCreateSmContextRequest
     0.21%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.21%  rte-worker-2  nflr                         [.] GetNsiInformationFromSnssai
     0.21%  rte-worker-2  nflr                         [.] SetSmfID
     0.21%  rte-worker-2  nflr                         [.] GetIPv4Uri
     0.21%  rte-worker-2  nflr                         [.] AccessType
     0.20%  rte-worker-2  nflr                         [.] send_packet
     0.19%  rte-worker-2  nflr                         [.] SelectSmf
     0.18%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.18%  rte-worker-2  nflr                         [.] SetSmfUri
     0.18%  rte-worker-2  nflr                         [.] transport5GSMMessage
     0.18%  rte-worker-2  nflr                         [.] NewSmContext
     0.18%  rte-worker-2  nflr                         [.] SetSmContextRef
     0.17%  rte-worker-2  nflr                         [.] SetSnssai
     0.17%  rte-worker-2  nflr                         [.] Snssai
     0.17%  rte-worker-2  nflr                         [.] handlerUplinkNASTransport
     0.17%  rte-worker-2  nflr                         [.] SetNsInstance
     0.16%  rte-worker-2  nflr                         [.] dispatchMain
     0.16%  rte-worker-2  nflr                         [.] SmfUri
     0.15%  rte-worker-2  nflr                         [.] NSSelectionGetForPduSession
     0.15%  rte-worker-2  nflr                         [.] StoreSmContext
     0.12%  rte-worker-2  nflr                         [.] PduSessionID
     0.09%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
     0.09%  rte-worker-2  nflr                         [.] SetAccessType
     0.08%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] decay_load
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] native_write_msr
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] update_cfs_group
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] update_rq_clock
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] timerqueue_add
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_curr
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_run_queues
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] __update_load_avg_se
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_advance
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_vsyscall
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] __update_load_avg_cfs_rq
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_active
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] enqueue_entity
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] sync_regs
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_read_msr
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] cpuacct_charge
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __accumulate_pelt_segments
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] scheduler_tick
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] tick_do_update_jiffies64
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] run_posix_cpu_timers
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] rcu_read_unlock_strict
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __hrtimer_run_queues
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] raw_spin_rq_lock_nested.constprop.0
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_interrupt
     0.02%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mp_enqueue
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_load_avg
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_queued_spin_lock_slowpath
     0.01%  rte-worker-2  nflr                         [.] cuckoo_hash_second_test
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] intel_tfa_pmu_enable_all
     0.01%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mc_dequeue
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] perf_mux_hrtimer_handler
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] rcu_segcblist_ready_cbs
     0.01%  rte-worker-2  nflr                         [.] rte_pktmbuf_free
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] update_fast_timekeeper
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] __acct_update_integrals
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] change_pte_range
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] get_task_policy.part.0
     0.00%  perf          [kernel.kallsyms]            [k] copy_user_generic_unrolled
     0.00%  perf          [kernel.kallsyms]            [k] ghes_copy_tofrom_phys
     0.00%  perf          [kernel.kallsyms]            [k] sched_clock
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
