# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 348  of event 'cycles'
# Event count (approx.): 9023734
#
# Overhead  Command      Shared Object      Symbol                               
# ........  ...........  .................  .....................................
#
    23.60%  swapper      [kernel.kallsyms]  [k] acpi_processor_ffh_cstate_enter
     5.48%  swapper      [kernel.kallsyms]  [k] tick_do_update_jiffies64
     4.99%  swapper      [kernel.kallsyms]  [k] tick_nohz_next_event
     4.86%  perf         [kernel.kallsyms]  [k] ttwu_do_activate
     4.54%  swapper      [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     3.42%  swapper      [kernel.kallsyms]  [k] cpuidle_enter_state
     2.93%  swapper      [kernel.kallsyms]  [k] native_write_msr
     2.63%  swapper      [kernel.kallsyms]  [k] menu_select
     2.47%  swapper      [kernel.kallsyms]  [k] read_tsc
     2.43%  swapper      [kernel.kallsyms]  [k] native_irq_return_iret
     2.36%  swapper      [kernel.kallsyms]  [k] timekeeping_advance
     2.15%  swapper      [kernel.kallsyms]  [k] native_read_msr
     1.97%  swapper      [kernel.kallsyms]  [k] timekeeping_update
     1.85%  swapper      [kernel.kallsyms]  [k] update_vsyscall
     1.59%  swapper      [kernel.kallsyms]  [k] ktime_get
     1.58%  swapper      [kernel.kallsyms]  [k] ktime_get_update_offsets_now
     1.51%  swapper      [kernel.kallsyms]  [k] cpuidle_enter
     1.25%  swapper      [kernel.kallsyms]  [k] rcu_sched_clock_irq
     1.15%  swapper      [kernel.kallsyms]  [k] lapic_next_deadline
     1.14%  swapper      [kernel.kallsyms]  [k] hrtimer_interrupt
     1.14%  swapper      [kernel.kallsyms]  [k] update_process_times
     1.13%  swapper      [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     1.10%  swapper      [kernel.kallsyms]  [k] _raw_spin_trylock
     1.09%  swapper      [kernel.kallsyms]  [k] perf_swevent_stop
     0.99%  swapper      [kernel.kallsyms]  [k] acpi_idle_enter
     0.98%  swapper      [kernel.kallsyms]  [k] _raw_spin_lock
     0.97%  swapper      [kernel.kallsyms]  [k] perf_event_task_tick
     0.97%  swapper      [kernel.kallsyms]  [k] call_cpuidle
     0.96%  swapper      [kernel.kallsyms]  [k] cpuidle_reflect
     0.93%  swapper      [kernel.kallsyms]  [k] do_idle
     0.91%  swapper      [kernel.kallsyms]  [k] error_entry
     0.90%  swapper      [kernel.kallsyms]  [k] enqueue_hrtimer
     0.76%  swapper      [kernel.kallsyms]  [k] nr_iowait_cpu
     0.76%  swapper      [kernel.kallsyms]  [k] get_cpu_device
     0.75%  swapper      [kernel.kallsyms]  [k] raise_softirq
     0.74%  swapper      [kernel.kallsyms]  [k] perf_mux_hrtimer_handler
     0.72%  swapper      [kernel.kallsyms]  [k] tick_nohz_get_sleep_length
     0.67%  swapper      [kernel.kallsyms]  [k] __hrtimer_next_event_base
     0.63%  swapper      [kernel.kallsyms]  [k] menu_reflect
     0.52%  migration/2  [kernel.kallsyms]  [k] update_blocked_averages
     0.52%  swapper      [kernel.kallsyms]  [k] arch_cpu_idle_enter
     0.51%  swapper      [kernel.kallsyms]  [k] account_process_tick
     0.49%  swapper      [kernel.kallsyms]  [k] perf_pmu_nop_void
     0.49%  swapper      [kernel.kallsyms]  [k] rcu_needs_cpu
     0.46%  swapper      [kernel.kallsyms]  [k] note_gp_changes
     0.43%  swapper      [kernel.kallsyms]  [k] rb_insert_color
     0.38%  swapper      [kernel.kallsyms]  [k] update_fast_timekeeper
     0.36%  perf         [kernel.kallsyms]  [k] ghes_notify_nmi
     0.35%  swapper      [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.35%  swapper      [kernel.kallsyms]  [k] restore_regs_and_return_to_kernel
     0.34%  swapper      [kernel.kallsyms]  [k] arch_scale_freq_tick
     0.30%  swapper      [kernel.kallsyms]  [k] _raw_spin_lock_irq
     0.29%  swapper      [kernel.kallsyms]  [k] update_ts_time_stats
     0.29%  swapper      [kernel.kallsyms]  [k] tick_sched_do_timer
     0.27%  swapper      [kernel.kallsyms]  [k] rcu_dynticks_inc
     0.25%  swapper      [kernel.kallsyms]  [k] rcu_advance_cbs
     0.24%  swapper      [kernel.kallsyms]  [k] rcu_core
     0.24%  swapper      [kernel.kallsyms]  [k] scheduler_tick
     0.24%  swapper      [kernel.kallsyms]  [k] raw_spin_rq_unlock
     0.22%  swapper      [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.21%  swapper      [kernel.kallsyms]  [k] run_posix_cpu_timers
     0.19%  swapper      [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.16%  swapper      [kernel.kallsyms]  [k] select_idle_sibling
     0.15%  swapper      [kernel.kallsyms]  [k] update_rq_clock
     0.13%  swapper      [kernel.kallsyms]  [k] ksoftirqd_running
     0.12%  swapper      [kernel.kallsyms]  [k] timerqueue_add
     0.12%  swapper      [kernel.kallsyms]  [k] __next_base
     0.11%  swapper      [kernel.kallsyms]  [k] __intel_pmu_disable_all
     0.11%  swapper      [kernel.kallsyms]  [k] tick_nohz_tick_stopped
     0.11%  swapper      [kernel.kallsyms]  [k] invoke_rcu_core
     0.10%  swapper      [kernel.kallsyms]  [k] profile_tick
     0.03%  perf         [kernel.kallsyms]  [k] nmi_handle
     0.00%  perf         [kernel.kallsyms]  [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
