# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5617227347
#
# Overhead  Command       Shared Object                Symbol                            
# ........  ............  ...........................  ..................................
#
    30.21%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
    22.31%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
    10.75%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
    10.03%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
     8.34%  rte-worker-2  nflr                         [.] interval_tree_load_key
     5.02%  rte-worker-2  nflr                         [.] interval_tree_compare
     3.25%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     2.93%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     1.86%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     1.44%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     0.99%  rte-worker-2  nflr                         [.] send_packet
     0.98%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.73%  rte-worker-2  nflr                         [.] upf_encapsulate
     0.47%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.14%  rte-worker-2  nflr                         [.] interval_tree_get_key
     0.11%  rte-worker-2  librte_mbuf.so.23.0          [.] rte_pktmbuf_free_bulk
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_load_avg
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] ksoftirqd_running
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] irqentry_exit_to_user_mode
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] lapic_next_deadline
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_vsyscall
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] calc_global_load
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_process_times
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] ktime_get
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_irq_return_iret
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __update_load_avg_cfs_rq
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_write_msr
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] clockevents_program_event
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] error_entry
     0.02%  rte-worker-2  librte_net_mlx5.so.23.0      [.] 0x000000000000a944
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __cgroup_account_cputime_field
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __update_load_avg_se
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] account_user_time
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_active
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] exit_to_user_mode_prepare
     0.02%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mc_dequeue
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] run_posix_cpu_timers
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock
     0.00%  perf          [kernel.kallsyms]            [k] __kmalloc_node
     0.00%  perf          [kernel.kallsyms]            [k] set_pte_vaddr
     0.00%  perf          [kernel.kallsyms]            [k] sched_clock
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
