# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5617216345
#
# Overhead  Command       Shared Object                Symbol                         
# ........  ............  ...........................  ...............................
#
    35.19%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
    15.18%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
    15.07%  rte-worker-2  nflr                         [.] interval_tree_compare
    14.12%  rte-worker-2  nflr                         [.] interval_tree_load_key
     4.02%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     3.48%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     2.71%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     2.64%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     1.68%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     1.62%  rte-worker-2  nflr                         [.] send_packet
     1.38%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     1.01%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.80%  rte-worker-2  nflr                         [.] upf_encapsulate
     0.26%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
     0.14%  rte-worker-2  nflr                         [.] interval_tree_get_key
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.06%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mc_dequeue
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] update_load_avg
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] tick_do_update_jiffies64
     0.03%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mp_enqueue
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_curr
     0.02%  rte-worker-2  nflr                         [.] cuckoo_hash_second_test
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_rq_clock
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_vsyscall
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_cfs_group
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __hrtimer_get_next_event
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_read_msr
     0.02%  rte-worker-2  librte_net_mlx5.so.23.0      [.] 0x000000000000a944
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_process_times
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_interrupt
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] decay_load
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] cpuacct_charge
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_advance
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __calc_delta
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] change_p4d_range
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] vma_migratable
     0.02%  rte-worker-2  nflr                         [.] cuckoo_hash_second_hash
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __irqentry_text_end
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] reweight_entity
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] run_posix_cpu_timers
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_run_queues
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_tss_update_io_bitmap
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __update_load_avg_cfs_rq
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] scheduler_tick
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] trigger_load_balance
     0.02%  rte-worker-2  ld-2.31.so                   [.] __tls_get_addr
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_write_msr
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __softirqentry_text_start
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] check_preempt_curr
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] account_user_time
     0.00%  perf          [kernel.kallsyms]            [k] syscall_return_via_sysret
     0.00%  perf          [kernel.kallsyms]            [k] native_flush_tlb_one_user
     0.00%  perf          [kernel.kallsyms]            [k] native_apic_mem_write
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
