# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5617139098
#
# Overhead  Command          Shared Object            Symbol                             
# ........  ...............  .......................  ...................................
#
    30.03%  rte-worker-2     librte_net_mlx5.so.23.0  [.] rxq_cq_process_v
    21.58%  rte-worker-2     nflr                     [.] worker_fsm_amac_thread
    11.14%  rte-worker-2     librte_net_mlx5.so.23.0  [.] mlx5_rx_burst_vec
     9.54%  rte-worker-2     libc-2.31.so             [.] __memcmp_avx2_movbe
     7.86%  rte-worker-2     nflr                     [.] interval_tree_compare
     7.74%  rte-worker-2     nflr                     [.] interval_tree_load_key
     2.84%  rte-worker-2     librte_net_mlx5.so.23.0  [.] mlx5_tx_handle_completion
     2.40%  rte-worker-2     librte_net_mlx5.so.23.0  [.] rxq_cq_decompress_v
     1.85%  rte-worker-2     nflr                     [.] cuckoo_hash_first_test
     1.35%  rte-worker-2     nflr                     [.] cuckoo_hash_first_hash
     1.27%  rte-worker-2     librte_net_mlx5.so.23.0  [.] mlx5_tx_burst_i_empw
     0.95%  rte-worker-2     nflr                     [.] send_packet
     0.45%  rte-worker-2     nflr                     [.] upf_encapsulate
     0.44%  rte-worker-2     nflr                     [.] cuckoo_hash_get_key
     0.11%  rte-worker-2     librte_mbuf.so.23.0      [.] rte_pktmbuf_free_bulk
     0.06%  rte-worker-2     [kernel.kallsyms]        [k] perf_event_task_tick
     0.05%  rte-worker-2     [kernel.kallsyms]        [k] update_curr
     0.05%  rte-worker-2     [kernel.kallsyms]        [k] native_write_msr
     0.03%  rte-worker-2     [kernel.kallsyms]        [k] update_rq_clock
     0.03%  rte-worker-2     nflr                     [.] cuckoo_hash_second_test
     0.03%  rte-worker-2     [kernel.kallsyms]        [k] task_tick_fair
     0.03%  rte-worker-2     [kernel.kallsyms]        [k] timerqueue_add
     0.02%  kworker/2:1-mm_  [kernel.kallsyms]        [k] process_one_work
     0.02%  rte-worker-2     [kernel.kallsyms]        [k] tick_do_update_jiffies64
     0.02%  rte-worker-2     [kernel.kallsyms]        [k] cpuacct_charge
     0.02%  rte-worker-2     [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.02%  rte-worker-2     [kernel.kallsyms]        [k] asm_sysvec_apic_timer_interrupt
     0.02%  rte-worker-2     [kernel.kallsyms]        [k] __update_load_avg_cfs_rq
     0.02%  rte-worker-2     [kernel.kallsyms]        [k] sync_regs
     0.02%  rte-worker-2     [kernel.kallsyms]        [k] scheduler_tick
     0.02%  rte-worker-2     [kernel.kallsyms]        [k] __irqentry_text_end
     0.02%  rte-worker-2     [kernel.kallsyms]        [k] rcu_segcblist_ready_cbs
     0.02%  rte-worker-2     [kernel.kallsyms]        [k] irqentry_exit_to_user_mode
     0.02%  rte-worker-2     [kernel.kallsyms]        [k] hrtimer_update_next_event
     0.02%  rte-worker-2     [kernel.kallsyms]        [k] ksoftirqd_running
     0.00%  perf             [kernel.kallsyms]        [k] syscall_exit_to_user_mode
     0.00%  perf             [kernel.kallsyms]        [k] native_flush_tlb_one_user
     0.00%  perf             [kernel.kallsyms]        [k] intel_pmu_handle_irq
     0.00%  perf             [kernel.kallsyms]        [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
