,hotspot,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,1694846296,[[968828]],[[30521344]],[285363.96254490386],[22453412.981388945],[259388.69623723018],[2742684.085133172],[2868795.1049291403],[20324868.592189167],[69262578.93978284],[2080909413.3947968],[7932978709.09174],[6541271375.177467],[65947007.83518465],[18705960.044775702],[2671329.13412502],[199300.26395829025],[0.09457476259962162],[0.03328476410070529],[0.14114704318588395],[1.2127579264170973]
1,1694846310,[[986897]],[[30519296]],[311338.69856892386],[17255337.967107687],[311937.0273236324],[2785572.5750079374],[2785465.961890945],[16131766.73854161],[53039838.88156489],[2161083900.2249417],[8300492423.70755],[6548366182.98678],[52312628.31960047],[14713743.532030756],[2575226.3897587485],[194784.65570541282],[0.11198309106081845],[0.024543165064551224],[0.1726696156122801],[1.267566930706005]
2,1694846324,[[671057]],[[30531584]],[351990.37982360885],[13444896.860090515],[156760.39398390712],[2357901.320148202],[2239398.993134898],[17354428.499089736],[50694451.59182011],[2011323953.9304516],[7604591654.598118],[6589382950.931293],[50179293.210405536],[15718832.77840677],[2244792.8777072714],[210849.40242094808],[0.06648301718328661],[0.025204518393347315],[0.12903905151658307],[1.1540673400266324]
3,1694846338,[[1314596]],[[30504960]],[369625.44522367435],[19070442.183148604],[291560.7523407227],[3574271.385291562],[3603144.0469774054],[17747956.043451957],[57355959.252904154],[2226030341.471295],[8586924623.379967],[6578650795.315844],[56341526.82788661],[16067242.861541543],[2952949.1666011293],[184170.91389894148],[0.08157208026802906],[0.025766027616225002],[0.20301740877405272],[1.3052713832286191]
4,1694846352,[[1012255]],[[30486528]],[423833.56897210295],[12665276.767612806],[262712.2401336084],[2868625.330992364],[2852712.113329303],[17233263.559781056],[47645222.6268093],[2012338989.03709],[7581756469.238903],[6530400437.495175],[47232140.355690986],[15494451.743645776],[2466431.5234392653],[162359.81051657192],[0.09158123136377887],[0.023676539035606358],[0.16553522224234735],[1.1609941138842306]
5,1694846366,[[890232]],[[30552064]],[1819212.400396368],[21885797.901798796],[568480.8403478492],[3015714.370137737],[2875528.9567238004],[16957121.834101785],[62510636.11316463],[1960270338.7525852],[7457144760.755617],[6562692497.712802],[60998129.38968505],[15331625.176334046],[2600741.2615529485],[527644.7894270178],[0.18850619474346467],[0.031888783336355114],[0.16957647558684988],[1.1362934898068964]
6,1694846380,[[900324]],[[30552064]],[1692777.3873243497],[16622541.22421391],[421777.338592496],[2401901.75934659],[2508463.0724276854],[16140673.661868142],[51221905.61339211],[2033246113.6008866],[7801656017.614161],[6562973607.970881],[50433579.35583143],[14774677.22127058],[2565992.51000453],[446631.82264793],[0.17560141123641781],[0.02519218173872612],[0.15541253884302575],[1.1887379842787835]
7,1694846394,[[616204]],[[30507008]],[1595505.4996264414],[12998072.763526978],[410982.7471574643],[2258684.9257133794],[2158987.5898910025],[14964840.678011958],[46358533.98205991],[1886132117.756093],[7096525526.29182],[6560688243.172674],[45683917.2548645],[13762696.64150916],[2151764.2150456314],[398041.7192548995],[0.18195665206720243],[0.024578624978409284],[0.1442706699218811],[1.0816739438391636]
8,1694846408,[[1188184]],[[30500864]],[1856736.906801736],[17971271.378016084],[362763.9568990614],[3208639.228064701],[3091528.685398539],[16870910.220128357],[53853824.3348828],[2054829878.0396113],[7903425203.27214],[6546945454.331462],[53010929.99775857],[15217414.383475056],[2736149.3545628735],[383056.8394902932],[0.11305850583827194],[0.026208410200002287],[0.1832461109128597],[1.2071927677422805]
9,1694846422,[[923533]],[[30519296]],[1686229.9296231177],[12176474.364779899],[324742.54562832136],[2912108.7327786726],[2719792.0886080633],[16684367.564700972],[44930213.07404141],[1915114905.3929324],[7192493177.924512],[6580086276.021207],[44758919.57362876],[15195483.71083539],[2393766.4941757773],[280529.2425585785],[0.11151456742429355],[0.023460844541243277],[0.16301439524518227],[1.0930697374189462]
10,1694846436,[[693116]],[[30494720]],[6913586.748282345],[18138794.68513834],[808375.2521988732],[2912072.5049189273],[2592918.2899147924],[15096639.242085442],[52503377.8681084],[1670012046.567497],[6299349868.607134],[6554318625.647421],[51882168.75805633],[13641428.09903484],[2202057.3780251713],[616991.2744704965],[0.27759447981923735],[0.03143892163893224],[0.1717546699192772],[0.9610991208082897]
11,1694846450,[[719776]],[[30566400]],[5379446.660251839],[13940072.413583124],[641730.9367859357],[2468474.447671769],[2407324.9848006517],[13894073.252476592],[44011074.88140487],[1762626747.5015168],[6693066893.877497],[6571526608.643151],[43661776.617354],[12728327.882880874],[2225813.93286391],[537873.8413424604],[0.25997066220037535],[0.02496902701822128],[0.17326272440456225],[1.0184949848752785]
12,1694846464,[[507761]],[[30533632]],[4412043.302808872],[11281681.704715678],[471758.1837597641],[2385487.7296269443],[2157475.01410012],[14796127.334147334],[42017891.500632375],[1676269847.902185],[6275074145.33287],[6558691148.196694],[42018522.80538439],[13527091.087910857],[1997494.6108298833],[424012.8945885299],[0.19776173144832745],[0.025066305137694176],[0.1458134933132792],[0.9567570729501716]
13,1694846478,[[929584]],[[30515200]],[5713475.812597455],[14861876.248894762],[545435.7489548268],[2672424.8485081173],[2573903.5539440163],[15300446.192932239],[47250448.402370304],[1769737719.924749],[6733939538.848875],[6590461791.424504],[46767480.49501493],[13998438.179517865],[2445250.829635413],[486600.14146083745],[0.2040976939947691],[0.026699124887488664],[0.16822408454552024],[1.0217705150208236]
14,1694846492,[[775860]],[[30547968]],[4212516.208845777],[10709174.610531095],[464097.2703975412],[2570896.496862968],[2437907.5919672875],[14655886.487679295],[40603357.913248934],[1724473881.469944],[6443596421.847261],[6590378563.499261],[40426256.22100526],[13376325.028930293],[2223149.1893658605],[362148.9802828552],[0.18051962456047416],[0.023545359746845556],[0.16634323648840713],[0.9777278133209296]
15,1694846506,[[622800]],[[30521344]],[9125077.965532087],[16523240.29118476],[1099597.6586842644],[2626674.759923135],[2578127.084894093],[14117547.311420217],[48991886.554754436],[1572341939.9566085],[5904697677.657284],[6531175859.272562],[48395856.08305379],[12809770.504245626],[2226000.8585902937],[759705.0914408973],[0.41862726039079245],[0.031158544658616973],[0.1826186254611344],[0.9040788067701709]
16,1694846520,[[649212]],[[30558208]],[6863420.0975906635],[12904010.330308033],[882969.304556209],[2562216.938537966],[2414560.387319604],[14840667.01109953],[42888361.91231447],[1672377577.8699553],[6327223816.954848],[6586412500.682526],[42846646.26174808],[13742234.152715543],[2089353.8107982685],[630448.7715961566],[0.34461145396222487],[0.02564514286716267],[0.1626989127586868],[0.9606479728227136]
17,1694846534,[[465408]],[[30525440]],[5687627.9025781555],[10684124.125445059],[726885.7274687511],[2487839.677606014],[2377765.9002723843],[13836010.806316808],[39851047.56800519],[1616725896.9353507],[6031763223.831083],[6606104041.143365],[39723555.727640264],[12660491.8482045],[1952145.5651646648],[527020.2512949889],[0.29217547015256834],[0.024649229435581156],[0.1718534289657261],[0.9130590717713134]
18,1694846548,[[822748]],[[30511104]],[7182605.389491997],[13450821.091053408],[889500.4994561152],[2651564.782115923],[2681296.66562697],[15098792.057121871],[44628880.650507346],[1643354070.9759068],[6228037743.863879],[6561283546.56024],[44402413.47077807],[13866404.21395139],[2421957.405636023],[711345.074690139],[0.33546248066634166],[0.027157191160882607],[0.1775835216143826],[0.9492102726041972]
19,1694846562,[[713011]],[[30509056]],[5200903.344481865],[10075284.56667579],[785088.3325616266],[2886179.83801216],[2686110.681721149],[15324675.704124257],[39562228.903264664],[1648027787.1405292],[6132966084.449405],[6580984055.666983],[39719421.82505837],[13659085.597697644],[2119875.1232651602],[554587.7614840063],[0.272016428852317],[0.024005802093852165],[0.1752800994671782],[0.931922343614891]
