,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,0,[[8118108]],[[31283200]],[664217.6050043841],[35102996.31993033],[34956475.32493419],[76811032.9744946],[149624398.70410728],[1745068944.018443],[5910661526.494798],[6614233655.532713],[149597845.62024832],[0.018921963212219096],[0.08574125350002558],[0.45509706055563165],[0.8936275665965645]
1,1,[[8076812]],[[31221760]],[779799.3452929341],[34679040.63387881],[34537411.19827592],[76041043.77633122],[147740611.84201533],[1726982804.5711145],[5849312211.515268],[6572176107.339592],[147713718.7190074],[0.022486185633726233],[0.08554839773213943],[0.4541943335215783],[0.8900114841692917]
2,2,[[7890301]],[[31176704]],[1155831.7305066234],[33975902.245914154],[33825340.9317442],[74847046.20519423],[145168903.40086266],[1710387332.6138358],[5794613098.474011],[6594613931.178507],[145140924.83760044],[0.03401916223271512],[0.08487487052363378],[0.4519261967801849],[0.8786887540266471]
3,3,[[7550692]],[[23101440]],[1772939.9997088448],[32974135.45082782],[32828537.018301394],[71841344.83514759],[140133023.8701866],[1664954638.4235215],[5641991262.903505],[6602408684.584532],[140107441.15614915],[0.053767596192255435],[0.0841662713423069],[0.45695883190427683],[0.8545352965011946]
4,4,[[7062360]],[[13015040]],[2773157.9172732728],[31055992.015644036],[30916103.473700583],[68916203.9108526],[133479936.39722377],[1589198018.314267],[5385451407.757375],[6590998530.327327],[133454906.49345209],[0.08929542214836776],[0.08399201034671053],[0.4486042718442892],[0.8170918841776648]
5,5,[[7896656]],[[31262720]],[1048712.684806954],[35232626.609248005],[35088721.45230896],[74189546.55579765],[145192174.09743538],[1712939527.5051541],[5802815062.925528],[6601614610.552433],[145164600.6813055],[0.029765384694074547],[0.08476199641963048],[0.47296045172508067],[0.8789993668594265]
6,6,[[7818508]],[[31234048]],[1205637.129399558],[34962010.15848239],[34822584.94790338],[73674923.03493172],[144121835.53093407],[1707737612.3292167],[5784926618.373399],[6623150110.902843],[144095971.0963288],[0.03448420511104536],[0.08439343051908511],[0.4726517994649664],[0.8734403601770123]
7,7,[[7548704]],[[31137792]],[1772979.542646122],[33701664.79344933],[33547639.848437432],[71312876.06238763],[139858120.72804916],[1668870696.1643662],[5655414759.793957],[6609887842.101803],[139833573.19886902],[0.05260807006159352],[0.08380404847990368],[0.4704289281375847],[0.8555992015131767]
8,8,[[7192328]],[[23097344]],[2418593.267863466],[32468319.5769957],[32320386.876561698],[68510456.43231873],[133827748.59684668],[1616309561.011932],[5477765787.219936],[6592253722.594871],[133803678.07297617],[0.07449086677023704],[0.08279834001171187],[0.4717584520618529],[0.8309397692696444]
9,9,[[6692834]],[[13017088]],[3438086.984078267],[30464777.058745656],[30326104.659166075],[64365081.25050382],[125768066.65423836],[1541094208.6732028],[5223066182.620526],[6590743384.594746],[125742802.34081656],[0.11285449348434606],[0.08160959008633076],[0.4711577157984042],[0.7924851382969881]
10,10,[[7017224]],[[31277056]],[2793221.1071105823],[32185586.367580254],[32046513.82518763],[67430434.92602299],[131816179.05656672],[1600984858.983679],[5425906073.277198],[6617078284.778951],[131792413.54920046],[0.0867848444707574],[0.08233443203219606],[0.4752529604820942],[0.8199851716668114]
11,11,[[6938848]],[[31268864]],[2952262.448272897],[31827422.07322858],[31687617.244092137],[68212625.13880035],[132964505.73331086],[1590431778.944703],[5389982275.876256],[6622472333.463085],[132939981.8870684],[0.09275845343302788],[0.08360277221166733],[0.46454182315390397],[0.8138927585459125]
12,12,[[6713596]],[[31180800]],[3401978.732354965],[30566698.779024426],[30419334.79704578],[65977670.79342362],[128458727.46627656],[1547518919.626884],[5245966301.859475],[6570801725.76361],[128434725.01462701],[0.11129689721971159],[0.08300947137838464],[0.46105499680776624],[0.7983753765222352]
13,13,[[6348015]],[[23105536]],[4085361.440660812],[29565488.60568124],[29416175.25802283],[62052364.64289105],[121660136.41954418],[1512511301.8195992],[5128639266.844166],[6607215789.080158],[121639212.17640035],[0.13818007526098444],[0.08043585279209693],[0.4740540578479447],[0.7762179154675624]
14,14,[[6111196]],[[13021184]],[4223874.331101486],[28958123.70752124],[28822428.44445459],[61835209.99902546],[121000000.9577999],[1492884684.2987437],[5059725297.105984],[6638392356.885836],[120979581.70956594],[0.1458614644292174],[0.0810511369233033],[0.46611677141403485],[0.7621913597586107]
15,15,[[5958211]],[[31270912]],[5007640.137620018],[27634353.36364274],[27490322.13823885],[58473150.73778712],[115507210.70009482],[1453171687.038551],[4928344947.128975],[6579626148.407775],[115486874.00479704],[0.18121068626879258],[0.07948627937796487],[0.4701358109042989],[0.7490311510056846]
16,16,[[5943692]],[[31270912]],[5090020.138398877],[27659109.073675852],[27517688.638427783],[58738884.26230823],[115294812.4704675],[1458610220.9766064],[4947131261.364629],[6618552148.855915],[115273971.60623267],[0.18402690140309794],[0.07904429217099022],[0.4684748269228775],[0.7474642716564214]
17,17,[[5776036]],[[31162368]],[5459099.756152866],[26822961.056450516],[26683378.199355226],[57194665.000300385],[112291969.01286761],[1435235099.9016397],[4869483750.944899],[6605769171.396806],[112271900.20515604],[0.2035233822494044],[0.07823942503953761],[0.4665361393272447],[0.7371562076419383]
18,18,[[5542944]],[[23105536]],[5905470.297121078],[25975775.644942753],[25837274.26630554],[54120358.91883469],[106867922.53127035],[1394258001.71225],[4731378697.152082],[6578208878.338888],[106848991.26947659],[0.22734529193051523],[0.07664859903979665],[0.47740397112026145],[0.7192502981673087]
19,19,[[5194868]],[[13021184]],[6344352.713090343],[25027229.221025348],[24893624.68388917],[52714456.8120011],[103993402.51494662],[1358130348.609158],[4608357586.711297],[6605067872.010238],[103975509.05460405],[0.2534980063937905],[0.07657100264451405],[0.47223524986075216],[0.6977002622849284]
20,20,[[5353572]],[[31264768]],[6287357.680939827],[24885340.196634095],[24740822.806507386],[53066515.83876283],[105166326.24771929],[1368989390.3191547],[4645942963.157923],[6543961430.103353],[105145594.19045617],[0.25265307330579445],[0.07682040999835776],[0.4662228604131434],[0.7099587937339885]
21,21,[[5339196]],[[31246336]],[6367013.208957647],[24941380.124328583],[24797618.20830739],[53587260.807068415],[105440987.45063409],[1372850693.1503694],[4658731722.567254],[6583582426.888175],[105420767.32210445],[0.25527910553542577],[0.0768044099600313],[0.462752113745595],[0.7076286769860145]
22,22,[[5242164]],[[31195136]],[6636224.19401254],[24629194.539104965],[24488443.17988415],[53278015.78138478],[104853199.92986295],[1369495291.0495934],[4647670864.348093],[6621858966.255515],[104835091.29654041],[0.2694454414039357],[0.07656338843597082],[0.45963504497553676],[0.7018679932677918]
23,23,[[5009774]],[[23107584]],[7166722.044811996],[23787767.549218718],[23642493.075642988],[50815701.85753246],[100488054.22330925],[1326821925.5322473],[4504901313.384202],[6599318536.073046],[100470787.30589814],[0.30127762220576176],[0.07573590117076112],[0.46525959912798964],[0.6826312881791676]
24,24,[[4721824]],[[13021184]],[7536689.935016595],[22969201.94567055],[22835527.215404853],[49003549.118044846],[96381714.81743786],[1282402512.652859],[4353419518.785084],[6618612320.945371],[96365255.83698691],[0.3281215408721321],[0.07515714751529654],[0.4659974150116405],[0.6577541193957198]
25,25,[[5077892]],[[31242240]],[6871228.974695595],[23914305.20909259],[23772427.543882236],[51173658.38878303],[101225238.73224393],[1346681450.3762763],[4571292138.155035],[6595271615.329121],[101207189.98314181],[0.28732714225304135],[0.0751664313070924],[0.46454422631415804],[0.6931165848469633]
26,26,[[5051071]],[[31252480]],[6950676.570436213],[23727289.066496633],[23581522.914545063],[50885243.16130218],[100491244.00951649],[1341141676.2174284],[4553206365.904483],[6588851915.76045],[100470380.2299326],[0.2929401901311472],[0.07492962584903272],[0.4634255719245265],[0.6910470024395708]
27,27,[[4958764]],[[31172608]],[7214096.328696104],[23365468.55231147],[23219876.69904951],[50598234.73402077],[99449183.6917335],[1330986803.1221201],[4518682789.712972],[6607066935.079426],[99431520.23461497],[0.3087503386694309],[0.07471838447868433],[0.4589068535910235],[0.6839166053731907]
28,28,[[4780465]],[[23111680]],[7654356.824564291],[22695484.43031648],[22550069.180996884],[48040283.6536776],[95485304.56815672],[1290157093.8431628],[4381220671.103028],[6566155048.179319],[95467437.56894343],[0.33726342559754535],[0.07401060306828366],[0.4693991680723688],[0.667242951004921]
29,29,[[4577576]],[[13027328]],[8094775.968466384],[22016155.0897816],[21870625.06945845],[47845699.83984673],[93986205.34582634],[1263093963.979589],[4288996323.8910213],[6594973743.743049],[93969263.18489756],[0.36767437072713155],[0.07440951190179634],[0.45710743374359036],[0.65034319931299]
30,30,[[4909000]],[[31272960]],[7201405.279136342],[23173485.05403438],[23032582.162741497],[49234345.096910514],[97564773.38345766],[1324652120.1568897],[4497441725.202943],[6586631141.203767],[97547535.47864166],[0.31076056373672706],[0.07365312892255987],[0.4678153455155191],[0.6828136613068323]
31,31,[[4909844]],[[31254528]],[7304634.487757312],[23179081.84622997],[23040669.68352256],[49336004.75938086],[97695245.01785645],[1323462442.389303],[4492397366.410489],[6611382085.605722],[97677877.3954882],[0.31513907825237675],[0.07381792024372302],[0.4670153125672697],[0.6794944397770204]
32,32,[[4874367]],[[31143936]],[7438407.596649567],[22680151.29074474],[22542931.603030235],[48559199.769163966],[96804409.48011595],[1304319380.0058908],[4427774903.334149],[6563995468.376183],[96786053.307056],[0.32796992847596274],[0.07421833253729523],[0.4642360605239099],[0.6745548385379223]
33,33,[[4668101]],[[23109632]],[7942272.70350742],[22374460.25795529],[22231048.061660044],[47697130.16972736],[94283179.62301697],[1287717419.006624],[4373095105.753698],[6614774861.169415],[94267074.9289059],[0.3549704713294045],[0.07321728993597777],[0.46608774956799703],[0.6611101961194468]
34,34,[[4487796]],[[13029376]],[8365138.628413652],[21671936.692045152],[21532436.534680575],[45885967.73556538],[90769115.918715],[1257234537.187941],[4269529399.141991],[6613532849.923299],[90748893.09116782],[0.3859894363517654],[0.07219744067939658],[0.469259723555774],[0.6455746869377851]
