,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,[[8125624]],[[31254528]],[686387.7252625258],[34958015.88294299],[34806107.448332325],[75667791.81066857],[147663563.2635499],[1737498287.9059846],[5885609026.785604],[6582398300.106067],[147637036.24505484],[0.019634630511093563],[0.08498630720466063],[0.45998576957845005],[0.8941435565652058]
1,[[8058088]],[[31250432]],[817541.4799858654],[34844471.23426893],[34697836.88917404],[76449800.82164556],[148791138.04998004],[1729990781.1276934],[5860006306.345867],[6606355041.420158],[148764243.91593993],[0.023462588210603336],[0.08600689649513082],[0.45386432032861346],[0.8870256396462383]
2,[[7884044]],[[31143936]],[1228419.039098406],[33903756.80216169],[33749999.77572423],[77425934.88378182],[148027782.5235058],[1703665363.2305224],[5772220551.47526],[6602341932.647326],[148000620.5264239],[0.0362325345319868],[0.08688782769100425],[0.43590044894367486],[0.8742686474526147]
3,[[7561156]],[[23117824]],[1790522.7939793186],[32895242.145968206],[32749596.913790334],[70988341.27490185],[139205053.32263315],[1655354765.7001345],[5608566197.671561],[6568612864.223306],[139179915.6605549],[0.05443105680858389],[0.08409378835705722],[0.4613376834227997],[0.8538433172427092]
4,[[6980760]],[[13012992]],[2233878.8399377153],[31690086.926112402],[31552209.22632035],[70555018.80181906],[136258153.13503426],[1614591647.1249475],[5469062498.470513],[6580671435.406298],[136233922.721144],[0.070491407775124],[0.08439171190911637],[0.44720006828921527],[0.8310797085302053]
5,[[7881740]],[[31287296]],[1086748.9557813301],[35245400.676572956],[35099460.165025614],[73937256.49730822],[144691042.18400943],[1711476978.7890043],[5798323528.054263],[6606967571.04555],[144665380.4252889],[0.030833780718051942],[0.0845416233915042],[0.47471953691307783],[0.8776073842809373]
6,[[7802879]],[[31240192]],[1259515.6988043718],[34735498.1620253],[34591742.521205194],[74886215.32682112],[145252006.19536865],[1690996071.4703908],[5728085683.234388],[6577611788.501918],[145226652.1958439],[0.03626018814900261],[0.08589730552659773],[0.46192403194952053],[0.8708458126469922]
7,[[7543636]],[[31186944]],[1807426.3430375848],[33594765.597129375],[33441148.43305118],[73224745.91066672],[141859309.17312583],[1661794091.3165472],[5631377540.569644],[6592618764.6643715],[141833455.22412676],[0.0538008320912954],[0.08536515439210557],[0.45669190131228266],[0.8541943257439877]
8,[[7182806]],[[23107584]],[2459771.423362509],[32547908.512725458],[32397052.762318086],[68890066.65929933],[134905725.46672064],[1618780037.8813076],[5487114596.858974],[6613638082.323396],[134881006.3018171],[0.0755738705115506],[0.08333789786738909],[0.47027175808291766],[0.8296665962905746]
9,[[6580769]],[[13017088]],[3508243.0032350635],[30214188.69423702],[30070773.04079225],[63952203.6056724],[125487654.65731923],[1532211286.332991],[5193835904.702488],[6575778258.787422],[125464885.44562429],[0.11611243441741717],[0.08189970650695715],[0.4702069881158098],[0.7898435288266905]
