,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,0,"[[5179261, 5228172]]","[[23306240, 23242752]]",[13013488.963426845],[40472895.52334708],[40381630.088856295],[79479108.53594369],[145069185.12108183],[1869212609.3294027],[6257605465.014834],[8279759388.697602],[0.3215359018709181],[0.07760978306963526],[0.5080785483470046],[0.75577141451198]
1,1,"[[1593651, 5127720]]","[[26255360, 26148864]]",[10992321.399389012],[25931183.457470894],[25866512.68114011],[52409013.9122464],[100707221.91773681],[3499808136.665444],[11772101218.639776],[8230236988.304973],[0.42390357607153767],[0.028775069370999547],[0.49355083696959023],[1.4303477816456236]
2,2,"[[3206990, 5021794]]","[[26046464, 26015744]]",[11665225.846271453],[31454309.21024128],[31386357.161383133],[63666580.32080547],[120124857.70670256],[3102369544.0561767],[10424559244.96844],[8279226617.245562],[0.3708625666614019],[0.03872035745607725],[0.49298010044253077],[1.2591223464344081]
3,3,"[[4930027, 5057012]]","[[25909248, 25860096]]",[11701091.717847578],[37310897.26320228],[37241513.884135656],[75317480.68066716],[141089172.4512137],[2724513785.8203173],[9141647069.330986],[8322988787.762121],[0.3136105689258707],[0.05178508296985309],[0.4944604300034026],[1.098361093886441]
4,4,"[[6709017, 5005430]]","[[25749504, 25690112]]",[11033322.373924186],[43299050.991183266],[43232455.56395785],[89403285.5467648],[165285270.07075623],[2326289278.495648],[7788032631.254588],[8296604622.122617],[0.25481672510953735],[0.07105103892222811],[0.4835667425370396],[0.9387011899407695]
5,5,"[[7320811, 5012450]]","[[25552896, 25503744]]",[11965740.386032598],[44918538.82278674],[44846269.38755467],[91982284.87890382],[169126798.73086905],[2090039958.5820277],[6989596408.242747],[8258087471.549519],[0.2663875695787881],[0.08092036615683267],[0.487553331020158],[0.8463940872899526]
6,6,"[[7221186, 4909171]]","[[25434112, 25387008]]",[12288845.843129925],[44259476.7915217],[44183082.33986754],[90474191.61767703],[165526165.71307123],[2054967262.205349],[6872638757.652145],[8174797268.815668],[0.277654566524021],[0.0805492957271893],[0.48835012007153383],[0.8407106050041319]
7,7,"[[7167391, 4934942]]","[[25280512, 25200640]]",[12497973.71523487],[44409336.26676209],[44333051.17197614],[90633714.28493062],[165967351.59064397],[2058445598.1027775],[6884769493.224451],[8210341806.265914],[0.28142671712454537],[0.08062751415126652],[0.4891452537474486],[0.8385484618886608]
8,8,"[[7137657, 4959076]]","[[25044992, 25065472]]",[12742961.678838132],[44477669.35093282],[44401593.07685519],[89542767.52824965],[164601477.2415919],[2058104867.4948728],[6883705769.5738735],[8239117910.9803],[0.2865024598814973],[0.07997720613816194],[0.4958702338840156],[0.8354906245970743]
9,9,"[[7129252, 4920819]]","[[24967168, 24932352]]",[12692408.730013143],[44573982.02012695],[44497799.46509235],[90798844.79043628],[166115302.01796237],[2062813826.763161],[6899931492.801659],[8270690658.538416],[0.2847492675050214],[0.08052849940346782],[0.490070105713275],[0.834263035297829]
10,10,"[[7116208, 4946284]]","[[24750080, 24678400]]",[12870871.963481717],[44492687.619080596],[44412459.22571575],[89500091.6853789],[164518546.6913952],[2058217696.0546975],[6884258785.617275],[8255106420.935211],[0.2892806133375065],[0.07993252949226566],[0.49622808635592885],[0.8339394351305487]
11,11,"[[7103333, 4943800]]","[[24623104, 24602624]]",[12791028.589544524],[44651559.88475696],[44574323.385904714],[89890589.03887957],[165296074.23541287],[2065201441.8261657],[6907662289.381459],[8277672384.303977],[0.28646319686383664],[0.08003871723489062],[0.49587308151496684],[0.8344933175272418]
12,12,"[[7059236, 4900720]]","[[24487936, 24453120]]",[13069545.809057303],[44170076.81626479],[44091610.41972865],[89380888.4256979],[163192084.27439523],[2043145063.4214041],[6834245257.740016],[8266954788.664344],[0.2958913986820301],[0.07987297974873966],[0.4933002031679501],[0.8266944034956063]
13,13,"[[7083093, 4817722]]","[[24377344, 24324096]]",[13267001.41263015],[44380836.04224467],[44298243.185618065],[89943527.22311246],[163796032.83978024],[2039065187.352406],[6821074995.19389],[8243899692.609811],[0.29893536480479377],[0.08032898303386699],[0.49251174101425393],[0.8274087809812384]
14,14,"[[7091648, 4838640]]","[[24137728, 24166400]]",[13215345.260487117],[43825183.06713711],[43742916.65128762],[88110489.5429177],[160743111.71766642],[2014978776.7811382],[6740757171.629441],[8160280803.982597],[0.3015468353033947],[0.07977409666539922],[0.4964552674512256],[0.826044756736758]
