,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,0,"[[3951354], [3853441], [3902550], [3839462], [3927534]]","[[32954368], [32995328], [32987136], [32970752], [32989184]]","[5995301.775336523, 6273635.063366035, 6234420.920750989, 6065572.980735265, 6094062.134362652]","[9960751.810553746, 9755349.67602739, 10032391.534362704, 9905369.65317383, 9915519.711750159]","[9893687.80923565, 9682433.206748594, 9964511.310580742, 9836657.569453688, 9846566.307477167]","[26991234.49485627, 26730451.57264113, 27913474.057573292, 27786300.548210397, 27070389.7242102]","[70830634.4090391, 69501290.48887613, 71895755.58101591, 71384878.69571468, 71264746.23738088]","[1179980609.020666, 1131636248.2376416, 1168657922.063483, 1165306766.0200732, 1156370519.479681]","[3825040591.499171, 3670623053.9029183, 3789000234.727316, 3778168065.4876, 3749538339.173309]","[5510183558.44075, 5418202288.251832, 5538289811.910356, 5506661432.242629, 5486811282.920603]","[0.6018924966069631, 0.6430968926498603, 0.6214291875867286, 0.6123520063475636, 0.6145983580811224]","[0.0600269477884264, 0.06141663506901114, 0.06151993172995446, 0.06125844350798615, 0.061627951454043525]","[0.36655188228315727, 0.3622248273822151, 0.35697854340983537, 0.3540110549220712, 0.3637393627425676]","[0.6941766187879167, 0.6774614269869268, 0.6841462551452058, 0.6861086543955023, 0.6833729366353289]"
1,1,"[[3942118], [3869030], [3825770], [3957706], [3922677]]","[[32980992], [32976896], [32972800], [32960512], [32942080]]","[6146133.362552286, 6194230.59700659, 6184561.037858888, 6218504.492969585, 6048501.469376771]","[9817031.249767464, 9861678.443125138, 9956350.001755651, 9978751.73320299, 9938066.864300529]","[9745070.051435681, 9788718.127122682, 9882335.116882201, 9908279.613025263, 9870159.22033812]","[26269837.009733807, 26739121.050960783, 27521984.146411516, 26714941.10994291, 27350713.700839546]","[69627735.48928191, 70589527.48418418, 71930569.45858623, 70304099.20505054, 71344389.84622763]","[1143919953.920787, 1155460719.4755588, 1171895299.906258, 1153576352.1526139, 1168687652.3754573]","[3710303196.3887763, 3746836993.5969296, 3799505298.7967024, 3740128492.468752, 3788197647.2031913]","[5455517565.392619, 5499263603.6884775, 5542878051.236096, 5487464009.183007, 5523216672.025095]","[0.6260684321136158, 0.6281111914904067, 0.6211674998135194, 0.6231745872861357, 0.6086195184602919]","[0.06086766407966987, 0.06109210490186408, 0.061379689349671494, 0.06094446984272921, 0.06104658477499448]","[0.3709604306956615, 0.3660822698123413, 0.35907059114307066, 0.370889068115428, 0.3608739182566614]","[0.6801010448440845, 0.6813343137586355, 0.6854751743905657, 0.6815768606791456, 0.6858680135418702]"
2,2,"[[3743970], [3729842], [3779493], [3738414], [3732664]]","[[32880640], [32833536], [32837632], [32872448], [32919552]]","[6802524.210348705, 6796512.1414878, 6695504.25493875, 6772550.371928204, 6794318.924999982]","[9945380.331249269, 9553091.055439956, 9835634.482029624, 9746525.076491382, 9805459.462975325]","[9865466.305720026, 9478142.586592775, 9755833.036976935, 9662966.295181232, 9725031.560058573]","[25647277.555778123, 25417283.679246724, 25813707.81175374, 25146113.678441223, 27287595.002957497]","[67640756.42192873, 67139004.20187198, 67979987.98924188, 66658706.71910716, 69829529.76896945]","[1129364494.1863668, 1093711137.0899396, 1119773428.9876854, 1104798487.1581004, 1116029229.8888383]","[3664341178.877635, 3547646464.7641935, 3633291512.730448, 3586481742.374291, 3621178306.2148285]","[5518009194.423248, 5418887460.999367, 5507685496.608134, 5449169388.330649, 5497681408.712432]","[0.683988342705665, 0.7114463896601888, 0.6807394344688076, 0.6948682036702081, 0.692911836579899]","[0.05989275983982432, 0.061386413583124105, 0.060708698946980895, 0.060335624545047074, 0.06256962443172281]","[0.3846593964706175, 0.37290147547637836, 0.37793226405603064, 0.38427275159682756, 0.35639020437691743]","[0.6640694224614532, 0.6546817017879029, 0.6596766491056874, 0.6581703534587696, 0.6586737275237846]"
3,3,"[[3628627], [3633499], [3595910], [3624794], [3626225]]","[[23099392], [23070720], [23080960], [23080960], [23074816]]","[6844067.749242762, 6822683.003067075, 6846594.801355087, 6827488.788270829, 6812848.617320262]","[9702196.593244672, 9771694.386070523, 9711146.575331436, 9734909.161830364, 9716427.587873852]","[9620734.805976454, 9692533.320206504, 9629257.560174858, 9653196.756731559, 9632661.315951275]","[24964049.043153003, 24731192.71375612, 25530569.70524566, 25721832.146709632, 25490043.435262654]","[65980427.85071566, 65560157.41881013, 66549167.48751923, 66771001.75651287, 66609899.06523475]","[1091790277.603254, 1096806786.0429087, 1093141812.1512842, 1095324951.0140996, 1095882366.6959264]","[3543324165.5946827, 3559253176.5513573, 3547951153.4578524, 3554643391.589509, 3556688134.230382]","[5498883237.156591, 5504999665.298276, 5498726590.042047, 5500534456.991757, 5501864810.571176]","[0.7054142516559669, 0.6982087991610502, 0.7050243499307306, 0.7013407803578436, 0.7011680533514941]","[0.06043324364048999, 0.059773661371425285, 0.06087880524536118, 0.060959993374288944, 0.06078197906045599]","[0.38538358858957517, 0.3919153205585297, 0.37716579266918493, 0.37529195827391354, 0.3778989761400545]","[0.6443715956090922, 0.6465492085290631, 0.6452314177400703, 0.6462360011346141, 0.6464513863366165]"
4,4,"[[4829035], [4962022], [4849510], [4876998], [4787918]]","[[32962560], [33019904], [32897024], [32933888], [32933888]]","[7532421.489345093, 7544965.54708672, 7175472.566496056, 7232689.983246017, 7762745.207340368]","[11810467.039565513, 11888582.455201399, 11139975.614296524, 11753324.179032132, 11867377.365048233]","[11741417.470839811, 11817286.17335694, 11076294.923769135, 11685328.590406403, 11794048.795851085]","[31727363.2272136, 33278276.586297672, 31896021.16936296, 32735736.913759474, 31146331.232697513]","[78048134.20867608, 79978624.7322591, 76853655.25626257, 78741283.66654925, 77152635.5100129]","[1283732896.9506733, 1289365093.2403834, 1228248789.4464793, 1287019036.1286614, 1269846586.9874058]","[4146911188.8837514, 4165812908.5249014, 3965113571.962544, 4156994899.2071786, 4102792754.7200246]","[5488264745.440104, 5504317783.496397, 5254835414.877266, 5471712471.690635, 5488647376.154387]","[0.6377750739332488, 0.6346396280227427, 0.644119234631662, 0.6153739889306463, 0.6541247462310572]","[0.06079779866518061, 0.0620294633006233, 0.06257173295558249, 0.06118113365549133, 0.060757446057362274]","[0.37007227441985513, 0.35510511317231813, 0.3472625900564749, 0.3569593872650788, 0.37866574742740994]","[0.7555960547145965, 0.7568263811030794, 0.7545647501607156, 0.759724660371776, 0.7475052546725347]"
5,5,"[[4755995], [4816766], [4802862], [4810218], [4775010]]","[[32956416], [32966656], [32933888], [32948224], [32991232]]","[7962058.281472825, 7556592.182858493, 8048231.96139932, 8127658.230071799, 7765207.402442603]","[11761088.753125742, 11862809.874625336, 11803612.536863044, 11542530.087562528, 11827381.165581413]","[11676240.870136943, 11792325.86912129, 11723092.050863316, 11480001.168243708, 11753987.186855935]","[30790083.141000338, 31928928.36577795, 31339765.788219705, 31578546.505274232, 31361178.040819447]","[75918256.69007841, 78349050.9255949, 77145280.48292288, 77743260.79205836, 76936086.07445642]","[1243346001.3384635, 1288904563.273994, 1251125980.4847376, 1236423987.789327, 1263560846.820648]","[4018780750.0174084, 4163020761.739983, 4043950701.2661285, 3991781873.713518, 4083467231.1070137]","[5441465943.591693, 5520379287.877456, 5505575239.576349, 5444366657.706451, 5473597316.930482]","[0.6769830964294654, 0.6369985073285307, 0.681844811176616, 0.7041487584103965, 0.65654495223676]","[0.06105963795142487, 0.06078731750827042, 0.06166068140718621, 0.0628775093008831, 0.06088831121037171]","[0.3792208295335442, 0.3693304621448096, 0.3740644435597507, 0.3635379850787725, 0.3747941857144857]","[0.7385474413839247, 0.7541186111761957, 0.7345191965040347, 0.7331949012036483, 0.7460298949059274]"
6,6,"[[4639047], [4680314], [4639639], [4625574], [4665565]]","[[32845824], [32913408], [32854016], [32833536], [32868352]]","[8223411.016986549, 8125232.63279837, 8320944.1854462, 8252445.419410361, 8166642.312145242]","[11758006.777687928, 11723830.83334528, 11840344.01068105, 11728248.975736812, 11811786.37412073]","[11674745.702087447, 11640947.116836503, 11757173.842865061, 11643972.708979769, 11730818.797100311]","[31477805.637826007, 32379439.12986271, 30553435.49896939, 29973230.703338318, 30874614.20682954]","[76594699.28484486, 77524025.36406629, 75178434.36259918, 74499476.63362841, 75982123.41258039]","[1238966500.3343275, 1241408007.3884227, 1233735179.3607893, 1227411002.2007942, 1246747397.1015942]","[4005525457.499272, 4012713216.3975434, 3988831570.7804127, 3968574653.258472, 4029863443.320548]","[5504271306.465231, 5500821197.974427, 5488081643.010799, 5474994819.202928, 5512474486.465862]","[0.6993881847892237, 0.6930527016551906, 0.702762029375157, 0.7036383211579895, 0.6913977321870729]","[0.06182144494155108, 0.062448465695944144, 0.060935633205782366, 0.060696438682762366, 0.06094428076547153]","[0.3708881691568179, 0.35951663863443395, 0.38480693417477213, 0.3884790673460136, 0.37995029568678546]","[0.7277122137483384, 0.7294753041373438, 0.7268170975299325, 0.7248545038506965, 0.7310443709471315]"
7,7,"[[4493473], [4506796], [4491878], [4463222], [4486690]]","[[23085056], [23076864], [23068672], [23078912], [23068672]]","[8415904.113261973, 8292074.965790383, 8283020.112662788, 8317765.603880982, 8278558.06170933]","[11751662.28038405, 11582539.71299763, 11593785.060038604, 11620214.376047533, 11624756.70930091]","[11669361.33073398, 11498770.770773357, 11511728.181885945, 11535425.36840336, 11541787.872770038]","[29632637.1077867, 29622112.77348374, 30037433.109511886, 29971551.742832072, 29947167.216367263]","[73509972.19397612, 73463165.31066814, 73796560.00012574, 73465217.79961176, 74067353.69649635]","[1212859173.3972576, 1205280896.1473403, 1204677636.4614353, 1200729169.772545, 1211915407.0588226]","[3922007585.8627987, 3898214832.809056, 3895461858.9342184, 3883258551.4252267, 3919711825.021511]","[5520717281.155714, 5485906522.420334, 5488049217.6149235, 5485086292.611798, 5518557706.938508]","[0.7161458449422814, 0.7159116369344478, 0.7144362319785156, 0.7158013901211833, 0.7121489308318769]","[0.06060882731180762, 0.060951074181538833, 0.06125834643771786, 0.06118383699592168, 0.061115943625346905]","[0.3938009731731763, 0.3881819929153228, 0.3832460696596791, 0.3848791503150032, 0.3854049963851677]","[0.7104163075421533, 0.7105871776847553, 0.7098081129504092, 0.7079667199868538, 0.7102783069738021]"
8,8,"[[5599602], [5544417], [5581406], [5587838], [5516085]]","[[32958464], [32942080], [32972800], [33011712], [33019904]]","[9841933.27165282, 9945904.251456365, 9634457.96582176, 9773882.426930178, 9581151.407893091]","[14190596.311383983, 14128474.319754884, 14153697.599799573, 14070262.617791312, 14051959.043455236]","[14110517.474863704, 14046240.409301493, 14076479.401220182, 13992998.519785622, 13975529.388319772]","[35887857.34483427, 35729947.38605729, 36985786.07661264, 35741089.57952609, 36347232.324689046]","[83889700.02817981, 83122737.17629027, 85526140.27917008, 82901194.24006188, 84668824.96831775]","[1371029719.1368666, 1354989228.158594, 1381853983.776452, 1354719618.1350346, 1378026167.972582]","[4419973830.104024, 4368688645.783595, 4453888858.316713, 4368335395.489685, 4441543273.114908]","[5522450909.240304, 5481543938.20241, 5518822433.754318, 5453101400.156614, 5506504375.399711]","[0.6935531852003585, 0.7039616611363114, 0.6807025441859229, 0.6946481876302348, 0.6818374134356416]","[0.06118736804698346, 0.061345681167703885, 0.06189231372003338, 0.06119435573996281, 0.061442102433284386]","[0.39318361470512214, 0.3931223367763112, 0.3805915973250388, 0.3915101269828485, 0.3845005106159574]","[0.8003645306667031, 0.7969814152791852, 0.807036086371571, 0.8010735680367553, 0.8065994268446398]"
9,9,"[[5487602], [5475286], [5558770], [5587613], [5525093]]","[[32962560], [32948224], [32976896], [32966656], [32925696]]","[9872358.325855097, 9982659.726772124, 10047958.569789065, 9988199.868278049, 9937990.633177893]","[14100662.086805811, 14069944.620918797, 14126634.92998679, 14172166.457292315, 14073645.545566931]","[14020527.130588926, 13986705.762808368, 14043207.54408647, 14090124.900227638, 13985945.02804856]","[35591336.92425182, 35347871.419990726, 35642667.94371288, 36044493.51466717, 36002649.447735704]","[82869825.63922445, 82256540.19653574, 82955209.37349243, 83894672.95103244, 83132375.51426606]","[1353990433.662139, 1343046964.1244361, 1347744385.0625138, 1355514050.9048824, 1346908504.9532566]","[4364742208.1057415, 4330245064.28448, 4345360904.050691, 4370335007.24782, 4342160731.00102]","[5483397450.534878, 5465633621.062296, 5490607366.569747, 5501320093.508003, 5470511230.055194]","[0.7001343812850321, 0.7095024177941814, 0.7112775703193217, 0.7047757940451371, 0.7061418877575945]","[0.06120414412019616, 0.06124621282336222, 0.06155114448474934, 0.06189140783529909, 0.06172087800214099]","[0.3939308928020455, 0.395687355445632, 0.3939998982753925, 0.39090922152905566, 0.388469883260999]","[0.795992310876532, 0.7922677157864192, 0.7914171627911271, 0.7944156916819227, 0.793739478523511]"
