,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,0,[[6443413]],[[31594496]],[9880784.258198561],[15867259.638480708],[15781826.043248668],[40086897.464556634],[92603897.50948183],[1477288803.7843616],[4750995447.211967],[5494161957.931832],[0.6227152314465214],[0.06268503306344636],[0.39369038367716985],[0.864735237801469]
1,1,[[5814210]],[[31606784]],[8933031.277532844],[14533525.05104344],[14449419.680302469],[36597205.57242541],[85153733.00511609],[1486369402.7842002],[4779904268.765181],[5513866622.633059],[0.6146500072184136],[0.05728975101721682],[0.3948230323680656],[0.8668879020658309]
2,2,[[5420190]],[[31590400]],[8276744.528299067],[13383900.7521138],[13302578.53004251],[34233113.515566885],[80450224.60186163],[1484924963.169113],[4772471766.13448],[5433124597.13555],[0.6184104829820911],[0.0541779730271121],[0.38858804134170866],[0.8784027829309532]
3,3,[[5161037]],[[31610880]],[7815177.796390441],[12860230.177947722],[12779625.298037916],[33157605.672383457],[78196020.3892745],[1533456798.894681],[4926192634.35745],[5469255008.477174],[0.6077012377112533],[0.05099329856937499],[0.38542063091973805],[0.9007063350898807]
4,4,[[4982278]],[[31608832]],[7557199.809158013],[12601576.461059956],[12523808.45555043],[33158822.181434486],[77718923.6512837],[1594037968.9410055],[5116253274.351378],[5522116391.817949],[0.5997027302504939],[0.048756005293221494],[0.37769159552845843],[0.9265022522763314]
5,5,[[4661065]],[[31571968]],[7292716.709299604],[11991732.947765963],[11912115.064655736],[30855877.460186534],[73189322.9774354],[1589310267.864957],[5101701556.493126],[5494723089.259645],[0.6081453565606816],[0.04605099737747007],[0.3860565974837691],[0.9284729136697087]
6,6,[[6452654]],[[31531008]],[9839667.171457486],[15826550.180811694],[15741526.441658134],[40544780.79015329],[92829598.15857759],[1471457694.539652],[4732506452.329116],[5493194618.37449],[0.6217190138750023],[0.06308682777836809],[0.3882503773575987],[0.8615217157060291]
7,7,[[5779029]],[[31598592]],[8796628.746805532],[14070236.159989037],[13984610.868334137],[35837988.34082601],[83499477.30231918],[1448885644.3475397],[4659615636.566096],[5401944514.732082],[0.6251941081003424],[0.05763013639349057],[0.39021751821943396],[0.8625811731050698]
8,8,[[5394946]],[[31612928]],[8487654.608909411],[13559136.15824072],[13475009.809874443],[34535674.800401084],[81257261.66830866],[1502718903.8787622],[4829587194.86567],[5525169781.787111],[0.6259731084528524],[0.05407349402377945],[0.3901765315938738],[0.8741065678715749]
9,9,[[5121269]],[[31580160]],[7954263.018087694],[12860392.825849498],[12775489.123175496],[33188931.1898178],[78306260.40531313],[1530405923.5859454],[4916783447.953566],[5502514010.552009],[0.6185085576934757],[0.05116698726690178],[0.3849322248465462],[0.8935521906032035]
10,10,[[4932321]],[[31582208]],[7800208.187401071],[12595006.604988176],[12514737.916380148],[34022514.125184886],[77766521.81128286],[1569136971.585274],[5036352900.542466],[5511554176.341636],[0.6193095749796468],[0.049560059586587005],[0.3678369526229755],[0.9137808936290652]
11,11,[[4619902]],[[31574016]],[7272966.079508162],[11917512.192103438],[11838211.523809591],[32515834.082716834],[74534172.43920548],[1584027123.3267128],[5083646956.881696],[5506403207.12794],[0.6102755308551092],[0.047053596079006325],[0.36407528386614463],[0.9232246106316744]
12,12,[[6321303]],[[31563776]],[10209273.224031154],[15806518.210185628],[15718250.063580016],[39843608.37990742],[91527939.50963606],[1450783351.844425],[4665486735.266337],[5515485730.61511],[0.6458900744790436],[0.06308863373244103],[0.3944986586984554],[0.8458886421134885]
13,13,[[5689548]],[[31488000]],[9285825.2852169],[14414402.307700142],[14328678.568173911],[36416553.123529084],[84345618.65521681],[1460909060.6950276],[4697970596.252736],[5522590507.64565],[0.6442046702315525],[0.05773502329781525],[0.3934660844910117],[0.8506824088711116]
14,14,[[5366022]],[[31471616]],[8661791.895877028],[13338267.951806381],[13257501.297597984],[34120703.73459879],[80545813.30097197],[1472805039.1032233],[4732677968.464298],[5480363259.795411],[0.6493940537987148],[0.05468871382326036],[0.3885471237849858],[0.8635701219267307]
15,15,[[5128754]],[[31483904]],[8091293.814857104],[12777840.91739205],[12694302.947202591],[33250024.563427474],[77957400.91574337],[1503926764.479575],[4830957597.279297],[5468865307.163255],[0.6332285608473933],[0.05183590235706728],[0.3817832652420164],[0.8833564781622231]
16,16,[[4900197]],[[31508480]],[7999402.377895409],[12562251.077592513],[12480446.861148769],[32437822.862047404],[75704783.94598104],[1546649665.0067673],[4965959780.884628],[5480719139.350409],[0.6367809661250976],[0.048947596639895695],[0.38474983090653175],[0.906078135847189]
17,17,[[4609605]],[[31500288]],[7398132.009043642],[11790202.437155059],[11710781.264374292],[30499231.514992807],[72253469.68409674],[1562366595.8518],[5013997145.640827],[5476525856.76125],[0.6274813387198117],[0.046246169033525866],[0.383969716044075],[0.9155434077702034]
18,18,[[6213782]],[[23064576]],[10053014.864137113],[15431319.805103263],[15345304.201838229],[38531092.395296596],[88857156.1137645],[1413920269.1876605],[4547264794.245249],[5456588556.20685],[0.651468247117301],[0.06284453094714852],[0.39825769911759357],[0.8333530643560713]
19,19,[[5622190]],[[23078912]],[9155929.543811558],[14135533.268245138],[14051792.782215724],[36174333.522445455],[83180905.86331327],[1427592423.5490122],[4590602624.471242],[5477335672.632151],[0.6477243815328818],[0.0582665643857401],[0.3884464871618676],[0.8381086898523445]
20,20,[[5229172]],[[23062528]],[7995604.515043222],[12335818.865546653],[12256918.817698961],[31559363.28040296],[73958540.7686895],[1354006370.484037],[4351927314.600789],[5101714116.679854],[0.6481616341963775],[0.05462200354511658],[0.388376619287183],[0.8530323759954195]
21,21,[[5006057]],[[23066624]],[8256509.209926112],[12752125.557071144],[12665389.03821526],[32597769.913582552],[76526858.63053237],[1487038040.4404204],[4777549614.760296],[5492499211.248072],[0.6474614112741244],[0.051462609932875145],[0.3885354449642261],[0.8698316433029917]
22,22,[[4807464]],[[23056384]],[8091363.970738908],[12386292.392919645],[12302155.419134896],[31280978.09988076],[73639261.03322281],[1512854939.695574],[4855987735.064407],[5451650935.373448],[0.6532514907660473],[0.04867569196557665],[0.39327911614061045],[0.8907370982899813]
