,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,0,[[4748477]],[[31569920]],[8144742.6954723755],[19763880.86464334],[19684304.63719378],[39290662.25535206],[77173076.17795277],[1203772335.181349],[4024406882.6767364],[5524366733.733058],[0.412102397866754],[0.06410936181410631],[0.5009919280378747],[0.7284829332750086]
1,1,[[2495090]],[[31574016]],[9752741.635158697],[17198667.402677402],[17123790.533669326],[29495669.88627906],[56220912.58863457],[1098724052.3368254],[3667386364.7275853],[5458718106.432994],[0.5670637966776682],[0.05116927445891524],[0.5805526912828332],[0.6718402183849064]
2,2,[[1683370]],[[31576064]],[10603000.770000182],[16531096.551832495],[16459442.413409822],[25755260.241811723],[49780458.4422377],[1072850376.105633],[3578717399.997821],[5484840302.947881],[0.6413973045741376],[0.046400187342933184],[0.6390710968895262],[0.6524743114351761]
3,3,[[1246805]],[[31612928]],[10983431.808207603],[15359395.98432892],[15282243.77671364],[23266036.71416506],[45124822.071512535],[1015460257.1610504],[3388000572.34875],[5398221888.774597],[0.7150952953758024],[0.044437802221496306],[0.6568477461143758],[0.6276141741031379]
4,4,[[1000378]],[[31571968]],[11463375.710410444],[15452322.482929442],[15373809.106291959],[23188507.260820128],[44841433.09631964],[1035270592.8519158],[3453028962.883528],[5514962078.840713],[0.7418545479538312],[0.043313732086982706],[0.6629926167031858],[0.6261201642948344]
5,5,[[828017]],[[31588352]],[11537348.314608024],[15217916.022705674],[15146410.31749376],[22266923.804110333],[43118892.74741621],[1034980518.1968839],[3450947087.762938],[5511900905.063338],[0.7581424616480922],[0.04166155013481493],[0.6802201530279557],[0.6260901905171828]
6,6,[[4732466]],[[31528960]],[8323481.828834032],[19640306.483926468],[19557569.674620662],[39090097.15656267],[77127283.28123577],[1198225109.9359977],[4007333858.7438493],[5550769714.800972],[0.4237959237370318],[0.06436794108358776],[0.5003203137687067],[0.7219420124849363]
7,7,[[2473522]],[[31610880]],[9771046.283974525],[17076486.84571471],[17003611.5440523],[29153081.691980105],[55561836.33351527],[1089805126.0557244],[3637860397.9865346],[5452585563.810954],[0.5721930027092509],[0.05098327673921609],[0.5832526291287389],[0.6671807998999908]
8,8,[[1675986]],[[31565824]],[10666683.146309078],[16501557.23918242],[16426631.566164758],[25939146.621180933],[50199431.83145611],[1068783642.5672731],[3565787702.088182],[5508263277.663171],[0.646404638768357],[0.04696875011192583],[0.6332757128081996],[0.6473524452885147]
9,9,[[1248953]],[[31606784]],[11128899.303749025],[15759915.145167572],[15687651.146832542],[23796572.732954558],[45695065.211938895],[1043487517.7977811],[3480238174.564821],[5510637477.362657],[0.706152235036713],[0.043790715684242816],[0.659239938577692],[0.631549106407637]
