,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,[[4474647]],[[23085056]],[691300.0359182463],[7721745.205862016],[8965387.718732152],[20987801.359067183],[21095950.29788642],[47204048.919223405],[87922455.3653597],[1333647843.7022595],[4542797093.772772],[6570369088.031322],[84868501.48294277],[42482908.39279991],[19488591.90364376],[7245901.1403641505],[0.42717136327664507],[0.06592629064752466],[0.44690976263468984],[0.6914066824720694]
1,[[2445973]],[[23091200]],[780377.4657369008],[5249197.172951784],[11347977.464692075],[19856306.050941728],[19597999.544240456],[38316844.78034051],[66895149.00890066],[1248632890.2512298],[4247286161.101923],[6589059376.008745],[65236405.99298001],[34254017.40232124],[17864688.21917954],[8844124.94958913],[0.5715049634901187],[0.05357471321730208],[0.5114721646991075],[0.6445967350919021]
2,[[1631724]],[[23085056]],[767229.8190100264],[4087050.610254405],[12256108.062877752],[18789535.734682754],[18520930.155265007],[33800249.84409187],[59341635.03542415],[1182252713.0660563],[4018415992.0041327],[6510776045.887432],[58564771.57984967],[30517536.061161485],[16423317.27299383],[9464212.450769132],[0.6522837091847222],[0.05019369748920047],[0.5479524630940674],[0.6171946268283007]
3,[[1223882]],[[23111680]],[776433.179409274],[3545149.840000266],[12863392.011426719],[17722079.679336764],[17593240.615068603],[31770590.255546346],[54750114.342172965],[1149749613.6462255],[3919001531.162405],[6461628569.464085],[54015107.857331485],[28804465.349029858],[15833791.211510783],[9930561.523450876],[0.7258398700478094],[0.047619163070246884],[0.5537586954966084],[0.6065036838673381]
4,[[969588]],[[23097344]],[773092.5021287028],[3250469.0170418695],[13181360.213730399],[17026827.95537256],[16898049.85380002],[28804826.07809528],[51423014.09728886],[1135706197.6084023],[3864033088.627108],[6513372056.518],[50791851.34156992],[26103879.580105916],[15375118.106613372],[10227058.039839387],[0.7741524286425422],[0.04527844807537081],[0.5866395376936574],[0.5932461795669003]
5,[[803733]],[[23091200]],[679156.314688903],[3092433.430661086],[13244386.404013436],[16916327.028477646],[16985412.544385724],[28074119.315417953],[49832904.72094608],[1146903641.6640446],[3904706878.383547],[6579990964.784051],[49165177.9677858],[25341040.873718396],[15395038.426203562],[10386585.614828674],[0.7829351124341168],[0.04344994898494125],[0.6050203161691896],[0.5934213130810424]
6,[[4188781]],[[14182400]],[945068.1424228944],[7266982.273785876],[9395846.11156495],[20226824.87439059],[20068664.297284503],[44575076.13904678],[83386102.08081834],[1272170517.2719364],[4333283954.022052],[6530615831.2048855],[80762938.67102352],[40032192.36542719],[18205910.497142244],[7503934.283092075],[0.464524025392692],[0.0655463249216252],[0.45022164930650105],[0.6635337410779175]
7,[[2362521]],[[14192640]],[990169.4470266046],[5088235.21807437],[11227363.903141484],[18985448.293172877],[18952176.729817297],[37764427.03727739],[65764379.98737869],[1218257593.681924],[4152528792.795232],[6563318798.139582],[63987747.7388913],[34012083.84539514],[17464337.48121241],[9022835.267398898],[0.5913668052378209],[0.053982327160071175],[0.5018526220749898],[0.6326873523151573]
8,[[1611217]],[[14190592]],[968402.1175573315],[4122567.202312884],[12347917.3753172],[18372737.25068162],[18131607.199317344],[32181087.730294846],[57185523.26773041],[1174403002.6841083],[3998614202.7978096],[6546024528.110371],[55941804.22994003],[28910806.02870456],[16485676.967718253],[9683762.747290585],[0.6720782650314719],[0.04869327065499015],[0.5634243115483163],[0.6108461991895534]
9,[[1198544]],[[14192640]],[1005603.1934465796],[3576035.1533841603],[12819373.827861667],[17198921.11192902],[17156093.794185266],[30473532.54196264],[54071204.09795176],[1149074600.6727529],[3912868851.815181],[6561628654.72195],[52661482.11086813],[27596318.91348665],[16059658.209258847],[10394495.006832464],[0.7453591852904227],[0.04705630432201225],[0.5629834273581835],[0.5963258601962121]
10,[[960813]],[[14200832]],[897818.3342584713],[3304605.5393887954],[13287295.702857472],[17423249.924758118],[17157406.727821928],[29625273.968058426],[52417678.50117332],[1146221262.0027676],[3904128536.635236],[6578183171.322249],[51730554.95353878],[26737172.911175225],[15520477.90475554],[10466164.527023038],[0.7626186710423335],[0.04573085514884364],[0.5791476138354303],[0.5934964769079979]
11,[[795881]],[[14194688]],[856255.0206114595],[3076472.7389213154],[13416262.495135408],[16674287.193619326],[16743718.53024694],[28179793.781996805],[49523352.32027152],[1136697680.6321425],[3871652356.367414],[6574000138.768886],[48880557.68764526],[25331264.23686309],[15358955.241657155],[10582764.543289935],[0.8046078575562348],[0.043567742913604345],[0.5941746295157058],[0.5889340241316848]
12,[[4195633]],[[13029376]],[976326.6652245454],[7253077.8557476215],[9328990.960166551],[19830329.17460681],[19812577.916653316],[44572908.70685938],[83196886.71202914],[1263076800.655736],[4300407376.084565],[6517707868.70746],[80503224.04801027],[40219557.76273936],[18133867.15562121],[7509293.096114213],[0.4704405498277122],[0.06586843069941341],[0.4444982051082597],[0.6598036399777132]
13,[[2330505]],[[13031424]],[1050026.9905777688],[5044927.310782166],[11182401.782117248],[18852257.44179982],[18970263.529706165],[36424917.47209658],[63836493.40773279],[1203447812.8003814],[4090325505.561433],[6562035984.419393],[62223401.28924554],[32693491.309699308],[17270797.64097222],[9015873.258829411],[0.5931598280279832],[0.05304467109312159],[0.5208045713278114],[0.6233317700898502]
14,[[1604089]],[[13029376]],[969091.1762479478],[4094878.4362743874],[12276430.916252196],[18108687.388339553],[18032637.733030636],[33179105.361200184],[58363867.56381459],[1165794076.4243877],[3967522195.6917996],[6560235425.844523],[57214641.45271497],[29774020.522321906],[16501498.519724585],[9691158.2185409],[0.6779304680115671],[0.050063616503201555],[0.5434937903454773],[0.6047835082353078]
15,[[1206640]],[[13029376]],[950547.9687217948],[3594209.1491804817],[13061702.21969442],[17945447.273291297],[17795089.298714474],[30166464.42140221],[53090231.40542292],[1157712233.2813084],[3943144308.5886145],[6578327643.105458],[52231403.896565914],[27126581.19150074],[15999798.718402423],[10230323.563138535],[0.7278560417457252],[0.04585788236421158],[0.5898964177614857],[0.5994143986916344]
16,[[958697]],[[13045760]],[932301.4176389676],[3306755.0090649812],[13256723.014052445],[16931664.70301932],[16911680.215644076],[29169374.327750254],[51536472.044870056],[1144094686.1937773],[3900996714.0585995],[6584969635.571823],[50484184.917885415],[26372168.896371987],[15679878.259689068],[10569369.4346186],[0.7829544965940918],[0.045045635354118964],[0.5797752130581412],[0.5924092182575184]
17,[[793277]],[[13033472]],[850663.0098335323],[3073798.508561282],[13517965.953772692],[16879446.507495522],[16956572.012537897],[29181119.71876136],[50830804.55599899],[1138506143.889222],[3879885471.963764],[6591524180.160146],[50304082.4369042],[26332700.98183071],[15345216.103409097],[10605439.933496622],[0.8008536267921982],[0.04464693039104486],[0.5810802387283324],[0.5886173464464936]
18,[[4004609]],[[8753152]],[1047581.9224231223],[7053117.466190691],[9619712.780818732],[19229355.833890956],[19277826.31325732],[43258126.689348415],[80454690.81955259],[1251960300.4084983],[4264082192.885993],[6558373050.203574],[77882813.71173222],[39023602.143474154],[17602669.78509288],[7565835.518119124],[0.500261832165193],[0.06426297287006726],[0.44564635107058764],[0.6501737794183017]
19,[[2262256]],[[8757248]],[1225089.0248276272],[4983678.349035889],[11383447.091985334],[18375335.83244923],[18380742.82021097],[35872538.166955054],[63111440.45876638],[1188474279.131948],[4046133948.8702455],[6572905475.320003],[61386657.72547338],[32374855.69393578],[16954352.927204892],[9167066.674683038],[0.6194960024558117],[0.05310290812928864],[0.5123903620832407],[0.6155776869244052]
20,[[1574448]],[[8761344]],[1149626.428241627],[4067425.2647189815],[12441642.529927412],[17716957.739358302],[17759110.967497807],[31488347.314805128],[56095496.79079768],[1166286985.1653113],[3970684233.9676895],[6570627161.403234],[54779925.72273127],[28329448.735542137],[16246220.757100258],[9840843.463143548],[0.7022448612770716],[0.04809750730678575],[0.5639899353862838],[0.6043082549702461]
21,[[1187021]],[[8759296]],[1070260.9026540176],[3516128.9068771717],[13024869.496740175],[17352701.833850928],[17385544.71153966],[31274471.644939415],[53594366.50839949],[1140428526.7497866],[3883595916.807478],[6532611325.080688],[52825286.692335814],[28385086.46991383],[15689975.136677789],[10212890.810840823],[0.7505960525024294],[0.04699493677270864],[0.5559021079210734],[0.5944936448150785]
22,[[944120]],[[8765440]],[1066499.6789866393],[3255518.546236111],[13440632.232556934],[17260714.11827126],[17040278.03266535],[28856012.77483933],[50360951.21857955],[1125895246.3748739],[3827492447.414833],[6548177754.262803],[49923360.844232686],[25966546.020522106],[15219775.173250996],[10446907.695330493],[0.7786834391938283],[0.0447296952187429],[0.5905278101180848],[0.5845126065680136]
23,[[781513]],[[8761344]],[987685.0927579358],[3011006.810081495],[13636851.082267165],[16652183.855288278],[16492017.532833016],[27626611.3993262],[48369510.46497892],[1113717866.5494857],[3791207457.3962564],[6531235364.633517],[47900612.37713854],[24877850.076375157],[14934590.607193531],[10552599.542519784],[0.8189226831012002],[0.04343066760241268],[0.5969612883191041],[0.5804732559364731]
