,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,"[[5029744, 5191385]]","[[12883968, 12883968]]",[6282334.957974024],[23977897.97167854],[4466521.559062287],[16937834.83927823],[16908375.82690434],[67931011.02866077],[165772173.20895132],[3095323750.9172873],[10270960663.703726],[9690604411.466436],[163777706.68142778],[61179458.65413849],[15174136.05674557],[3172548.9662372223],[0.26370085677684046],[0.053555681585755084],[0.24890511080087602],[1.059888550558372]
1,"[[4752529, 4888017]]","[[12984320, 12982272]]",[6075612.01344497],[22927887.149409674],[4243978.041898926],[16538987.383238032],[16343857.424366463],[64336225.82242418],[158612949.7491607],[3224649762.641528],[10763203564.832312],[9836189618.028124],[156778835.75920823],[58614016.43189493],[14572197.386499224],[3156464.085302287],[0.25660446698206696],[0.04918765181469821],[0.2540381754670767],[1.0942452293828417]
2,"[[4483228, 4598741]]","[[12883968, 12886016]]",[5594934.15913689],[21541811.3276931],[3968562.8211603086],[15634156.34105331],[15440674.010232635],[59162806.495112136],[146773398.9403242],[3250599575.063741],[10942643235.4767],[9705738086.581907],[145055634.09378925],[53865331.51289463],[13680145.847350636],[2789005.354369803],[0.2538392692632455],[0.04515271584549017],[0.2609861655482537],[1.127440606562916]
3,"[[4832841, 4986573, 4968576]]","[[8644608, 8642560, 8640512]]",[10675466.169385195],[34358577.73857063],[7645454.128005534],[24569876.817825932],[24475949.572331194],[91985078.32919541],[227303963.47318497],[4204849640.5608006],[13916986983.60205],[13076304940.147259],[226148063.56601927],[84649928.9546828],[22216714.72034161],[5888983.070593428],[0.31117185424627797],[0.05405757230426662],[0.26608608718836846],[1.064290489347163]
4,"[[4527719, 4664628, 4642339]]","[[8654848, 8650752, 8646656]]",[10097865.620020067],[31794651.773247916],[7430267.007953466],[22491136.198287047],[22490295.150164735],[86161838.77083597],[212815347.6707252],[4247373505.980623],[14146988380.357296],[12875344437.60214],[211523108.08581275],[79236662.46624452],[20524961.269334782],[5759365.661265321],[0.33036423515675317],[0.0501051643730096],[0.26102385314665827],[1.098765819347042]
5,"[[4302636, 4421999, 4408864]]","[[8646656, 8648704, 8646656]]",[9644988.452322297],[30821053.600377675],[6828385.457743004],[22122007.97809638],[22133513.689351566],[84626794.57861282],[207257553.389055],[4437310990.702487],[14912784066.809126],[13110080505.024817],[206127711.36399072],[77781726.86022174],[19967051.84039418],[5324733.035907238],[0.3086693334756944],[0.04670791698470594],[0.26154262133597606],[1.1375051481257779]
6,"[[4539543, 4748688, 4784136, 4777652]]","[[6475776, 6475776, 6475776, 6475776]]",[15557679.142323533],[43391879.171995],[11637396.493544662],[31611282.436697442],[31403826.35245333],[114459005.6773681],[283113110.5551906],[5175799142.1882105],[17111487533.018719],[16370766232.61556],[282607360.52598095],[105710230.46358894],[28558550.198578738],[9514304.894407509],[0.36814060033309004],[0.05469940057130904],[0.2743674572970957],[1.0452465871101022]
7,"[[4383480, 4473095, 4502808, 4491668]]","[[6477824, 6477824, 6477824, 6477824]]",[14852625.786600044],[41061539.41764168],[11314072.94807312],[30006864.890191473],[30010848.009730943],[110163746.73315734],[270143632.0423199],[5354180472.020049],[17815864451.759842],[16322688635.786224],[269217338.7825818],[101393814.2565466],[27169759.60679472],[9200126.804312719],[0.37704948482543477],[0.05045471168819211],[0.2724203642276648],[1.0914785455565172]
8,"[[4165196, 4252556, 3767796, 4272720]]","[[6481920, 6481920, 6494208, 6496256]]",[13821218.246711412],[37984730.971406415],[10413866.55227825],[27533022.387403227],[27460113.618374724],[102278537.73422106],[251450245.03018266],[5361782543.364597],[18001177176.854023],[16353572483.351357],[250261396.9857207],[93880188.11774687],[25108300.89058737],[8586200.213887589],[0.3782318702883397],[0.04689676296950192],[0.26848363524449304],[1.1007489155767034]
9,"[[4539171, 4657464, 4088444, 4703407, 4705759]]","[[5173248, 5175296, 5173248, 5175296, 5173248]]",[19957838.283244524],[51387227.05264855],[14738269.787439682],[37390612.84756655],[37074043.21928586],[137360873.8098737],[338585470.47987473],[6084118695.898417],[20079743692.995617],[19640288999.1821],[337793610.9308632],[126682826.41208558],[34005940.78062885],[12565660.798775267],[0.39417031883174586],[0.05565070101412234],[0.2699024998239413],[1.0223751643283772]
10,"[[4260544, 4369323, 3843576, 4402455, 4413404]]","[[5185536, 5185536, 5179392, 5177344, 5177344]]",[19131298.832252067],[48541642.469747946],[14810282.178772727],[35750371.94356126],[35498513.20470549],[130200018.40776394],[319220902.45967567],[6270637399.007614],[20847968950.245033],[19650267128.681408],[318811697.77955604],[120226989.9869049],[32307061.71242382],[12287615.154727237],[0.41426931731377686],[0.050907249478369665],[0.27264599221123215],[1.060950918057265]
11,"[[4025987, 4120288, 4152663, 4157520, 4151580]]","[[5179392, 5179392, 5179392, 5179392, 5179392]]",[18652443.555804767],[47056869.04190113],[14693259.561246563],[34818127.57005652],[34727332.60177017],[126701367.05913767],[309877065.1698539],[6549118847.117188],[21972547273.66588],[19646922737.368816],[309460292.080477],[116526886.01564279],[31334000.685967665],[12017080.307400681],[0.42200027935685774],[0.047315840864035716],[0.2740880655657112],[1.118370931030012]
