,hotspot,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,1694894156,[[2807784]],[[8769536]],[1529228.9861052667],[8170945.708810173],[7080285.493993593],[13530737.661818273],[13451820.161582677],[32526240.993379995],[75651183.83429973],[1386633798.6081398],[4388888357.272298],[6575920401.099483],[73220053.38013504],[25897594.258726466],[10041672.567725591],[4328946.066114453],[0.5232741681167247],[0.054557435359094845],[0.4135682375445875],[0.6674181087317425]
1,1694894171,[[2583784]],[[8763392]],[1626375.6599362765],[7673771.5841918625],[7192720.31124902],[12514093.28822955],[12428118.271089252],[32521679.56618719],[76497475.20467746],[1355912012.7736473],[4275065823.6874156],[6529485932.371987],[74324864.48459381],[26259725.848711394],[9246597.31001702],[4349166.547622519],[0.5747695934162739],[0.0564177280561108],[0.38214872161801794],[0.6547323737221682]
2,1694894186,[[2399767]],[[8765440]],[1599625.0643761144],[7235164.124166303],[7178757.279575887],[11861656.221113903],[11739602.761663187],[30058130.963946257],[73720932.99490601],[1343923281.8212478],[4238425758.6746864],[6529419058.292369],[71687761.02916534],[24125704.612070687],[8735383.467027958],[4391842.436835065],[0.6052069918193722],[0.05485501590165283],[0.3905632980222375],[0.6491275442478885]
3,1694894202,[[2234020]],[[8769536]],[1582443.0405537707],[6829961.863888177],[7288329.362322162],[11320940.653525803],[11183411.30823747],[28393315.249939017],[72701435.69411571],[1325247576.6432269],[4175976473.685828],[6504940762.984902],[70896747.4452879],[22710802.534997474],[8174196.04123229],[4314607.774847618],[0.6437918531135731],[0.05485875769587455],[0.39387479798652575],[0.6419699465133347]
4,1694894217,"[[2580745, 2671468]]","[[4435968, 4433920]]",[3893024.2176040127],[13905430.72262894],[17313403.58876983],[24246032.91708784],[24107275.487034645],[55759304.43125741],[126255182.56519456],[1987563667.752528],[6121141246.928429],[9844135727.59792],[125048740.06187695],[45414327.03169484],[18709486.146032285],[12277727.866483137],[0.7140716028875754],[0.06352258527041793],[0.4323453409781175],[0.62180585643165]
5,1694894233,"[[2408604, 2470239]]","[[4438016, 4433920]]",[3994538.355132542],[13055478.885027532],[17146381.748158395],[22840705.048881546],[22734523.031500924],[54183014.59235626],[125975346.59712644],[1963611728.9609718],[6037754449.891257],[9840794091.807943],[124741454.52295537],[43793537.91039876],[17621066.54540782],[12321686.554768628],[0.7506940662060698],[0.06415491654441544],[0.41958763650459835],[0.6135434187081955]
6,1694894249,"[[2251169, 2311884]]","[[4431872, 4435968]]",[4027926.812245767],[12575431.283729825],[16954554.2106216],[22191857.674410272],[21926037.675294444],[50976753.665318675],[124968102.80897135],[1964351303.2918332],[6026443707.011746],[9912509758.489405],[123809191.10127075],[40627221.56380836],[16582879.286457876],[12155777.847190524],[0.7639988710891978],[0.06361800081255908],[0.43011835981645724],[0.6079634576753379]
7,1694894267,"[[2118063, 2167296]]","[[4435968, 4435968]]",[4080734.514184089],[11648075.739982976],[16461409.952491028],[20249953.966467887],[20317272.56368894],[46589094.51517538],[120943355.08488615],[1928957558.390303],[5900400570.183774],[9774235907.208235],[119709871.1117935],[37419045.77494886],[15588637.808018558],[11927275.648115521],[0.8129109814150517],[0.06269881603087848],[0.43609502985878024],[0.6036687293205588]
8,1694894283,"[[2469339, 2523212, 2518236]]","[[2961408, 2963456, 2963456]]",[8285193.173969554],[19219407.5695792],[28325532.452773526],[35625843.11029947],[35422684.295736484],[75088493.03856497],[171207618.60127285],[2552566170.1654153],[7773071850.41217],[13106060960.717562],[170081373.01840296],[60877834.77153391],[27851425.729278836],[21402187.650538966],[0.795083848684681],[0.06707274451975441],[0.4717458409711808],[0.5930898592422381]
9,1694894299,"[[2307848, 2363348, 2357024]]","[[2959360, 2957312, 2957312]]",[7761319.034622898],[17996645.636934824],[27253185.90187588],[32398327.92303101],[32513463.35916513],[71354199.44640386],[168484904.02929792],[2516018495.325223],[7635984688.861531],[13014385840.762285],[167496214.11427206],[57349031.56356898],[25385791.129951745],[20463079.93908971],[0.8411911246352438],[0.06696489089501681],[0.4556629267992405],[0.5867341557482418]
10,1694894317,"[[2172751, 2225287, 2217473]]","[[2955264, 2959360, 2957312]]",[7477903.984375818],[17012321.55969417],[26766027.244008522],[30959510.095028505],[30903131.669273112],[68046947.28379843],[167932380.65686578],[2516356787.201377],[7616221359.161649],[13048164726.55206],[167397201.66432586],[54564809.42705199],[23812290.623000957],[19859501.526856318],[0.8645494441563087],[0.06673631557774268],[0.4541442768973556],[0.583700583091444]
11,1694894337,"[[2050188, 2094628, 2092029]]","[[2959360, 2957312, 2957312]]",[7388588.240323009],[16300562.31791181],[26289363.683779415],[29717952.419533957],[29537369.668927886],[65502095.04276577],[168362551.8911328],[2522308972.6624103],[7607293261.255099],[13117255389.437454],[167953416.0465412],[52561626.547206],[22593466.501772318],[19391693.33817065],[0.8846290387926965],[0.0667493767480114],[0.4509377852669168],[0.5799455019668825]
12,1694894353,"[[2083073, 2081668, 2082241, 2083145]]","[[2220032, 2217984, 2217984, 2220032]]",[14147504.98708553],[20356775.691611104],[39424846.003611006],[49716467.80225802],[49735803.674828075],[83000547.39245912],[185826644.75758928],[4561206284.153431],[14459662314.694473],[16379301916.506985],[185198290.3515001],[66611939.68808575],[40672747.462422356],[30938247.987158015],[0.792993705031885],[0.040740679807267054],[0.5992225983722457],[0.8828008903189025]
13,1694894370,"[[2072562, 2072092, 2072203, 2073253]]","[[2220032, 2220032, 2220032, 2217984]]",[14773350.527393477],[20288136.79541299],[41394813.75213437],[50398005.68562447],[50345934.28532389],[83429810.51853843],[194871051.45505705],[3967222725.0329885],[12373665165.45514],[16389570814.982292],[193929302.53184068],[66093392.331415355],[40753958.02061203],[32232387.853684593],[0.8213581706059814],[0.049120270012931185],[0.6034525785496879],[0.7549718845684433]
14,1694894389,"[[2069419, 2080381, 2080217, 2080597]]","[[2217984, 2217984, 2220032, 2217984]]",[15616043.162546158],[20496342.968382716],[42821672.56101995],[50052178.19697945],[49924084.574227124],[83780664.39332828],[206223184.57069153],[3288266730.85276],[9963436494.96015],[16404776846.587013],[206038784.50597715],[66973320.83455693],[40974799.96888511],[34082159.35564099],[0.8555406398597885],[0.0627148590580457],[0.5958902920588768],[0.6073497121073625]
15,1694894411,"[[1987866, 2034979, 2030504, 2034852]]","[[2224128, 2226176, 2226176, 2228224]]",[12811616.425982421],[20509345.367697824],[36997497.65971422],[41879293.72311266],[41921139.51462911],[82975042.80484873],[212675488.0475448],[3067087600.4411187],[9201299386.716318],[16290230715.757267],[211661908.76445937],[66219869.03451834],[33260030.08278039],[28688471.153693724],[0.8834317480214755],[0.06934118478290516],[0.5052258859718166],[0.5648354248178975]
16,1694894428,"[[1656169, 1656044, 1656131, 1656091, 1656068]]","[[1775616, 1775616, 1775616, 1775616, 1777664]]",[14637622.333245499],[20218857.249979347],[40201826.2054676],[49278884.95816287],[49050343.84261548],[81733872.13483165],[184270218.49921238],[7554859410.661128],[24572967124.566654],[19608343667.71718],[183847664.2306607],[65626812.02416446],[40153655.39968496],[31959833.154941168],[0.8158022698686958],[0.024390952694523647],[0.6001225998653282],[1.2531893331216517]
17,1694894446,"[[1666572, 1664840, 1665311, 1666697, 1666471]]","[[1777664, 1775616, 1777664, 1777664, 1775616]]",[15425235.437878765],[20295674.384911172],[42012444.36994988],[49532708.54547261],[49625493.12385276],[82571230.3706378],[194342785.53864527],[6910638511.196197],[22299597833.12634],[19597063848.63824],[193686771.59003955],[65811709.35551697],[40566058.075723395],[33427323.804127786],[0.8481757934028807],[0.028122261817599473],[0.601002224395817],[1.1379050456416149]
