,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,"[[2570385, 2632452, 2623929, 2637205]]","[[6498304, 6498304, 6498304, 6498304]]",[8856568.223867258],[26234992.624075558],[35503768.07017239],[46735689.59783256],[46689712.6135534],[100890452.95034501],[230094265.1877303],[3302213364.113211],[9958146171.928366],[16380885572.768694],[229431438.87201482],[81476870.10273007],[36627684.68010548],[26235530.456777707],[0.7596714283171492],[0.0696788001914954],[0.46277632073405944],[0.6079125653916183]
1,"[[2389344, 2446204, 2441691, 2449400]]","[[6506496, 6506496, 6506496, 6506496]]",[8706467.70885244],[24468348.75155544],[34898970.7713315],[44414356.27263651],[44403920.67050832],[96042331.21852547],[228454957.63358876],[3262604202.31467],[9803689326.353027],[16364122989.108833],[227731081.09743848],[76937484.14890738],[34234419.43487149],[25571596.670210026],[0.785758788377005],[0.07002227161710584],[0.4623369727404462],[0.5990965316551268]
2,"[[2235876, 2288632, 2281612, 2289528]]","[[6498304, 6508544, 6508544, 6510592]]",[8486810.500568535],[23014834.342671648],[33948011.26439459],[41616073.76317766],[41741392.38054631],[91748799.62897423],[226328139.00506958],[3234303931.0220904],[9691876868.67329],[16370805162.48423],[225720122.5790508],[73403632.99862795],[32219654.812749196],[24903310.690781463],[0.8157427694304056],[0.06997738735504253],[0.45495300809760564],[0.5920220033455319]
3,"[[2107354, 2159268, 2147456, 2156568]]","[[6508544, 6500352, 6500352, 6498304]]",[8219340.883841662],[21607032.5104302],[32735655.18550568],[39360515.07152337],[39496074.16652989],[85780596.49887499],[222641576.1783483],[3206562305.2731647],[9578211175.925842],[16268938061.399294],[222023845.58643177],[68443969.36839098],[30208418.850894205],[24014787.520369448],[0.8316876729387452],[0.06943310467169657],[0.460431330377236],[0.5887422485584175]
4,"[[2521293, 2577736, 2542057, 2582512, 2576269]]","[[5197824, 5199872, 5199872, 5199872, 5199872]]",[12815794.781414194],[31684508.80475652],[46105362.22621892],[57285354.63644355],[57434953.941439465],[122653267.16587703],[278774988.49667525],[3891061665.8031564],[11672944249.825455],[19661416558.907745],[277928356.26933897],[98905579.74159165],[44851477.61276633],[34473859.14572849],[0.8048368124597034],[0.07164496799079464],[0.4682708848168234],[0.5936980285653397]
5,"[[2345508, 2396820, 2372211, 2401587, 2396210]]","[[5199872, 5199872, 5201920, 5199872, 5199872]]",[12375362.706003882],[29456888.47468871],[44831903.46114356],[53906000.002484694],[53830536.12015114],[117424076.15397619],[276012237.32265544],[3831140048.2295747],[11448272203.21785],[19579077010.788483],[275719557.84421575],[94692461.31166211],[41760438.32744159],[33215846.90926618],[0.8316681530641695],[0.0720444133725168],[0.45842844059989946],[0.5847197085393562]
6,"[[2196324, 2249323, 2245347, 2251036, 2247672]]","[[5201920, 5201920, 5201920, 5201920, 5199872]]",[12152745.585539846],[27762195.704320163],[43503498.5874561],[51111483.573623486],[51018182.09339924],[108789766.39639917],[271091158.9642417],[3809276321.216586],[11343129023.206985],[19564476896.575577],[270556487.55904865],[86919310.61534639],[39308050.936123975],[32233474.966776468],[0.8511492045577493],[0.07116605257915815],[0.46896122478564206],[0.5797818711520165]
7,"[[2068644, 2108935, 2111227, 2117236, 2114931]]","[[5201920, 5201920, 5201920, 5201920, 5201920]]",[11714186.498561336],[26173691.04679027],[41840019.608174875],[47961753.86948646],[48050353.04726445],[104458716.49867894],[270627284.13537294],[3789728977.9119883],[11249522405.912254],[19553768896.213768],[270296862.1208175],[83374863.27624069],[37063909.31889801],[31216096.08406278],[0.8723621684484256],[0.07141072243231476],[0.4599937148172037],[0.5753122308861143]
8,"[[2474272, 2532497, 2527932, 2536383, 2537008, 2520485]]","[[4335616, 4333568, 4335616, 4333568, 4335616, 4333568]]",[16992075.60576512],[37072833.62327199],[56504354.13459884],[67544246.4721249],[67696382.94543837],[141658301.50633636],[323395612.01312584],[4473632836.869604],[13370760643.597395],[22930740559.18],[323155728.0391799],[114522455.74542917],[53083220.58944644],[42487050.85525001],[0.8365531793728402],[0.07228926105599222],[0.47788503903818386],[0.5830932764290772]
9,"[[2309109, 2364008, 2359748, 2362755, 2363260, 2347204]]","[[4335616, 4335616, 4335616, 4335616, 4333568, 4335616]]",[16518591.120083097],[34527625.03275422],[54902958.8734643],[63940893.17128196],[63984907.09130901],[133362934.84657171],[318456526.39851964],[4417982148.365788],[13149808084.419365],[22870582493.948444],[317999797.64182496],[107012631.12460041],[49528785.7077392],[41202262.22601914],[0.8586517352266686],[0.07208189524177157],[0.47978028651604643],[0.5749660328021293]
10,"[[2168736, 2220274, 2216356, 2220252, 2220400, 2205707]]","[[4345856, 4347904, 4347904, 4349952, 4354048, 4356096]]",[16105823.328049209],[32608525.561384365],[53080909.2831209],[60765154.98332073],[60543809.190128975],[129581099.18829013],[321185719.15226716],[4417199742.374799],[13093422222.238512],[22960416183.15148],[320682464.7022295],[103498659.74139097],[46769890.23478952],[39948360.93353132],[0.8735419056808288],[0.07271251876411401],[0.46722716174952883],[0.570260665912779]
11,"[[2048036, 2097994, 2088480, 2095512, 2095864, 2082280]]","[[4337664, 4335616, 4337664, 4335616, 4337664, 4335616]]",[15514800.173387436],[30683678.280421883],[51104665.13777081],[56866344.61927438],[56904434.73913986],[123057375.48185189],[318379967.42748374],[4374111043.92438],[12924395352.5701],[22825716337.062965],[318203011.83466554],[98205513.59732552],[43917266.05815991],[38305179.47314768],[0.8986803262970644],[0.07278735364291038],[0.46242197606052426],[0.5662207994578589]
12,"[[2424512, 2497455, 2490133, 2499031, 2501288, 2485628, 2489505]]","[[3719168, 3717120, 3717120, 3717120, 3717120, 3717120, 3717120]]",[21495747.872105435],[42044943.4402167],[66384819.4065242],[77174177.24622223],[77359890.40835644],[163558051.646203],[369609417.4018689],[4995798102.122015],[14883467678.285324],[25987717201.090878],[369624238.7727504],[131835808.55389969],[60556776.10175305],[50277154.87720992],[0.8601947150628525],[0.07398405817178112],[0.47298124200999764],[0.5727116223067321]
13,"[[2264359, 2330685, 2332079, 2335561, 2334517, 2321267, 2322856]]","[[3725312, 3723264, 3725312, 3725312, 3723264, 3719168, 3717120]]",[20883792.41452824],[39292850.30664435],[64506822.3154353],[72787918.6393778],[72939922.34755568],[151924268.10044456],[361888787.9720188],[4957816474.903532],[14712757991.276234],[26021846465.307705],[361839375.5571479],[121863462.93125992],[56786439.05584614],[48699777.37138208],[0.8862297963901047],[0.07299358292181647],[0.48010711691782865],[0.5654002305674682]
14,"[[2133988, 2194488, 2187212, 2195236, 2194524, 2182600, 2184617]]","[[3731456, 3733504, 3733504, 3735552, 3735552, 3735552, 3735552]]",[20294034.489028733],[37183045.56717864],[62328260.03710975],[69557258.54662238],[69285440.19867915],[145253340.42955092],[361949860.679695],[4955456151.238744],[14651675409.81227],[26070654655.12778],[361711302.6584748],[116226786.58799246],[53656642.44748017],[47115707.26165464],[0.8960712561052528],[0.07304067468929501],[0.4769972242551156],[0.561998753143334]
15,"[[2007077, 2066468, 2058100, 2066596, 2066000, 2054755, 2054972]]","[[3727360, 3727360, 3727360, 3725312, 3727360, 3725312, 3725312]]",[19765806.524257433],[35140852.62140858],[59736777.03037844],[65694935.20472102],[65525255.5461003],[139158980.2480412],[361238721.52140605],[4935315951.162726],[14538938000.964424],[26084989096.498634],[361074547.8063931],[110790392.6909077],[50646477.01337674],[45345219.2741285],[0.9093056693674246],[0.07319464956165586],[0.470866166375365],[0.5573679922647916]
