,hotspot,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,1694833118,[[3203390]],[[21084160]],[582519.7632638355],[9081488.341486184],[2836615.6572209354],[25337892.152787834],[25448454.23816057],[49411903.52666276],[83794618.19882758],[1263513165.527971],[4179470852.165045],[6559046900.627881],[81200868.03705071],[43899278.89766034],[22899322.44801213],[2137439.214845302],[0.11195152462233655],[0.06631875352388053],[0.5150267935828162],[0.6372070386880379]
1,1694833132,[[2512135]],[[21440512]],[542775.9331183692],[7592329.998689197],[4490656.930973127],[22948786.36851495],[22747415.68555657],[43266546.117396176],[73437504.16938819],[1156359736.9618495],[3845573781.8601995],[6578880897.342521],[71629173.5265704],[38692767.37828986],[20272592.24590505],[3318750.13240443],[0.19568167391780567],[0.06350748977332392],[0.5257506717507667],[0.5845331207338902]
2,1694833146,[[2040036]],[[21604352]],[515383.36609895533],[6489966.123874266],[5482083.712767826],[20331997.68511448],[20222849.555520006],[37218391.24759855],[64681119.040323704],[1062717546.6321106],[3548001434.872093],[6516293968.831594],[63135914.28653163],[33440309.71206395],[18335267.46180654],[4140826.9339183504],[0.2696283856446327],[0.06086388546543391],[0.5433563589835401],[0.5444814877663152]
3,1694833161,[[1663524]],[[21690368]],[527738.8809751886],[5649317.743678907],[6505677.285962891],[18782250.83987627],[18510459.975383926],[34704322.56421486],[60044925.04297802],[1006429845.4131964],[3365760008.268406],[6541488318.479045],[59079991.37649774],[31437543.262198806],[16665229.953673359],[4983258.8812909685],[0.34637367701163907],[0.05966131202947998],[0.5333762081404484],[0.5145251117792985]
4,1694833175,[[2619719]],[[21102592]],[627161.8995864064],[7791575.487482036],[5035154.708905443],[21928693.41112053],[21856590.629763022],[40139625.213557675],[70618947.31761748],[1163011807.3989713],[3865097502.46328],[6585046066.815445],[68820462.42277479],[35733191.25930039],[19657579.220185015],[3781499.1329516782],[0.2296148983665394],[0.06072074837791534],[0.5445140684168789],[0.5869507157954412]
5,1694833189,[[2063480]],[[21422080]],[540874.8217132044],[6449672.75187599],[6186966.499944634],[19337001.098838147],[19070260.027523834],[37184368.13313328],[64244134.75512611],[1058423670.1263326],[3532540462.649045],[6469360502.397931],[62874574.48095917],[33388035.11078078],[17090893.275130462],[4675041.155813573],[0.3199548093481969],[0.06069793842333286],[0.5128569069466372],[0.5460416777422861]
6,1694833204,[[1688668]],[[21612544]],[520405.4685669868],[5753713.956597712],[7018345.034859932],[17419920.86582072],[17421071.96591191],[32473556.49552394],[58272805.24028885],[1007835960.8402342],[3362149817.853535],[6564230366.699584],[57258358.385442786],[29257177.358395223],[15887691.434686514],[5478218.498507386],[0.4028919011125066],[0.05781973208388669],[0.5364694799694385],[0.5121925389623374]
7,1694833219,[[1438860]],[[21676032]],[465962.1628123529],[5208457.382767349],[7609501.751590659],[16491345.90860379],[16404702.886347588],[30434448.09733007],[54238899.09765394],[973230792.8349786],[3260013885.3555374],[6561005101.692934],[53382736.03332002],[27612350.966849234],[14986493.101712376],[5965837.025319354],[0.46142393675828874],[0.0557307675599314],[0.5390175906553314],[0.4968772062857194]
8,1694833234,[[2111181]],[[21098496]],[570756.217805843],[6680728.440046695],[7018525.542068907],[18011530.330545876],[17975988.648698077],[34982151.23528629],[63023650.41929267],[1075158647.809522],[3592290330.886315],[6582891847.421614],[61438900.3925901],[31326147.603206057],[16382423.02802049],[5490443.20083506],[0.38966847420877626],[0.05861800074593096],[0.5138617270216876],[0.5457009493925292]
9,1694833248,[[1756288]],[[21438464]],[516761.08884169365],[5864444.370861856],[7715858.439099519],[16816025.242881313],[16742275.463913074],[31633036.626272466],[57077192.587313145],[1020244344.114045],[3411822723.8272347],[6544726184.708112],[56096317.8342002],[28285707.637341756],[15048191.29867992],[5920648.831467923],[0.4588396085077152],[0.05594463024137376],[0.5292655163560227],[0.5213087037619739]
